source,references,hypothesis,type
Tuoko oli luonteva aasinsilta?,['And that was actually your segue?'],Was that a natural bridge?,idiomatic
"Siinäpä aasinsilta muistoihin, eikö?","[""Now, there's a trip down memory lane.""]","That's a bridge to the memories, isn't it?",idiomatic
Mikä onkin loistava aasinsilta seuraavaan asiaani.,['Which brings me to our next order of business.'],Which is a great bridge to my next point.,idiomatic
Hieno aasinsilta itsemurhaan.,"['Nice speech, Mr. Hobson. Way to hit the suicide theme.']",A fine bridge to suicide.,idiomatic
Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.,"[""And if anyone's a genius, it's me for the way I brought that full circle.""]",There's nothing brilliant here except that loop bridge I invented.,idiomatic
Yritäpä vielä asettua poikkiteloin.,"['Just do me a favor, man...']",Try again to settle in with a crossbar.,idiomatic
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","['If I even dreamed of defecting, Penelope would make my life hell.']","If I settled across the street, Penelope would make my life a living hell.",idiomatic
Enää en asetu poikkiteloin.,"[""William, I'm not going to get in your way no more.""]",I will no longer be cross-legged.,idiomatic
"Jos aiotte asettua poikkiteloin, tiedätte missä ovi on.","['If either of you has a problem with it, you know where the door is.']","If you're going to stay across the street, you know where the door is.",idiomatic
"En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.","[""I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.""]",I don't know anything. This place will be closed if you stand across the street.,idiomatic
Haluan olla täysin perse auki neljässä sekunnissa.,['I want to be completely broke in the next four secds.'],I want to have my ass wide open in four seconds.,idiomatic
On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki.,"[""- I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I..""]",We have to meet Jack.The marriage is falling apart and we are wide open.,idiomatic
Olen persauki.,"[""Okay, I'm broke, man.""]",I'm an asshole.,idiomatic
Otat riskin Lafayette-aukiolla.,"[""I watch the news. You're going for broke in Lafayette square.""]",You're taking a risk on Lafayette Square.,idiomatic
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","[""I only want you to know that if you feel like you're under water, if you need to talk, my door is open.""]","If you feel lost - if you want to talk, my door is open.",idiomatic
Miten persaukisella olisi varaa 1 500 dollarin aseeseen?,"[""How's a guy that's so broke afford a $1500 handgun?""]","How would an asshole afford a $1,500 gun?",idiomatic
"Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin.","[""You don't want to go home broke once John makes this shot.""]",You don't want to go home an asshole when John hits this shot.,idiomatic
Meidät putsattiin persaukiseksi.,['They cleaned us out.'],We were cleaned up like an asshole.,idiomatic
Mitä persaukinen Randy Newman ajattelee asiasta?,"[""What's broke-ass Randy Newman's take on it?""]",What does asshole Randy Newman think about it?,idiomatic
"Ehkä se oli väärin, mutta olin persaukinen.","[""Maybe that was wrong, but I was broke, and that's what I did.""]","Maybe it was wrong, but I was an asshole.",idiomatic
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,['I caught you stealing a bunch of coins out of the fountain at Logan Circle.'],Mention one other oddity. You got caught stealing coins from the fountain in Logan Square.,idiomatic
"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.","['If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation.']","If you want to keep an open mind, attend a day seminar presenting the 32 steps of handwashing.",idiomatic
Äläkä yhtään ala aukoa päätäsi.,"[""Yes, we do have to and don't be so cheeky! Do you hear me, Davey?""]",And don't get your head up at all.,idiomatic
Mitä sä tuut tänne aukoon päätäs?,['Who the fuck do you think you are coming in here mouthing off at my mates?'],What are you doing in this hole?,idiomatic
Kehtaatko aukoa päätäsi minulle?,"['Look at this guy, talking back to me.']",Do you dare to open your head to me?,idiomatic
Pitikin aukoa päätä.,"[""It's all for talking shit to him. - I'll see you later.""]",I had to open my head.,idiomatic
"Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.","[""You don't get a bitch pass just 'cause you're old.""]",You must not open your heads to me just because you are old.,idiomatic
Ei hätä ole tämän näköinen.,"[""-Yeah. Don't worry about it.""]",This is not what an emergency looks like.,idiomatic
"Odota, ei hätä ole tämän näköinen.","[""Just hang tight. It's not that bad.""]","Wait, this is not what an emergency looks like.",idiomatic
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","[""It looks worse than it is, it's just that we have a particular house style.""]","This is not what an emergency looks like, but we use a certain style.",idiomatic
No DNA:ssa ei kauan nokka tuhise.,['The DNA testing is a piece of cake.'],"Well at DNA, the beak doesn't stay long.",idiomatic
Et näe metsää puilta.,"[""You get myopic, can't see the forest for the trees.""]",You can't see the forest for the trees.,idiomatic
"Jotkut eivät näe metsää puilta. Vai mitä, Vincent?","['I guess some people just see what they wanna see, right, Vincent?']","Some people can't see the forest for the trees. Right, Vincent?",idiomatic
Et näe metsää puilta... Kun kyseessä on perheesi.,"[""You can't see the forest through the trees, man -- not when it comes to family.""]",You can't see the forest for the trees... When it comes to your family.,idiomatic
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.","[""You can't see the forest for the trees... even when the forest is in your own backyard.""]","Sometimes you can't see the forest from the trees, even if the forest is in your backyard.",idiomatic
En nähnyt metsää puilta.,"[""I...couldn't see the wood for the trees.""]",I couldn't see the forest from the trees.,idiomatic
Täs ei olla jäniksen selässä. Deadlinet ei tuu vastaan aikoihin.,"[""I'm not in a rush, my deadline is far away.""]",This is not a rabbit on the back of a hare. Deadlines will not be met for a long time.,idiomatic
"Sillä, joka hommasi sinut ilmiantajaksi, ei ollut kaikki intiaanit kanootissa.",['Listen. Whoever targeted you as an informant was asleep at the wheel.'],Whoever got you as an informer didn't have all the Indians in the canoe.,idiomatic
Hänellä ei ole kaikki muumit laaksossa.,"[""She's not in her right mind.""]",He doesn't have all the mummies in the valley.,idiomatic
Minulla ei ole kaikki muumit laaksossa.,"[""You might've noticed I'm a few raisins short of a full scoop.""]",I don't have all the mummies in the valley.,idiomatic
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"[""You may have been born yesterday, but I wasn't.Where did you get the gun?""]",I am not yesterday's son. Where did you get the gun?,idiomatic
En ole mikään eilisen teeren poika.,"[""I was born, but I wasn't born yesterday, son.""]",I'm not yesterday's boy.,idiomatic
Olenko muka eilisen teeren poika?,"['What am I, born yesterday?']",Am I the son of yesterday's tares?,idiomatic
- Hän ei ole eilisen teeren poika.,"[""- He's no milksop. I said I'd take care of it.""]",- He is not the son of yesterday's tares.,idiomatic
Näytänkö eilisen teeren pojalta?,['What? Do I look like I was born yesterday?'],Do I look like the son of yesterday's tar?,idiomatic
Täällähän eletään kuin pellossa.,['Nasty motherfuckers. Got no goddamned home-training.'],It's like living in a field here.,idiomatic
Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia.,"[""You'd be like a pig in a barley field, with no control.""]",No one would be able to control how you spend your money. You could live like a pig in a poke with no control.,idiomatic
Eukko elää kuin pellossa.,['Whoa. Homegirl clearly never met a trashcan.'],The hen lives like a field.,idiomatic
Heitän vain yhden voimisteluliikkeen...,"[""I'll just do one of my gymnastics moves to...""]",I'll just throw in one gymnastics move...,idiomatic
Heitämme pikkuisen herjaa.,['Come on.'],We're throwing a little smack.,idiomatic
Minä heitän sinut.,"[""I'll take you.""]",I'll throw you.,idiomatic
Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.,"['I mean, any normal man would have just turned up his toes and died. But not our Mick.']",Any normal man would have thrown his knives away - but not just our Mick.,idiomatic
"En tahdo odottaa, kunnes joku heittää veivinsä.","[""I don't wanna wait till some guy croaks.""]",I don't want to wait until someone throws a knife at me.,idiomatic
Pari päivää sitten hän kolaroi moottoritiellä ja heitti veivinsä.,"['Couple days ago, he crashed into a semi on the freeway and died.']","A few days ago, he crashed on the motorway and threw his knife.",idiomatic
