source,references,hypothesis,type
"Jos puhut minulle vielä kerran, leikkaan kurkkusi auki.","[""You're talking to me again and I'll cut your throat""]","If you talk to me again, I'll cut your throat.",literal
Koodi sata First York-aukion pohjoispuolella.,"['Code one hundred. First York plaza, north of the square.']",Code 100 on the north side of First York Square.,literal
"Ajattelin niin siihen asti, kun viilsin kurkun auki.",['And I thought so right up till I slit his throat.'],I thought so until I slit my throat.,literal
Hänen kurkkunsa on viilletty auki...,"[""The throat's been cut.""]",His throat has been slit...,literal
Hänen rintansa oli viilletty auki.,['His chest was all cut up.'],His chest had been slashed open.,literal
Sinun asiakkaitasi eli persaukisia feministejä.,"[""Your clients. You mean the bleeding-heart feminists who don't pay the bills?""]","Your customers, the asshole feminists.",literal
"""Senkin persaukinen runkku.""",['Women are always complaining about something.'],"""You asshole motherfucker.""",literal
-Joko he eivät pidä hänestä tai firma on persaukinen.,"[""Either they don't like him, or the rumors are true--""]",-Either they don't like him or the company is an asshole.,literal
Olet persaukinen ja aina poissa.,['He needs more than a deadbeat mother.'],You're an asshole and always away.,literal
Persaukiset ei kelpaa.,"[""I don't want bums in here.""]",Assholes are no good.,literal
- Jätä takki auki.,['- Leave it open.'],- Leave your jacket open.,literal
- Takki auki!,['–Open your jacket!'],- Open your jacket!,literal
Isäntä kuljeskelee kotona kylpytakki auki.,"['My boss comes out of the bathroom with his robe open,']",The host walks around the house with his bathrobe open.,literal
"Kun saavuin, hän seisoi käytävällä aamutakki auki ja näytti villiltä.","['I got there, Yvette, I walked in, she was standing in the hallway looking wild, robe open, no gown, breasts hanging, just looking wild.']","When I arrived, he was standing in the corridor with his dressing gown open and looking wild.",literal
"Hänellä on ollut kylpytakki auki 30 vuotta, mutta nyt hän ei ole säädyllinen.","[""The woman hasn't tied her robe in 20 years. Suddenly she's not decent?""]","He has had his bathrobe open for 30 years, but now he is not decent.",literal
"- Olen ajanut väärään suuntaan jossain vaiheessa, - enkä löydä huoltoasemaa, joka olisi auki.","[""Can i help you? I have taken a wrong turn somewhere and can't find a gas station that is open.""]",- I've driven in the wrong direction at one point - and I can't find a petrol station that's open.,literal
"""Jotka ovat auki kellon ympäri auttamassa siirtymä vaiheessa""","['""Wich will be opened around the clock to aid in the transition""']","""Who are open around the clock to help in the transition phase""",literal
Tarvitsisimme vaiheisen räjäyttääksemme sen auki.,"[""We'd need a phaser to blast it open.""]",We would need a phaser to blow it open.,literal
"Yksi kakkosvaiheen osallistujista jättäytyi pois, joten paikka on auki.","[""We're in a very limited Phase 2 efficacy trial, but one of the participants has dropped out, ****""]","One of the participants in stage 2 dropped out, so the seat is open.",literal
"En ehkä tänään tai huomenna, mutta jossain vaiheessa revin kurkkusi auki, ja sitten sinä kuolet.","[""Maybe not today, maybe not tomorrow, but at some point I'm gonna rip open up your throat, and you're gonna die.""]","Maybe not today or tomorrow, but at some point I'll rip your throat open, and then you'll die.",literal
Tuuletusaukoista pääsee ilmaa kaivokseen.,['Plenty of air in that old mine. Comes in from them ventilating shafts.'],Air enters the mine through the vents.,literal
Heittäisimmekö hänet ulos ilmalukosta?,['That we throw it out of an air lock?'],Should we throw him out the airlock?,literal
Heitä noppia ja pelaa.,"['Go, roll the dice and play.']",Roll the dice and play.,literal
Hän heitti partiolaiskeksini roskiin.,['He threw away my girl scout cookies.'],He threw my Boy Scout cookie in the trash.,literal
Heitit vaasin päähäni kolme vuotta sitten ja minä jäin. Sinä väistit.,['You threw a vase at me 3 years ago and did not go away.'],You threw a vase at my head three years ago and I stayed. You dodged.,literal
- Heitin sen menemään.,['Threw it away.'],- I threw it away.,literal
Tämä heitti veivinsä. - Varo laukaisinta,['Watch the detonator.'],This one threw his knife. - Watch the trigger.,literal
"Mutta tämä kama heittää käsityskyvyn ovet niin auki, että voi nähdä kokonaan uuden maailman.","[""But this stuff, it, like, swings the doors of perception so wide open,... ..you can see a whole nother world out there. But it's still like this world, you know.""]",But this stuff throws open the doors of perception so wide that you can see a whole new world.,literal
