source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Tuoko oli luonteva aasinsilta?,And that was actually your segue?,That was a natural ass bridge?,,,,
"Siinäpä aasinsilta muistoihin, eikö?","Now, there's a trip down memory lane.","That's a donkey bridge for memories, isn't it?",,,,
Mikä onkin loistava aasinsilta seuraavaan asiaani.,Which brings me to our next order of business.,Which is a great donkey bridge for my next thing.,,,,
Yritäpä vielä asettua poikkiteloin.,"Just do me a favor, man...",Try to break it up again.,,,,
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","If I even dreamed of defecting, Penelope would make my life hell.","If I broke up, Penelope would make my life hell.",,,,
Enää en asetu poikkiteloin.,"William, I'm not going to get in your way no more.",I'm not going to break up with you anymore.,,,,
Poliisi räjäyttää näillä paukuilla lukot auki.,Shredders. The police and DEA use these to blow locks.,"With these drinks, the police will blow the locks open.",,,,
- Odota. Vetoketjusi on auki.,"Okay... no, wait, wait wait!","Wait, your zipper's open.",,,,
Älä enää koskaan jätä oveani auki.,And more cran-tastic. Don't ever leave my door open like that again.,Don't ever leave my door open again.,,,,
"Kapteeni, älkää katsoko, mutta tallinne ovet ovat auki ja hevoset karkaavat.","Oh, Captain, don't look now, but your barn door's open and your cows are getting out.","Captain, don't look, but your garage doors are open and the horses are running away.",,,,
"Portti jäi auki, hevoset karkasivat.",I forgot to close the gate last night. The horses are gone!,"The gate was left open, the horses ran away.",,,,
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","I only want you to know that if you feel like you're under water, if you need to talk, my door is open.","If you feel lost, if you want to talk, my door is open.",,,,
"Ehkä se oli väärin, mutta olin persaukinen.","Maybe that was wrong, but I was broke, and that's what I did.","Maybe it was wrong, but I was broke.",,,,
Mitä persaukinen Randy Newman ajattelee asiasta?,What's broke-ass Randy Newman's take on it?,What does broke Randy Newman think about it?,,,,
Meidät putsattiin persaukiseksi.,They cleaned us out.,They cleaned us out.,,,,
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,I caught you stealing a bunch of coins out of the fountain at Logan Circle.,You got caught stealing coins from the source of Logan Square.,,,,
- Takki auki!,–Open your jacket!,- Open your coat!,,,,
"Hänellä on ollut kylpytakki auki 30 vuotta, mutta nyt hän ei ole säädyllinen.",The woman hasn't tied her robe in 20 years. Suddenly she's not decent?,"He's been wearing a robe for 30 years, but now he's not decent.",,,,
"Kun saavuin, hän seisoi käytävällä aamutakki auki ja näytti villiltä.","I got there, Yvette, I walked in, she was standing in the hallway looking wild, robe open, no gown, breasts hanging, just looking wild.","When I arrived, he stood in the hallway with his robe open and looked wild.",,,,
Tässä vaiheessa pelin tulos on vielä täysin auki.,It's anybody's fight at this point.,"At this point, the result of the game is still fully open.",,,,
"En ehkä tänään tai huomenna, mutta jossain vaiheessa revin kurkkusi auki, ja sitten sinä kuolet.","Maybe not today, maybe not tomorrow, but at some point I'm gonna rip open up your throat, and you're gonna die.","Maybe not today or tomorrow, but at some point I'm gonna rip your throat out, and then you're gonna die.",,,,
Tarvitsisimme vaiheisen räjäyttääksemme sen auki.,We'd need a phaser to blast it open.,We'd need a phaser to blow it open.,,,,
Tauko päättyi.,Break's over!,Break's over.,,,,
Tupakkatauko päättyi kymmenen minuuttia sitten.,Smoke break ended 10 minutes ago!,The tobacco break ended ten minutes ago.,,,,
- Erätauko päättyi.,-Palm Sunday's over.,- That's the end of the break.,,,,
Ei hätä ole tämän näköinen.,-Yeah. Don't worry about it.,It's not like this.,,,,
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","It looks worse than it is, it's just that we have a particular house style.","There's no need to look like this, but we use a certain style.",,,,
"Odota, ei hätä ole tämän näköinen.",Just hang tight. It's not that bad.,"Wait, wait, wait, wait. It's not like this.",,,,
No DNA:ssa ei kauan nokka tuhise.,The DNA testing is a piece of cake.,"Well, in DNA, it won't be too long for the nose.",,,,
Et näe metsää puilta... Kun kyseessä on perheesi.,"You can't see the forest through the trees, man -- not when it comes to family.",You can't see the forest from the trees... when it comes to your family.,,,,
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.",You can't see the forest for the trees... even when the forest is in your own backyard.,Sometimes you can't see the forest from the trees even if it's in the backyard.,,,,
En nähnyt metsää puilta.,I...couldn't see the wood for the trees.,I didn't see the forest from the trees.,,,,
Täs ei olla jäniksen selässä. Deadlinet ei tuu vastaan aikoihin.,"I'm not in a rush, my deadline is far away.",This isn't on a rabbit's back.,,,,
"Sillä, joka hommasi sinut ilmiantajaksi, ei ollut kaikki intiaanit kanootissa.",Listen. Whoever targeted you as an informant was asleep at the wheel.,Whoever got you an informant didn't have all the Indians in the canoe.,,,,
Minulla ei ole kaikki muumit laaksossa.,You might've noticed I'm a few raisins short of a full scoop.,I don't have all the mummies in the valley.,,,,
Hänellä ei ole kaikki muumit laaksossa.,She's not in her right mind.,He doesn't have all the mummies in the valley.,,,,
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"You may have been born yesterday, but I wasn't.Where did you get the gun?",I'm not the son of yesterday's tea.,,,,
En ole mikään eilisen teeren poika.,"I was born, but I wasn't born yesterday, son.",I'm not the boy of yesterday's tea.,,,,
Olenko muka eilisen teeren poika?,"What am I, born yesterday?","What am I, the boy from yesterday?",,,,
Eukko elää kuin pellossa.,Whoa. Homegirl clearly never met a trashcan.,The old lady lives like a field.,,,,
Täällähän eletään kuin pellossa.,Nasty motherfuckers. Got no goddamned home-training.,It's like living in a field.,,,,
Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia.,"You'd be like a pig in a barley field, with no control.","No one could control your spending, you could live in a field without control.",,,,
Lähden siis pää viidentenä jalkana puistoon heittämään koreja.,I meant I shall go forth to the park to shoot some hoop.,So I'm going to the park on my fifth foot to throw baskets.,,,,
Tule näkyviin ja heitä ase pois.,Step out where I can see you and throw down the gun.,Come out and throw the gun away.,,,,
Hän haluaa heittää lokaa päällesi.,She wants to drag your reputation through the mud.,He wants to throw dirt on you.,,,,
"Juma, se heitti veivinsä",Man...,"Oh, my God, he's gone.",,,,
Joutaakin heittämään veivinsä. ― Sinäpä sen sanoit.,He ain't worth a hill of beans in this whole goddamn world. - You said it.,You're the one who said it.,,,,
