sent,reference,translation
あっという間,Nothing.,Soon.
覚えてる あっという間の出来事,As I recall it ended much too soon You look marvelous.,I remember. It happened so fast.
先生ならあっという間よ,Doctor Mixter have you stitched up in no time.,"If you're a teacher, you'll be out in a minute."
ほら ほら あっという間に過ぎ去る 取るに足らないことだ,"Look, look, it was fleeting, inconsequential.","Come on, come on. It's going to pass so fast. It's not enough."
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"If this really is your last chance, we need to find you something spectacular.","If this really is your last chance, you need to find something that makes you feel better."
- 違うんだ - あっと言わせたくて,You're just trying to make me say something nice.,- I just wanted to make you say it.
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の2年、ヤムラに 最初のGP勝利をもたらしました,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.,We're both pleased to hear that this new partnership's quick success has brought Yamura's first Grand Prix win in two short years.
あっと言う間だ,In a heartbeat,Soon.
炎よ あっと言う間に 骨まで燃え尽きる,He'll melt the flesh off your bones in the blink of an eye.,The flames will burn to the bones in a heartbeat.
(哲希) プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"Well, that's right. If this continues, it will only benefit Yoshimori.",That's right.
奉公に行かなくていいようにする,"I promise thee, you'll need not leave to serve the Tildens nor any family else.",I'll make sure you don't have to go to the service.
あんたこそいい年をして,Jesus Christ! I was just thinking of a new cap.,You have a good year.
いい年をして 鏡なんか覗き込みやがって これは父ちゃんにだ,"- Look, it's sweeping the floor.","You're old enough to look in the mirror, and this is for your dad."
勝手なまねをした罰だ いい気味だ,Enough! They've had their fun!,I'm punishing you for lying to me. That's good.
- 全くいい気味だな メリー,"-Not too happy at all, Merry.","- It's totally cool, Merry."
いい気味だね,Crying like a sucky baby.,That's pretty cool.
さあさあ いい目が出でてくれよ,"CROUPIER: All right, boys. Come on, now.","Come on, come on, come on, come on."
奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ,"Look into his eyes those big, pretty eyes and tell me yes or no.","Look at him... look at his big, pretty eyes... and answer me."
まわりの連中は いい迷惑だな 自分が間違ってることを 君は決して認めない,"You know, it must be very difficult for people around you, the fact you can never admit to being wrong.","It's good to see the people around you, and you'll never admit you're wrong."
患者さん いい迷惑だな。,What a nuisance it must be for the patient.,It's a good trouble for a patient.
でも いい迷惑ですよね,isn't it?,But it's not a good time.
彼はいい顔をしないわ,"I'd tell him myself, but he wouldn't understand.",He doesn't have a good face.
いい子になるのも・・,I was free.,Being a good boy...
あなたは走り続けた スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを,"You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life.","You kept running, Sue, because you wanted to be a good kid, dreaming of college, and having an ideal boyfriend and a great prom."
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then you'll be a good boy.
問題児だったけど― いざという時は勇敢だった,"He was a real handful... but when it came down to it, he was very brave.","He was a problem, but he was brave in times of need."
いざという時が来たら― 君はどのくらいで ラボを引き継げるかな,"If push came to shove, I was wondering how soon you might be able to take over the lab yourself.","When the time comes, I wonder how soon you'll be able to take over the lab."
いざという時 やり返す,I'm going out like I came in: screaming and kicking.,I'll fight back if I have to.
彼はデラウェア州を 買えるほどの金持ちのようです 広報が送ってきたパーティーの映像に,Apparently he can buy Delaware. We also found his arrival in the party footage the publicist sent over.,Looks like he's rich enough to buy Delaware.
彼の名前は憶えるほど重要ではないと?,He's not important enough to remember his name?,You think his name's not important enough to remember?
私たちは彼らが考えるほど 神経質ではない,We are not so naive that we think that all of us live.,We're not as nervous as they think.
君が手を加えるほど、ここの人たちは 君の周りに集まってくる,"The more you change things, the quicker the projections start to converge them.","The more you add, the more people will gather around you."
おじゃんになった,"Mm. Now, that blows.",I'm sorry.
ほぉ お世辞でも嬉しいな,"Whoa. Well, I'm flattered.","Oh, I'm flattered."
お先真っ暗だな 勝手にやってろ,'Cause you just blew the best thing you had going for you.,It's dark out there. You're on your own.
お呼びじゃないでしょ,And he didn't invite me.,I didn't call you.
騎兵隊はお呼びでないか? そうだ,No cavalry comin'?,Isn't the cavalry called?
お呼びでない、とな?,Never even seen you?,You didn't call me?
- お安い御用,- You're welcome.,- It's all right.
あなたが勝って― お山の大将になったら―,"And once you've won, once you're king of the mountain,","If you win, if you become the Lord of the Mountains,"
お手の物ね,You're so good with him.,It's very handy.
このくらいはお手の物さ,- Has been known to happen.,That's what I'm talking about.
反対尋問で陪審員は 銃はお手の物だった事が判りますし,So on cross-examination the jury could hear about how well he handled a gun?,"In the cross-examination, the jury knew the gun was mine."
お手上げね,Allergies. Nothing you can do.,I don't know what to do.
お手上げだよ,I wish to hell we did.,I don't have a choice.
あぁ 基本的なことはね 君にはお手上げだろ,"Yeah, I got the basics. Wow. You are so in over your head.","Yeah, the basics. You got nothing on them."
とんだところでお目に掛かったな,"- It's great to see you, Leslie!",I'm sorry to see you so late.
すこし戸惑われたかもしれませんが お目に掛かれて大変光栄です,"I'm very pleased, if slightly puzzled, to make your acquaintance.","I'm a little confused, but it's a great pleasure to meet you."
礼はする、またお目に掛かろう 近いうちにな,"I'm gonna make a problem for you. I'm gonna be seeing you again, real soon.",Thank you. I'll see you soon.
これからお目に掛けるものは あなたの肝をつぶし 魂を,"What you're about to see will astound your very senses and harrow... yes, harrow your souls.",What you're about to see will be your heart and your soul.
私たちにお<unk>え向きの仕事だわ,So we've got our work cut out for us.,It's a job for all of us.
お<unk>え向きだわ,We're not going to get a better window.,It's not a bad idea.
そろそろ、あんたにゃお迎えが来る頃なんだから,"One of these days, you'll have to get your ass on a wagon and stay there.",It's time for you to come and get me.
お迎えが来ましたよ,"Your ride's here, pal. Take him.",They're picking you up.
財務長官だったんだよ お門違いどころか,I was the US Treasury Secretary. I'm in some position to make that call.,I was the Treasury Secretary.
そもそも、お門違いだし,"'Cause you shouldn't be, anyway.",It's a complete misunderstanding.
身分の違い 願うのは お門違い,Because you'd be barking up the wrong beanstalk.,It's wrong to wish for a difference in identity.
あいつ等のおべっかで 満足しました? Kiss your(my) ass おべっかを使う、誰々のゴマをする,Did they kiss your ass to your satisfaction?,Did they kiss your ass satisfied?
かっとなって言っただけだよ,"Listen, I'm sure your sister didn't mean what she said.",I'm just kidding.
きまりが悪かったか?,You embarrassed about me?,Was that awkward?
ひどくきまりが悪かったよ たった5分間なのに,It was fucking embarrassing. It was only for five minutes.,It was terrible. It was only for five minutes.
きまりが悪いわ,It's embarrassing.,It's disgusting.
始めた事の けじめを付けたいよ,I'll finish what I started.,I just want to put an end to what I started.
おい けりを付けたくないなら やめろ?,"Hey, don't start this if you don't want to finish it.","Hey, if you don't want to end this, why don't you just stop?"
しょうもない酔っぱらいが,You fucking drunk.,You're a drunk.
しょうもない男と 関係を持ったんだ,Hooked up with this guy. He was no good. His name was...,I had an affair with a man I didn't even know.
- トレントしょうもないやつだ,Trent was a dick.,- Trent's a terrible man.
だが そうは問屋が卸さない,"I just don't get it, Spock.",But that's not what the bookkeepers do.
それは あそこへ行く ということか?,Do we have to go there?,Is that where we're going?
そこへ行くと言ってた,- Texas? - He said he was going to Texas.,He said he was going there.
笑顏も見せてくれないし 直ぐそっぽを向くし,"Never give me a smile, or even a shrug.",He won't even show me his laughs. He'll turn his face right now.
その手は食わないわ,"Oh, no, I'm not falling for that.",I'm not gonna eat that.
その手は食わない,I know what you're doing.,I won't eat your hands.
もうその手は食わないわ,I'm not falling for this shit.,I won't eat that again.
それはそれは、ほれぼれすること 目元が引き立って素晴らしいことね,"Okay. Well, you look adorable. It really brings out your eyes.",It's great to see your eyes standing out.
