sent,reference,translation
先生ならあっという間よ,Doctor Mixter have you stitched up in no time.,You'll be up and running in no time.
覚えてる　あっという間の出来事,As I recall it ended much too soon You look marvelous.,I remember. It happened so fast.
あっという間,Nothing.,"the time it takes to say ""Ah!"
ほら　ほら　あっという間に過ぎ去る 取るに足らないことだ,"Look, look, it was fleeting, inconsequential.","Look, look, it goes by so fast, it's insignificant."
- 違うんだ - あっと言わせたくて,You're just trying to make me say something nice.,- I just wanted to surprise you.
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"If this really is your last chance, we need to find you something spectacular.","If this really is our last chance, we need to find something to wow."
炎よ あっと言う間に 骨まで燃え尽きる,He'll melt the flesh off your bones in the blink of an eye.,"The flames, they'll burn you to the bone in the blink of an eye."
あっと言う間だ,In a heartbeat,It goes by in a blink of an eye.
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の２年、ヤムラに 最初のＧＰ勝利をもたらしました,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.,"We are both pleased with the early success of this new partnership, which, in the blink of an eye, has brought the Yamura its first GP victory in two years."
奉公に行かなくていいようにする,"I promise thee, you'll need not leave to serve the Tildens nor any family else.",Make sure you don't have to go to serve.
（哲希） プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"Well, that's right. If this continues, it will only benefit Yoshimori.",（That's right... If things continue as they are... Our class will be made to do Yoshimori's bidding.
あんたこそいい年をして,Jesus Christ! I was just thinking of a new cap.,You're the one who's old enough to know better.
いい年をして 鏡なんか覗き込みやがって これは父ちゃんにだ,"- Look, it's sweeping the floor.",You're too old to be staring in the mirror. This is for you.
いい年をして 鏡なんか覗き込みやがって これは父ちゃんにだ,"- Look, it's sweeping the floor.",You're too old to be staring in the mirror. This is for you.
- 全くいい気味だな メリー,"-Not too happy at all, Merry.","- That's a real nice touch, Merry."
勝手なまねをした罰だ いい気味だ,Enough! They've had their fun!,I'm punished for my own selfishness. It's a nice touch.
いい気味だね,Crying like a sucky baby.,That's a nice touch.
さあさあ いい目が出でてくれよ,"CROUPIER: All right, boys. Come on, now.","Come on, come on, come on, come on, come on, come on, come on, come on, come on."
奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ,"Look into his eyes those big, pretty eyes and tell me yes or no.","Look at him... Look at his big, pretty eyes. Answer me."
患者さん　いい迷惑だな。,What a nuisance it must be for the patient.,Patient Good inconvenience.
でも いい迷惑ですよね,isn't it?,"But it's a nuisance, isn't it?"
まわりの連中は　いい迷惑だな 自分が間違ってることを 君は決して認めない,"You know, it must be very difficult for people around you, the fact you can never admit to being wrong.","It's a pain in the ass for those around you, because you'll never admit you're wrong."
彼はいい顔をしないわ,"I'd tell him myself, but he wouldn't understand.",He won't look good.
あなたは走り続けた　スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを,"You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life.","You kept running, Sue, because you wanted to be a good girl, dreaming of being a college student and having a great prom with the boyfriend of your dreams."
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then be a good girl.
いい子になるのも・・,I was free.,And being a good boy...
いざという時　やり返す,I'm going out like I came in: screaming and kicking.,"When push comes to shove, we'll fight back."
いざという時が来たら― 君はどのくらいで ラボを引き継げるかな,"If push came to shove, I was wondering how soon you might be able to take over the lab yourself.","When the time comes, how long do you think it will take you to take over the lab?"
問題児だったけど― いざという時は勇敢だった,"He was a real handful... but when it came down to it, he was very brave.","He was a troubled kid, but when push came to shove, he was brave."
彼はデラウェア州を 買えるほどの金持ちのようです 広報が送ってきたパーティーの映像に,Apparently he can buy Delaware. We also found his arrival in the party footage the publicist sent over.,Apparently he's rich enough to buy the state of Delaware from the party footage his publicist sent over.
彼の名前は憶えるほど重要ではないと?,He's not important enough to remember his name?,His name isn't important enough to remember?
私たちは彼らが考えるほど 神経質ではない,We are not so naive that we think that all of us live.,We're not as neurotic as they think.
君が手を加えるほど、ここの人たちは 君の周りに集まってくる,"The more you change things, the quicker the projections start to converge them.","The more you tinker, the more people here rally around you."
おじゃんになった,"Mm. Now, that blows.",already finished
ほぉ　お世辞でも嬉しいな,"Whoa. Well, I'm flattered.","Well, I'm flattered."
お先真っ暗だな 勝手にやってろ,'Cause you just blew the best thing you had going for you.,You've got a dark future ahead of you. You're on your own.
騎兵隊はお呼びでないか？ そうだ,No cavalry comin'?,"Cavalry not wanted? Yes, I am."
お呼びでない、とな？,Never even seen you?,"Not wanted, huh?"
お呼びじゃないでしょ,And he didn't invite me.,You don't want me here.
- お安い御用,- You're welcome.,- easy task
あなたが勝って― お山の大将になったら―,"And once you've won, once you're king of the mountain,","If you win, if you're the king of the hill..."
このくらいはお手の物さ,- Has been known to happen.,I can handle this.
お手の物ね,You're so good with him.,You're good.
反対尋問で陪審員は 銃はお手の物だった事が判りますし,So on cross-examination the jury could hear about how well he handled a gun?,"On cross-examination, the jury found that the gun was a piece of cake."
お手上げね,Allergies. Nothing you can do.,I'm out of ideas.
お手上げだよ,I wish to hell we did.,I can't help you.
あぁ　基本的なことはね 君にはお手上げだろ,"Yeah, I got the basics. Wow. You are so in over your head.","Yeah, the basics. You're in over your head."
礼はする、またお目に掛かろう 近いうちにな,"I'm gonna make a problem for you. I'm gonna be seeing you again, real soon.","I thank you, and I'll see you again, soon."
とんだところでお目に掛かったな,"- It's great to see you, Leslie!",I'm surprised to see you here.
すこし戸惑われたかもしれませんが お目に掛かれて大変光栄です,"I'm very pleased, if slightly puzzled, to make your acquaintance.","I know this may seem a little confusing, but it's a great honor to meet you."
これからお目に掛けるものは あなたの肝をつぶし 魂を,"What you're about to see will astound your very senses and harrow... yes, harrow your souls.",What I'm about to show you will crush your liver and your soul.
お誂え向きだわ,We're not going to get a better window.,It's just what I was looking for.
私たちにお誂え向きの仕事だわ,So we've got our work cut out for us.,It's a job tailor-made for us.
そろそろ、あんたにゃお迎えが来る頃なんだから,"One of these days, you'll have to get your ass on a wagon and stay there.",It's about time you were picked up.
お迎えが来ましたよ,"Your ride's here, pal. Take him.",They're here to pick you up.
財務長官だったんだよ お門違いどころか,I was the US Treasury Secretary. I'm in some position to make that call.,"He was the Secretary of the Treasury. Not only is that wrong, it's wrong."
身分の違い 願うのは　お門違い,Because you'd be barking up the wrong beanstalk.,It's not right to wish for a difference in status.
そもそも、お門違いだし,"'Cause you shouldn't be, anyway.",And it's not the right thing to do in the first place.
あいつ等のおべっかで 満足しました？ Kiss your(my) ass おべっかを使う、誰々のゴマをする,Did they kiss your ass to your satisfaction?,"Are you satisfied with their sycophancy? Kiss your(my) ass, who's sesame"
かっとなって言っただけだよ,"Listen, I'm sure your sister didn't mean what she said.",I just said that in a fit of pique.
ひどくきまりが悪かったよ たった５分間なのに,It was fucking embarrassing. It was only for five minutes.,I was terribly embarrassed. It was only for five minutes.
きまりが悪いわ,It's embarrassing.,It's embarrassing.
きまりが悪かったか？,You embarrassed about me?,Was it too embarrassing?
始めた事の けじめを付けたいよ,I'll finish what I started.,I just want to finish what we started.
おい　けりを付けたくないなら やめろ？,"Hey, don't start this if you don't want to finish it.","Hey, if you don't want to finish this, why don't you stop?"
しょうもない男と 関係を持ったんだ,Hooked up with this guy. He was no good. His name was...,I had an affair with a guy who was a complete asshole.
しょうもない酔っぱらいが,You fucking drunk.,I'm just a stupid drunk.
- トレントしょうもないやつだ,Trent was a dick.,"- Trent, you're such a pussy."
だが そうは問屋が卸さない,"I just don't get it, Spock.",But that's not how it works.
そこへ行くと言ってた,- Texas? - He said he was going to Texas.,He said he was going there.
それは　あそこへ行く ということか？,Do we have to go there?,Does that mean you're going over there?
笑顏も見せてくれないし 直ぐそっぽを向くし,"Never give me a smile, or even a shrug.",He doesn't even give me a smile. He just turns his head away.
その手は食わないわ,"Oh, no, I'm not falling for that.",I'm not gonna eat that hand.
もうその手は食わないわ,I'm not falling for this shit.,I won't eat that hand anymore.
その手は食わない,I know what you're doing.,I am not going to fall for that trick
それはそれは、ほれぼれすること 目元が引き立って素晴らしいことね,"Okay. Well, you look adorable. It really brings out your eyes.",It's just so smitten. It's just so wonderful to see your eyes stand out.
それは それは良かった - クソ,"That's-- that's good, right?",It was that good.
めっちゃ うれしかった それは それは普通にうれしかった 俺は,"-Yeah, it made me super happy. It made me happy.",I was so happy. I was so happy. I was just happy.
そ知らぬ顔で 私の人生を奪ったせいでしょ,Just because you walked in my shoes don't you think for a moment that you know me.,You took my life away from me like you didn't even know I was there.
前回までのFringe... そ知らぬ顔で 成りすましたせいでしょ,"Just because you walked in my shoes, don't you think that you know me.",Previously on Fringe... You're just pretending to be someone you're not.
知られたら あなたは、ただでは済まないのよ,"The point is, if he finds out about this, he's gonna transfer your ass to juneau so fast,","If they find out, you won't get away with it."
ちゃんちゃら　おかしいよ,That was a stupid idea.,This is ridiculous.
ちょっかいを出したくなかったけど,"I didn't mean to interfere, you know. Silly girl.",I didn't want to mess with him.
ちょっかいを出してるんじゃないよ,I'm not bothering them none.,I'm not trying to mess with you.
オオカミにちょっかいを出すと 群れでやって来るぜ さっきの仕返しだ,"Guess nobody told you, if you mess with the wolf, you get the fangs.","You mess with the wolves, they'll come to you in packs, just to get back at you."
デイブ　目に付く女全てに ちょっかいを出すのはやめてくれないか?,"Dave, would you quit bothering every girl you see?","Dave, would you please stop bothering every girl you see?"
私が冒険中 ちょっとした相棒を得るなら それは 感情や 気まぐれからではありません 多くの素晴らしい資質を 持っているということです,"If I burden myself with a little helpmate during my adventures, this is not out of sentiment or caprice, it is that he has many fine qualities of his own that he has overlooked in his obsession with me.","If I get a little sidekick during my adventures, it's not out of emotion or whim, it's that I have a lot of great qualities."
より汁気の多い料理を作れるし、 ちょっとした見栄えと演出も 料理に加えられる。,It creates a more succulent dish and adds a little theatricality to dinner.,It allows you to make soupier dishes and adds a bit of visual flair and presentation to your food.
ちょっとした金,"A little money. No, sorry.",a little money
もし私が力を貸すと いったらどうかしら 貴方の抱えるクラウス問題と ちょっとしたネタを 引き換えに?,What if I told you that I could help you out with your Klaus problem in exchange for the tiniest bit of gossip?,What if I offered to help you with your Klaus problem in exchange for a little story?
とてもじゃないが,"No, he's taking it pretty hard.",(before a negative form) simply (cannot)
とどのつまりだな　ジョン 我々が心と頭を奉げる対象とは 一人の男ではなく　理想なのだよ,"Ultimately, John, we owe our hearts and our minds not to any one man but to an idea, and that idea is under threat.","The bottom line, John, is that the object of our hearts and minds is not a man, but an ideal."
とどのつまりは 殺されるってのに,"And you are en route to getting yourself killed,","I mean, the end result is that you're gonna get killed."
とどのつまりはな,"Eventually, yeah.",after all is said and done
ない知恵を絞ってね,"You know, in case you got displaced.",Keep your wits about you.
そして、ほとぼりが冷めるまで、あなたはココに隠れています。 あなたがそれを知っているから。,And you're hiding out here until things cool down because you know it.,And you will hide in Coco until the dust settles. Because you know it.
あんたは見てみぬ振りで 満足だっただろうが あんたには口がある,"You were more than happy to turn a blind eye, but... you're not dumb.","You were content to turn a blind eye, but you have a mouth."
見て見ぬ振りをしています ただ...,I stay out of the way.,I'm turning a blind eye. I just...
見て見ぬ振りをした,You just looked the other way.,I turned a blind eye.
見るに堪えないわ,I can't bare to see him like this.,I can't bear to look at it.
見るに堪えなかった？,Was it painful to see?,Couldn't bear to see it?
見るに堪えないわ,I can't watch.,I can't bear to look at it.
見るに忍びないか？,Can't stand the sight of a little blood?,Can't bear to look?
監視リストに載るぞと 自虐ジョークを言う様になった,if they donate to a political cause or if they say something in a discussion.,I started making self-deprecating jokes about how I'm going to end up on a watch list.
