,contains_idioms
気 に する,1632
手 に 入れる,1516
気 に 入る,1193
完璧,1082
気 に なる,858
中 に 入る,481
夢 を みる,370
ちょっと する た,356
気 を 付ける,346
手 に 入る,323
手 を 貸す,318
手 に する,302
面倒 を みる,254
手 を 出す,249
目 を 覚ます,245
目 が 覚める,206
力 に なる,189
的 だ なる,179
気 が 付く,152
目 を 離す,143
横 に なる,139
手 を 上げる,138
頭 から,128
よく 言う,127
耳 を 傾ける,124
世話 に なる,123
気 を 失う,122
力 を 貸す,118
口 に する,115
手 に 負える ない,104
手 を 引く,101
目 を 通す,95
腹 を 立てる,84
相変 わる ぬ,82
背 を 向ける,81
耳 に する,80
手 を 握る,76
顔 を 見せる,75
手 を 組む,75
手 を 打つ,74
目 に する,73
力 を える,73
嘘 を 言う,72
男 に なる,72
手 に なる,71
気 を 使う,70
腹 が 立つ,68
気 に 掛ける,67
あっ と いう 間,67
自業 自得,65
耳 を 貸す,62
席 を 外す,59
何 を 隠す,58
気味 が 悪い,58
目 を 向ける,57
える ほど,55
口 を 割る,53
熱い なる,52
フェニックス,51
為 に する,51
注意 を 引く,51
目 が ある,50
気 を 悪い する,49
足 を 踏み入れる,48
暇 を 取る,48
気 が 済む,46
首 を 切る,46
頭 を 下げる,45
手 を 汚す,44
借り を 返す,43
よう に なる,43
何 と する て も,43
口 を 出す,43
高い つく,42
穴 が 開く,42
気 を 配る,41
口 に 出す,41
手 を 切る,41
大目 に みる,40
お 手上げ,40
手 を 取る,40
汗 を かく,39
遅く れる 早きる れる,38
手 が ない,37
顔 を 出す,36
為 に なる,36
口 を 開く,36
身 に なる,35
気 に 障る,35
気 が 進む ない,34
気 が 散る,34
真 に 受ける,34
目 に 入る,34
立つ 往生 する,34
時 を 待つ,34
始まる ない,33
目 だ ない,32
気 を 取る れる,32
事 を 起こす,32
手 が 離せる ない,32
首 を 突っ込む,32
水 に 流す,32
上 に 立つ,31
甘い みる,31
頭 が 痛い,30
手 が 届く,30
口 を 挟む,30
罪 を 着せる,30
気 を 引く,30
身 を 任せる,29
何 が 何 で も,29
話 が 違う,29
途方 も ない,28
食える ない,28
手 に 渡る,28
首 に する,27
小さい なる,27
話 に なる ない,26
赤い なる,25
目 を 開く,25
耳 に 入る,25
手 を 繋ぐ,25
血 を みる,24
顔 を 合わせる,24
想像 を 絶する,24
気 が 利く,24
言う なれる ば,24
狙い を 定める,24
嘘 を つける,23
息 が 詰まる,23
気 に 食う ない,23
手 を 借りる,23
目 に 浮かぶ,23
相談 に 乗る,23
悲鳴 を 上げる,23
気 が 合う,22
縁 を 切る,22
先 を 越す,22
引き金 に なる,22
我 を 忘れる,22
手 を 付ける,22
注目 を 浴びる,22
骨 が 折れる,21
頭 を 冷やす,21
人 が 変わる,21
取る に 足る ない,20
鍵 を 握る,20
骨 を 折る,20
目 を 引く,20
首 に なる,20
火 を 付ける,20
恩 に 着る,20
壁 を 作る,20
手 を 入れる,20
目 を 付ける,19
手 に 落ちる,19
振り出し に 戻る,19
目 を 背ける,19
夢 の 世,19
迷宮 入り,19
命 を 懸ける,19
洗礼 を 受ける,18
頭 に 来る,18
間 が 悪い,18
手 を 伸ばす,18
名 を 残す,18
薬 が 効く,17
線 を 引く,17
穴 を 埋める,17
覚悟 の 上,17
骨 が ある,16
口 が 堅い,16
心 に 留める,16
手 を 下す,16
二 の 舞,16
それ は それ は,16
目 に 見える て,16
硬い なる,16
知る 由 も ない,16
跡 を 追う,16
途方 に 暮れる,16
手 を 回す,15
手 を 加える,15
"性 に 合う,性 に 合う ない",15
店 を 閉める,15
隅 から 隅 まで,15
頭 が 切れる,15
根 に 持つ,15
"先手 を 打つ,手 を 打つ",15
朝飯 前,14
念 を 押す,14
注目 に 値する,14
心 を 痛める,14
気 を 遣う,14
太刀 打ち できる ない,14
濡れる 衣 を 着せる,14
力 を 入れる,14
実 を 結ぶ,14
調子 に 乗る,14
事 に よる と,14
闇 に 葬る,14
地下 に 潜る,14
足 を 引っ張る,14
改竄,13
言葉 を 返す,13
口 を 閉ざす,13
息 の 根 を 止める,13
余儀 ない する れる,13
穴 を あける,13
息 を 引き取る,13
話 に 乗る,13
鼓舞,13
旗 を 掲げる,13
程 が ある,13
冷たい なる,13
気 を 抜く,13
抜ける 目 が ない,13
最初 で 最後,13
腑 に 落ちる ない,12
耳 が 遠い,12
世 を 去る,12
しょう も ない,12
躍起 に なる て,12
何 から 何 まで,12
問題 に なる ない,12
手段 を 選ぶ ない,12
スタート を 切る,12
頭 に 入れる,12
理解 に 苦しむ,12
気 が 滅入る,12
腹 を 割る,12
焦点 を 合わせる,12
声 を 掛ける,12
思う 壺,12
肩 を 持つ,11
氷山 の 一角,11
罪 が ない,11
受ける て 立つ,11
"目 の 敵,目 の 敵 に する",11
動き が 取れる ない,11
荷 が 重い,11
願う て も ない,11
手 を 広げる,11
奈落 の 底,11
手 を 差 する 伸べる,11
目 を 疑う,11
手 を 結ぶ,10
左遷,10
足 が 速い,10
心 を 入れ替える,10
手 を 染める,10
名 を 汚す,10
気 が 向く,10
地 に 落ちる,10
日 の 目 を みる,10
先 が 見える,10
心 に 残る,10
命 を 預ける,10
気 を 静める,10
歯 が 立つ ない,10
いざ と いう 時,10
消息 を 絶つ,10
気 を 落とす,10
血 を 分ける,10
一息 入れる,10
裏 を かく,10
道 が 開ける,10
意気 投合 する,10
耳 に 入れる,10
気 が 紛れる,10
目 を 奪う,10
狙い を つける,10
目 が 離せる ない,10
目 を 逸らす,10
茶 に する,10
足 を 運ぶ,10
恨み を 買う,10
責め を 負う,10
気 が 引ける,9
名 も ない,9
目 を 見張る,9
息 を 吐く,9
お 門違い,9
手 を 抜く,9
辻褄 が 合う,9
命 を 投げ出す,9
先 を 読む,9
目 に 付く,9
手 を 焼く,9
瓜 二 つ,9
反旗 を 翻す,9
心 に 浮かぶ,9
言葉 に 甘える,9
不 幸中 の 幸い,9
気 が 抜ける,9
弱肉 強食,9
手 を 掛ける,9
背中 を 向ける,9
頼み の 綱,9
悪い よう だ は する ない,9
"石 二 鳥,一石 二 鳥",9
風邪 を 引く,8
怒り を 買う,8
きまり が 悪い,8
痛い 目 に 遭う,8
固い なる,8
尻拭い を する,8
用 を 足す,8
青い なる,8
糸 を 引く,8
水 を 差す,8
手 を 離れる,8
"濡れる 衣 を 着せる られる,濡れる 衣 を 着せる",8
調子 が いい,8
金輪 際,8
物 を 言う,8
手 に 余る,8
"一 杯 食う,一 杯 食う する れる",8
運 が 向く,8
軌道 に 乗る,8
お 呼ぶ だ ない,8
鼻 が 高い,8
"手 が 回る ない,手 が 回る",8
危ない 橋 を 渡る,8
一刻 を 争う,8
心 を 許す,8
口 が 悪い,8
事 を 運ぶ,8
人 を 食う,8
心 に 刻む,8
糞 食らえる,8
仲 を 裂く,8
鵜呑み に する,8
厄介 だ なる,8
気 が しれる ない,8
ちょっかい を 出す,8
鼻 を 折る,8
目 に 触れる,8
胸 が 痛む,7
世 に 出る,7
値 が 張る,7
"気 に なる,いい 気 に なる",7
顔 に 出る,7
歴史 は 繰り返す,7
裏目 に 出る,7
波 に 乗る,7
"聞く 耳 を 立てる,耳 を 立てる",7
一言 も ない,7
