source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Tuoko oli luonteva aasinsilta?,And that was actually your segue?,Was that a natural donkey bridge?,,,,
"Siinäpä aasinsilta muistoihin, eikö?","Now, there's a trip down memory lane.","That&#39;s a donkey bridge to memories, right?",,,,
Mikä onkin loistava aasinsilta seuraavaan asiaani.,Which brings me to our next order of business.,Which is a great bridge to my next thing.,,,,
Yritäpä vielä asettua poikkiteloin.,"Just do me a favor, man...",Try to position yourself crosswise.,,,,
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","If I even dreamed of defecting, Penelope would make my life hell.","If I settled down, Penelope would make my life hell.",,,,
Enää en asetu poikkiteloin.,"William, I'm not going to get in your way no more.",I don&#39;t cross paths anymore.,,,,
Poliisi räjäyttää näillä paukuilla lukot auki.,Shredders. The police and DEA use these to blow locks.,The police use these bangs to blow open the locks.,,,,
- Odota. Vetoketjusi on auki.,"Okay... no, wait, wait wait!",- Wait. Your zipper is open.,,,,
Älä enää koskaan jätä oveani auki.,And more cran-tastic. Don't ever leave my door open like that again.,Never leave my door open again.,,,,
"Kapteeni, älkää katsoko, mutta tallinne ovet ovat auki ja hevoset karkaavat.","Oh, Captain, don't look now, but your barn door's open and your cows are getting out.","Captain, don&#39;t look, but your stable doors are open and the horses are running away.",,,,
"Portti jäi auki, hevoset karkasivat.",I forgot to close the gate last night. The horses are gone!,"The gate was left open, the horses ran away.",,,,
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","I only want you to know that if you feel like you're under water, if you need to talk, my door is open.","If you feel lost, - if you want to talk, my door is open.",,,,
"Ehkä se oli väärin, mutta olin persaukinen.","Maybe that was wrong, but I was broke, and that's what I did.","Maybe it was wrong, but I was an asshole.",,,,
Mitä persaukinen Randy Newman ajattelee asiasta?,What's broke-ass Randy Newman's take on it?,What does Randy Newman think about it?,,,,
Meidät putsattiin persaukiseksi.,They cleaned us out.,We were cleaned up.,,,,
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,I caught you stealing a bunch of coins out of the fountain at Logan Circle.,Name one other oddity. You were caught red-handed stealing coins from the fountain in Logan Square.,,,,
- Takki auki!,–Open your jacket!,- Jacket open!,,,,
"Hänellä on ollut kylpytakki auki 30 vuotta, mutta nyt hän ei ole säädyllinen.",The woman hasn't tied her robe in 20 years. Suddenly she's not decent?,"She has had her bathrobe open for 30 years, but now she is not modest.",,,,
"Kun saavuin, hän seisoi käytävällä aamutakki auki ja näytti villiltä.","I got there, Yvette, I walked in, she was standing in the hallway looking wild, robe open, no gown, breasts hanging, just looking wild.","When I arrived, he was standing in the hallway with his dressing gown open, looking wild.",,,,
Tässä vaiheessa pelin tulos on vielä täysin auki.,It's anybody's fight at this point.,"At this point, the outcome of the game is still completely open.",,,,
"En ehkä tänään tai huomenna, mutta jossain vaiheessa revin kurkkusi auki, ja sitten sinä kuolet.","Maybe not today, maybe not tomorrow, but at some point I'm gonna rip open up your throat, and you're gonna die.","Maybe not today or tomorrow, but at some point I&#39;ll rip your throat open, and then you&#39;ll die.",,,,
Tarvitsisimme vaiheisen räjäyttääksemme sen auki.,We'd need a phaser to blast it open.,We&#39;d need a phaser to blow it open.,,,,
Tauko päättyi.,Break's over!,The break ended.,,,,
Tupakkatauko päättyi kymmenen minuuttia sitten.,Smoke break ended 10 minutes ago!,The cigarette break ended ten minutes ago.,,,,
- Erätauko päättyi.,-Palm Sunday's over.,- The set break ended.,,,,
Ei hätä ole tämän näköinen.,-Yeah. Don't worry about it.,It&#39;s not a problem like this.,,,,
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","It looks worse than it is, it's just that we have a particular house style.","It&#39;s okay it doesn&#39;t look like this, but we use a certain style.",,,,
"Odota, ei hätä ole tämän näköinen.",Just hang tight. It's not that bad.,"Wait, it&#39;s not like this.",,,,
No DNA:ssa ei kauan nokka tuhise.,The DNA testing is a piece of cake.,"Well, it didn&#39;t take long for the DNA to grow old.",,,,
Et näe metsää puilta... Kun kyseessä on perheesi.,"You can't see the forest through the trees, man -- not when it comes to family.",You can&#39;t see the forest for the trees... When it comes to your family.,,,,
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.",You can't see the forest for the trees... even when the forest is in your own backyard.,"Sometimes you can&#39;t see the forest for the trees, even if the forest is in your backyard.",,,,
En nähnyt metsää puilta.,I...couldn't see the wood for the trees.,I couldn&#39;t see the forest from the trees.,,,,
