sent,reference,translation
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then be a good boy.
お呼びじゃないでしょ,And he didn't invite me.,You didn't call me.
彼 お呼びじゃないわ,He hasn't called.,He's not here to see you.
騎兵隊はお呼びでないか? そうだ,No cavalry comin'?,You didn't call the cavalry?
それはそれは,That's... That's awkward.,"Well, well, well."
それは それは良かった - クソ,"That's-- that's good, right?","That's good, that's good."
それはそれは常にされています方法です。,That's the way it's always been.,That's how it's always been.
エンジンが 掛からない,It won't start.,The engine's not working.
俺の頭に メスを入れようとするんだ,They're going to cut into my brain.,You're gonna put a meth in my head.
地雷の上に立ってる。,He's standing on a mine.,Standing on a land mine.
光の輝く柱の上に立つ,He'd be standing atop a shining pillar of light.,Standing on a pillar of light
私は、見たのよ。 アストラを。 ナイフを持って、 ジョンの上に立ってた。,- I saw Astra standing over J'onn.,I saw Astra standing on John's head with a knife.
この世に出てくるため自分の母親を殺したお前が?,"You, who killed your mother to come into the world?",You killed your mother to come out here?
本当にお世話になりました,You've taken real good care of me.,Thank you so much.
彼の世話になった,"- Sonny -- he, uh -- you know, he looked after me.",I took care of him.
(なな恵) 同じ寮で と っ ても お世話になった綾さんだった,It was Aya from the same dorm. Who really took care of me.,Even in the same dorm.
お前が育つにつれ 世話を焼いた,"And as you grew up I cared for you still, made you a nice bed for your slumbers.","Every time you grew up, I took care of you."
お前が育つにつれ 世話を焼いた,"And as you grew up I cared for you still, made you a nice bed for your slumbers.","Every time you grew up, I took care of you."
誰かが親切に世話を焼いたんだね。 だれかが しんせつに せわをやいたんだね Someone must've helped you,Someone must've helped you,Someone must've helped you
あの晩 雨の中に立って,I was standing there that night in the rain.,Standing in the rain that night.
ああ、だが君も見ただろ 中性子ビームの中に立っていた,"Well, you saw it yourself, standing in those neutron beams.","Yeah, but you saw him, too. He was standing in a mixture beam."
ど真ん中に立ってた,I was standing right in the middle of it.,He was standing in the middle.
ある時点から 地球は丸くなったということだ,"At one point, so was the Earth being round.","At some point, the Earth has been rounded."
アイツがマイクロボットを盗んで 火事を起こしたんだ,"He stole my microbots, he started the fire.",He stole the microbots and set a fire.
火事を起こしちゃいない,You didn't start the fires.,I didn't start a fire.
賛同する仲間は 数百いる ここで事を 起こす事だって,"We can mobilize hundreds more behind you, it could get pretty messy in here, Mr. Randol.",There are hundreds of people who would like to do something about it here.
それが 癌みたいに主人を 食い荒らしていったの,It ate him up like a cancer.,And they eat him up like cancer.
人を食うことが 気色悪いのは分かる,I know it's pretty damn weird to eat people.,I know how creepy it is to eat people.
人を食う木箱の怪物,Things coming out of crates and eating people?,A monster that eats people.
仮面を被っていた,Said they were masked.,He was wearing a mask.
男は仮面を被っていた,Men wore masks.,The man was wearing a mask.
彼女との仲を裂き,You just want to scare me so I'll split!,I'm gonna break up with her.
こんどはその借りを 返してもらうこととしますか,It holds fair now you return the favour.,Do you want me to repay that debt?
ラニスターは必ず借りを返す,The Lannisters pay their debts.,The Lannisters always pay their debts.
信じてないよね? 借りを返すべき 存在なんて,You don't really think there's someone out there holding my I.O.U.,You don't believe that there's a existence that should be repaid?
もう少し先が見える,Just a little further.,I can see a little further.
行き先が見えてるから,Cause I know where I'd be going.,I can see where you're going.
先が見えた,I see daylight.,I saw the future.
先を読んで,Read on.,Look ahead.
※冷たくならないって素敵よね。,"It must be nice, never getting cold.",It's nice not to be cold.
天候が変わって冷たくなった,The weather has turned cold,The weather changed and it got cold.
何か食べてください 食べ物は冷たくなっています,Have something to eat. The food is getting cold.,Eat something. The food is getting cold.
