sent,reference,translation
"Tout d&apos; un coup , les ONG étaient non seulement debout dans les rues , criant leurs slogans , mais ils les emmenaient aux négociations , en partie parce qu&apos; ils représentaient les victimes de ces armes .","All of a sudden , NGOs were not only standing in the streets , crying their slogans , but they were taking &#91; them &#93; into the negotiations , partly because they represented the victims of these weapons .","All of a sudden, the Avengerss were not only standing in the streets, shouting slogans, but they were taking them to negotiations, partly because they were representing the victims of those weapons."
"Comment pouvons-nous échapper au fait d&apos; avoir un double-standard , si nous prêchons la démocratie et en même temps nous ne voulons pas traiter avec les groupes qui sont représentatifs ?","How can we escape &#91; having &#93; a double-standard , if we at the same time preach democracy and at the same time don &apos;t want to deal with the groups that are representative ?","How can we escape the fact that we have a double latte, if we preach democracy and at the same time we don't want to deal with groups that are representative?"
"Mais durant plusieurs années , j&apos; ai étudié le bâtiment de la CCTV de Rem Koolhaas à Pékin et le stade olympique dans la même ville par les architectes Herzog et de Meuron .","But over the course of several years , I &apos;ve been documenting Rem Koolhaas &apos;s CCTV building in Beijing and the olympic stadium in the same city by the architects Herzog and de Meuron .","But for several years, I have studied the building of the Rem Republicry in light of Remmylaus in light of the Olympic stadium in the same city by the architects of tsaog and polaron."
"Et avec chaque habitant qui trouve sa manière propre et unique d&apos; y arriver , cette tour devient comme une ville avec sa propre vie , un endroit qui vit avec sa micro-économie et ses petites entreprises .","And with each inhabitant finding their own unique way of coming by , this tower becomes like a living city , a place which is alive with micro-economies and small businesses .","And with every person who finds their own unique, clean way to get there, this tower becomes like a city with its own life, a place that lives with its micro-econ and its small business."
"Donc , si nous refusons de dialoguer avec ces nouveaux groupes qui vont dominer dans les infos des années à venir , nous allons accroitre la radicalisation , je crois .","So if we refuse to talk to these new groups that are going to be dominating the news in years to come , we will further radicalization , I believe .","So, if we refuse to talk to these new groups that are going to dominate the news over the next few years, we're going to rise to radicalization, I think."
"Nous devons juste persévérer . » Maintenant quatre COM FIAS plus tard , nous entendons un message différent : « One ne peut pas gagner militairement .","We just have to persevere . &quot; &quot; Now four COM ISAF &apos;s later , we hear a different message : &quot; &quot; This cannot be won militarily .",We just have to persuade.
"Un autre signe , c&apos; est le constat durant ces années , ces dernières années , du faible nombre de ces conflits domestiques entre États , et de conflits intra-étatiques qui peuvent être résolus militairement .","Another acknowledgment we &apos;ve seen during these years , recent years , is that very few of these domestic interstate , intrastate conflicts can be solved militarily .","Another sign, that's the fact over the years, in the last few years, of the low number of domestic conflicts between states, and conflicts that can be resolved militaryly."
"Et comment pouvons-nous dire aux Frères Musulmans , comme nous le devrions , qu&apos; ils doivent respecter le droit des minorités , si nous n&apos; acceptons pas les droits de la majorité ?","And how can we tell the Muslim Brotherhood , as we should , that they must respect minority rights , if we don &apos;t accept majority rights ?","And how can we tell the Muslim Brotherhood, as we should, that they must respect the rights of the few, if we don't accept the rights of the majority?"
"Dans une région reconnue pour le sol mou et poreux du plateau de Lœss , jusqu&apos; à tout récemment , on estime qu&apos; il y avait 40 millions de personnes qui vivaient dans des maisons souterraines .","In a region famous for the soft , porous Loess Plateau soil , there lived until recently an estimated 40 million people in these houses underground .","In a region known for the soft, porous soil of the Lessess plateau, until recently, it was estimated that there were 40 million people living in underground houses."
"Le Comité international de la Croix-Rouge , le CICR , dialogue avec tout le monde , et il le fait parce qu&apos; il est neutre .","The International Committee of the Red Cross , the ICRC , is talking to everyone , and it is doing so because it is neutral .","The international Red Cross committee, the folk committee, dialogue with everyone, and it does it because it's neutral."
Nous avons donc passé plus de temps à nous focaliser sur la raison pour ne pas dialoguer avec les autres plutôt que de trouvercomment parler aux autres .,So we &apos;ve spent more time on focusing on why we should not talk to others than finding out how we talk to others .,So we spent more time focusing on reason to not interaction with others than to figure out how to talk to others.
"Alors , il a engagé un processus politique de dialogue , non pas comme une stratégie de faible , mais comme une stratégie de force .","So he engaged a political process of dialogue , not as a strategy of the weak , but as a strategy of the strong .","So, he engaged a political process of dialogue, not as a weak strategy, but as a force strategy."
Et il s&apos; est engagé dans des pourparlers détaillés en réglant certaines des questions les plus délicates grâce à un processus de vérité et de réconciliation où les gens sont venus et ont dialogué .,And he engaged talking profoundly by settling some of the most tricky issues through a truth and reconciliation process where people came and talked .,And he's engaged in strategic talks in solving some of the most delicate matters through a truth and reconciliation process where people have come and divided.
"Nous les appelons vaguement « groupes » . Ils peuvent représenter des réalités sociales , religieuses , politiques , économiques , ou militaires .","We loosely call them &quot; &quot; groups . &quot; &quot; They may represent social , religious , political , economic , military realities .","They can represent social, religious, political, economic, or military realities."
"L&apos; Occident , comme je vois les choses , sort de cette décennie affaibli , parce que nous n&apos; avons pas compris le groupe .","The West , as I would see it , comes out of that decade weakened , because we didn &apos;t understand the group .","As I see it, out of this weakened decade, because we didn't understand the group."
"Quand je suis arrivé en Afghanistan en 2005 , en tant que ministre des Affaires étrangères , j&apos; ai rencontré le commandant de la FIAS , les troupes internationales .","When I first came to Afghanistan in 2005 as a foreign minister , I met the commander of ISAF , the international troops .","When I came to Afghanistan in the year 4000, as Secretary of State, I met with the Commander of the F memoria, the international troops."
Et c&apos; est la raison pour laquelle cette organisation est probablement est l&apos; acteur clé le mieux informé pour comprendre les conflits modernes — parce qu&apos; ils dialoguent .,And that &apos;s one reason why that organization probably is the best informed key player to understand modern conflict — because they talk .,And that's why this organization is probably the most informed key player to understand modern conflicts because they interact.
"De plus , au cours de la dernière décennie , nous avons été dans un mode où le traitement avec des groupes était conceptuellement et politiquement dangereux .","Plus , during the last decade , we &apos;ve been in the mode where dealing with groups was conceptually and politically dangerous .","Besides, over the last decade, we've been in a mode where treatment with groups was conceptally and politically dangerous."
"Le dialogue n&apos; est pas facile — entre individus , entre les groupes , et entre gouvernements — mais il est vraiment nécessaire .","Dialogue is not easy — not between individuals , not between groups , not between governments — but it is very necessary .","Conversation isn't easy-- between individuals, between groups, and between governments-- but it's really necessary."
Je ne peux pas faire cela à moins d&apos; envoyer des signaux que je serai à l ’ écoute des signaux de l&apos; autre partie .,I cannot do that unless I send the signals that I will be open to listen to the other side &apos;s signals .,I can't do that unless I send signals that I'll be listening to signals from the other side.
"Nous savons par expérience personnelle que c&apos; est parfois facile de se retirer , et que parfois il faut se battre .","We know from our personal experiences that it &apos;s easy sometimes just to walk , and sometimes you may need to fight .","We know from personal experience that sometimes it's easy to retire, and sometimes you have to fight."
"Et je crois que nous devons renforcer cette approche dans la diplomatie moderne , non seulement entre les Etats , mais aussi au sein des Etats .","And I believe we need to strengthen this approach in modern diplomacy , not only between states , but also within states .","And I believe we must strengthen this approach in modern diplomacy, not only between the states, but also within the states."
"Ensemble , les habitants ont créé des espaces publics et ils les ont conçus de sorte qu&apos; ils se sentent plus comme chez eux et moins comme dans une tour inachevée .","Together , the inhabitants created public spaces and designed them to feel more like a home and less like an unfinished tower .","Together, the people created public spaces and designed them so that they would feel more like home and less like an unfinished tower."
"Une fois sur l&apos; eau , on voit clairement que la vie s&apos; est complètement adaptée à ces conditions de vie bien spécifiques .","When out on the water , it &apos;s clear that life has been completely adapted to this very specific way of living .","Once on the water, it's clear that life is completely customiz to these very specific living conditions."
"Comme à Makoko ou dans la Torre David , partout chez les Zabbalîn on trouve tous les mêmes services que dans n&apos; importe quel quartier .","Like Makoko and the Torre David , throughout the Zabbaleen you &apos;ll find all the same facilities as in any typical neighborhood .","As in Maction or in the bullpen David, all over the Zabbalin home we find the same services as in any neighborhood."
"Le succès de Coca est pertinent parce que si nous pouvons l&apos; analyser , en tirer des leçons , alors nous pouvons sauver des vies .","Coke &apos;s success is relevant , because if we can analyze it , learn from it , then we can save lives .","Coke's success is relevant because if we can analyze it, learn from it, then we can save lives."
"La plupart des gouvernements ont suivi le diktat des dirigeants autoritaires qui était de rester loin de ces différents groupes , parce qu&apos; ils étaient des terroristes .","Most governments followed the dictate of the authoritarian leaders to stay away from these different groups , because they were terrorists .","Most governments followed the Khanate leadership leaders who were to stay away from these different groups, because they were terrorists."
"Et quand la tension a augmenté , ils avaient déjà eu ce dialogue , et c&apos; était une force pour traiter différents problèmes .","And when tension increased , they already had that dialogue , and that was a strength to deal with different issues .","And when the tension went up, they had already had this dialogue, and it was a force to deal with different issues."
"Lentement , à partir de matériaux trouvés , les murs s&apos; élèvent , et les gens créent un espace avec n&apos; importe quels objets ou matériaux trouvés .","Slowly , from found materials , walls rise , and people create a space out of any found objects or materials .","Slowly, from the material found, the walls rise up, and people create a space with no matter what objects found."
"Même les canots deviennent des boutiques où des dames rament d&apos; une maison à l&apos; autre , en vendant de tout , du dentifrice aux fruits frais .","Even the canoes become variety stores where ladies paddle from house to house , selling anything from toothpaste to fresh fruits .","Even boats become shops where ladies run a house to another, selling everything, fresh fruit toothpaste."
Ils flottaient sur les canaux dans un canot large avec générateur pour que toute la communauté en profite .,They were floating through the canals in a large canoe with a fitted-out generator for all of the community to enjoy .,They were floating on the canals in a large lifeboat with a generator for the whole community to enjoy.
"Mais la situation évolue , et nous constatons qu&apos; il y a de nouveaux acteurs clés qui arrivent sur la scène .","But the picture is changing , and we are seeing that there are new key players coming onto the scene .","But the situation is evolving, and we see that there are new key actors coming on the stage."
Et le paradoxe est que la décennie précédente était si prometteuse — et principalement pour une raison .,And the paradox is that the decade before the last decade was so promising — and for one reason primarily .,And the paradox is that the last decade was so promising and mostly for a reason.
"Il est crucial de comprendre , je crois , à cause de la technologie et à cause de la mondialisation , les sociétés ascendantes .","It &apos;s crucial to understand , I believe , because of technology and because of globalization , societies from bottom-up .","It's crucial to understand, I believe, because of technology and because of globalization, representing society."
Mais le problème est que nous sortons d&apos; une décennie où nous avons eu peur de la toucher .,But the problem is that we are coming out of a decade where we had a fear of touching it .,"But the problem is, we've come out of a decade where we've been afraid to touch it."
Elles ont été conçues de manières très spécifiques par ce groupe de personnes qui n&apos; ont jamais fait d&apos; études en architecture ni en design .,Designed in very specific ways by this group of people who haven &apos;t had any education in architecture or design .,They were designed in very specific ways by this group of people who have never studied architecture or design.
"Dans cette tradition , la future mariée étale toutes ses possessions , qu&apos; ils apporteront bientôt à son nouveau mari .","In this tradition , the bride-to-be displays all of their belongings , which they soon bring to their new husband .","In this tradition, the bride lays all her possessions, which they will soon bring to her new husband."
"Bien que leur accès à l&apos; espace et à l&apos; argent soit limité , les maisons de cette zone sont conçues avec soin et souci du détail .","Despite having limited access to space and money , the homes in the area are designed with care and detail .","Although their access to space and money is limited, the houses in this area are designed with care and detail."
"Les règles d&apos; engagement : comment dialoguer , quand dialoguer , et comment traiter avec eux .","The rules of engagement : how to talk , when to talk , and how to deal with them .","The rules of engagement: how to talk, when to talk, and how to deal with them."
"Il peut y avoir une nécessité de les traiter avec des moyens militaires , mais ils ne peuvent pas être résolus par des moyens militaires .","They may have to be dealt with with military means , but they cannot be solved by military means .","There may be a need to treat them with military means, but they can't be solved with military means."
