source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Ah la vache!,- Holy moly.,Oh my God!,,,,
Ah la vache ! il l'a pas volé !,He sure had it coming.,Oh my God ! he didn&#39;t steal it!,,,,
Ah la vache !,Holy cow!,Oh my God !,,,,
Insulte-les de hippies et va droit au but.,Just call someone a hippie and get to the point.,Call them hippies and cut to the chase.,,,,
"Eh bien, tu es allé droit au but avec celle-la.","Well, you walked right into that one.","Well, you got straight to the point with this one.",,,,
"Chéri, il vaut parfois mieux éviter d'aller droit au but.","Honey, sometimes it's not the most perfect timing To get straight to the point.","Honey, sometimes it&#39;s better to avoid getting to the point.",,,,
J'en ai marre de jouer au chat et à la souris. J'ai Faith pour ça. Allons droit au but.,'Cause you know I'm here to take that call,I&#39;m tired of playing cat and mouse. I have Faith for that. Let&#39;s cut to the chase.,,,,
On va se faire cuire un œuf !,Let's go make some omelets!,We&#39;re going to cook an egg!,,,,
"Cette année, elle peut aller se faire cuire un œuf.",This year she can go... Blow a balloon.,"This year, she can go and cook an egg.",,,,
"Pour ce qui est de Mme Marko, dites-lui d'aller se faire cuire un oeuf.","And as for Mrs. Marko, I should tell her to go fry an egg.","As for Mrs. Marko, tell her to go and cook an egg.",,,,
"Attendez, soyons... Appelons un chat un chat.","Well now, let's be, let's call a spade a spade.","Wait, let&#39;s be... Let&#39;s call a spade a spade.",,,,
"Je suis prêt à appeler un chat un chat, pour dissuader les générations d'aujourd'hui et de demain.","There I am prepared to call a spade a spade, as a warning to present and future generations.","I am ready to call a spade a spade, to deter the generations of today and tomorrow.",,,,
Appelons un chat un chat.,Let's call a spade a spade.,Let&#39;s call a spade a spade.,,,,
"J'arrive comme un cheveu sur la soupe, mais j'ai pensé que je devais venir vous annoncer la nouvelle, personnellement.",It's rather remiss of me to intrude on you like this... but I really felt I should break the news to you personally.,"I arrive like a hair on the soup, but I thought that I had to come to announce the news to you, personally.",,,,
"Ça arrive comme un cheveu sur la soupe, c'est tout.","It's just a bolt out of the fucking blue, that's all.","It just happens like a hair in the soup, that&#39;s all.",,,,
Vanessa est arrivée comme un cheveu sur la soupe.,Vanessa turned up at an awkward moment.,Vanessa arrived like a hair in the soup.,,,,
J'ai du pain sur la planche.,Lotta irons in the fire.,I have cut out.,,,,
Tu as du pain sur la planche la.,You got your hands full over there.,You have your work cut out there.,,,,
"Ecoute, je sais que tu as du pain sur la planche, mais mes parents ne peuvent pas te supporter et mon cousin est...","Look, I know you have a lot on your plate, but my parents can't stand you, and my cousin is...","Look, I know you have your work cut out, but my parents can&#39;t stand you and my cousin is...",,,,
"Parfois, j'ai deux mains gauches.",Sometimes I'm just all thumbs.,Sometimes I have two left hands.,,,,
Tu as deux mains gauches !,You got hands like bricks!,You have two left hands!,,,,
Je dois avoir deux mains gauches.,I think I have two left hands.,I must have two left hands.,,,,
Les gens doivent avoir la banane en te voyant.,People have to be happy that you've arrived.,People must be pissed when they see you.,,,,
J'ai la banane quand je suis avec elle.,I can't help but smile when I'm around her.,I have the banana when I&#39;m with her.,,,,
Ils vont avoir la banane.,"Yeah, they'll go bananas for that one.",They will have the banana.,,,,
- Anita a le cafard. - Pas de problème.,Anita doesn't want to.,- Anita is blue. - No problem.,,,,
"- Toi aussi, tu as le cafard?",- We call it the blues.,- Do you have a blues too?,,,,
Tu as le cafard ? Je déteste les dimanches ici.,This place gives me the creeps on Sunday.,Do you have a cockroach? I hate Sundays here.,,,,
"C'est une fille qui a le cafard. Elle en a marre de la guerre, marre d'être seule, à attendre que son homme revienne.",It's about a very lonely girl who's sick and tired of war and being left alone.,"It&#39;s a girl who has the blues. She&#39;s tired of the war, tired of being alone, waiting for her man to come back.",,,,
J'ai eu la chair de poule toute la nuit.,So sick.,I had goosebumps all night.,,,,
J'en ai la chair de poule.,"- Gives me the creeps, to be honest. - Yeah.",I have goosebumps.,,,,
