sent,reference,translation
あっという間,Nothing.,So fast.
覚えてる あっという間の出来事,As I recall it ended much too soon You look marvelous.,"It happened so fast, I remember."
先生ならあっという間よ,Doctor Mixter have you stitched up in no time.,You'll be there in no time.
ほら ほら あっという間に過ぎ去る 取るに足らないことだ,"Look, look, it was fleeting, inconsequential.","See, see, it goes by so fast, it's unnecessary."
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"If this really is your last chance, we need to find you something spectacular.","If this is really the last chance, we're gonna have to find something to make him say it."
- 違うんだ - あっと言わせたくて,You're just trying to make me say something nice.,- I just wanted to make you say it.
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の2年、ヤムラに 最初のGP勝利をもたらしました,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.,Both delighted with the quick success of this new relationship which has brought Yaよra his first grand victory after two years of flying.
あっと言う間だ,In a heartbeat,It's happening really fast.
炎よ あっと言う間に 骨まで燃え尽きる,He'll melt the flesh off your bones in the blink of an eye.,"It's like a fire, and it's gonna burn all over your bones in the middle of an eye."
(哲希) プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"Well, that's right. If this continues, it will only benefit Yoshimori.","Well, that's right. If this keeps up, it'll only make our class better."
奉公に行かなくていいようにする,"I promise thee, you'll need not leave to serve the Tildens nor any family else.",I'll make sure you don't have to go to serve the lord.
あんたこそいい年をして,Jesus Christ! I was just thinking of a new cap.,"Jesus Christ, have a good new year."
いい年をして 鏡なんか覗き込みやがって これは父ちゃんにだ,"- Look, it's sweeping the floor.",It's sweeping the floor. It's sweeping the floor.
勝手なまねをした罰だ いい気味だ,Enough! They've had their fun!,I'm punishing you for doing something you didn't want to do. It's so cool.
- 全くいい気味だな メリー,"-Not too happy at all, Merry.","- It's totally disgusting, Merry."
いい気味だね,Crying like a sucky baby.,That's a nice touch.
さあさあ いい目が出でてくれよ,"CROUPIER: All right, boys. Come on, now.",Come on. Come on. Come on.
奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ,"Look into his eyes those big, pretty eyes and tell me yes or no.","Look into his eyes those big, pretty eyes and tell me yes or no."
