source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Ah la vache!,- Holy moly.,"Oh, my God!",,,,
Ah la vache ! il l'a pas volé !,He sure had it coming.,He didn't steal it!,,,,
Ah la vache !,Holy cow!,"Oh, my God!",,,,
Insulte-les de hippies et va droit au but.,Just call someone a hippie and get to the point.,Insult them with hippies and go straight to the point.,,,,
"Eh bien, tu es allé droit au but avec celle-la.","Well, you walked right into that one.","Well, you went straight to the point with this one.",,,,
"Chéri, il vaut parfois mieux éviter d'aller droit au but.","Honey, sometimes it's not the most perfect timing To get straight to the point.","Honey, sometimes it's better not to go straight to the point.",,,,
J'en ai marre de jouer au chat et à la souris. J'ai Faith pour ça. Allons droit au but.,'Cause you know I'm here to take that call,I'm tired of playing cat and mouse.,,,,
On va se faire cuire un œuf !,Let's go make some omelets!,Let's get an egg cooked!,,,,
"Cette année, elle peut aller se faire cuire un œuf.",This year she can go... Blow a balloon.,"This year, she can go and cook an egg.",,,,
"Pour ce qui est de Mme Marko, dites-lui d'aller se faire cuire un oeuf.","And as for Mrs. Marko, I should tell her to go fry an egg.","As far as Mrs. Marko is concerned, tell her to go and cook an egg.",,,,
"Attendez, soyons... Appelons un chat un chat.","Well now, let's be, let's call a spade a spade.","Wait, let's... let's call a cat a cat.",,,,
"Je suis prêt à appeler un chat un chat, pour dissuader les générations d'aujourd'hui et de demain.","There I am prepared to call a spade a spade, as a warning to present and future generations.","I'm ready to call a cat a cat, to deter generations of today and tomorrow.",,,,
Appelons un chat un chat.,Let's call a spade a spade.,Let's call a cat a cat.,,,,
"J'arrive comme un cheveu sur la soupe, mais j'ai pensé que je devais venir vous annoncer la nouvelle, personnellement.",It's rather remiss of me to intrude on you like this... but I really felt I should break the news to you personally.,"I'm coming like a hair on the soup, but I thought I should come and tell you the news, personally.",,,,
"Ça arrive comme un cheveu sur la soupe, c'est tout.","It's just a bolt out of the fucking blue, that's all.","It just happens like a hair on the soup, that's all.",,,,
Vanessa est arrivée comme un cheveu sur la soupe.,Vanessa turned up at an awkward moment.,Vanessa came in like a hair on the soup.,,,,
J'ai du pain sur la planche.,Lotta irons in the fire.,I've got work to do.,,,,
Tu as du pain sur la planche la.,You got your hands full over there.,You've got a lot of work to do here.,,,,
"Ecoute, je sais que tu as du pain sur la planche, mais mes parents ne peuvent pas te supporter et mon cousin est...","Look, I know you have a lot on your plate, but my parents can't stand you, and my cousin is...","Look, I know you've got work to do, but my parents can't stand you and my cousin is...",,,,
"Parfois, j'ai deux mains gauches.",Sometimes I'm just all thumbs.,Sometimes I have two left hands.,,,,
Tu as deux mains gauches !,You got hands like bricks!,You have two left hands!,,,,
Je dois avoir deux mains gauches.,I think I have two left hands.,I must have two left hands.,,,,
Les gens doivent avoir la banane en te voyant.,People have to be happy that you've arrived.,People must have the banana when they see you.,,,,
J'ai la banane quand je suis avec elle.,I can't help but smile when I'm around her.,I have the banana when I'm with her.,,,,
Ils vont avoir la banane.,"Yeah, they'll go bananas for that one.",They're gonna get the banana.,,,,
- Anita a le cafard. - Pas de problème.,Anita doesn't want to.,- Anita's got the cockroach.,,,,
"- Toi aussi, tu as le cafard?",- We call it the blues.,"- You got the cockroach, too?",,,,
Tu as le cafard ? Je déteste les dimanches ici.,This place gives me the creeps on Sunday.,I hate Sundays here.,,,,
"C'est une fille qui a le cafard. Elle en a marre de la guerre, marre d'être seule, à attendre que son homme revienne.",It's about a very lonely girl who's sick and tired of war and being left alone.,"She's tired of the war, tired of being alone, waiting for her man to come back.",,,,
J'ai eu la chair de poule toute la nuit.,So sick.,I've had chicken meat all night.,,,,
J'en ai la chair de poule.,"- Gives me the creeps, to be honest. - Yeah.",I've got the chicken's ass.,,,,
"Regarde, j'en ai la chair de poule.","Look, I got freakin' goose bumps.","Look, I'm a chicken.",,,,
"Ah la vache, j'en ai la chair de poule.",Oh my God I got goose bumps.,"Oh, my God, I'm a chicken.",,,,
