source,references,hypothesis,type
"Jos puhut minulle vielä kerran, leikkaan kurkkusi auki.","[""You're talking to me again and I'll cut your throat""]","If you talk to me one more time, I&#39;ll cut your throat open.",literal
Koodi sata First York-aukion pohjoispuolella.,"['Code one hundred. First York plaza, north of the square.']",Code one hundred north of First York Square.,literal
"Ajattelin niin siihen asti, kun viilsin kurkun auki.",['And I thought so right up till I slit his throat.'],I thought so until I slit my throat.,literal
Hänen kurkkunsa on viilletty auki...,"[""The throat's been cut.""]",His throat is slit open...,literal
Hänen rintansa oli viilletty auki.,['His chest was all cut up.'],Her chest was sliced open.,literal
Sinun asiakkaitasi eli persaukisia feministejä.,"[""Your clients. You mean the bleeding-heart feminists who don't pay the bills?""]","Your customers, i.e. fucking feminists.",literal
"""Senkin persaukinen runkku.""",['Women are always complaining about something.'],"&quot;Fucking body, too.&quot;",literal
-Joko he eivät pidä hänestä tai firma on persaukinen.,"[""Either they don't like him, or the rumors are true--""]",-Either they don&#39;t like him or the company is an asshole.,literal
Olet persaukinen ja aina poissa.,['He needs more than a deadbeat mother.'],You&#39;re a jerk and always gone.,literal
Persaukiset ei kelpaa.,"[""I don't want bums in here.""]",Persaukis are not suitable.,literal
- Jätä takki auki.,['- Leave it open.'],- Leave the jacket open.,literal
- Takki auki!,['–Open your jacket!'],- Jacket open!,literal
Isäntä kuljeskelee kotona kylpytakki auki.,"['My boss comes out of the bathroom with his robe open,']",The host walks around the house with his bathrobe open.,literal
"Kun saavuin, hän seisoi käytävällä aamutakki auki ja näytti villiltä.","['I got there, Yvette, I walked in, she was standing in the hallway looking wild, robe open, no gown, breasts hanging, just looking wild.']","When I arrived, he was standing in the hallway with his dressing gown open, looking wild.",literal
"Hänellä on ollut kylpytakki auki 30 vuotta, mutta nyt hän ei ole säädyllinen.","[""The woman hasn't tied her robe in 20 years. Suddenly she's not decent?""]","He&#39;s had his bathrobe open for 30 years, but now he&#39;s not modest.",literal
"- Olen ajanut väärään suuntaan jossain vaiheessa, - enkä löydä huoltoasemaa, joka olisi auki.","[""Can i help you? I have taken a wrong turn somewhere and can't find a gas station that is open.""]","- I&#39;ve driven in the wrong direction at some point, - and I can&#39;t find a gas station that&#39;s open.",literal
"""Jotka ovat auki kellon ympäri auttamassa siirtymä vaiheessa""","['""Wich will be opened around the clock to aid in the transition""']",&quot;Which are open around the clock to help in the transition phase&quot;,literal
Tarvitsisimme vaiheisen räjäyttääksemme sen auki.,"[""We'd need a phaser to blast it open.""]",We&#39;d need a phaser to blow it open.,literal
"Yksi kakkosvaiheen osallistujista jättäytyi pois, joten paikka on auki.","[""We're in a very limited Phase 2 efficacy trial, but one of the participants has dropped out, ****""]","One of the participants in the second phase dropped out, so the place is open.",literal
"En ehkä tänään tai huomenna, mutta jossain vaiheessa revin kurkkusi auki, ja sitten sinä kuolet.","[""Maybe not today, maybe not tomorrow, but at some point I'm gonna rip open up your throat, and you're gonna die.""]","Maybe not today or tomorrow, but at some point I&#39;ll rip your throat open, and then you&#39;ll die.",literal
Tuuletusaukoista pääsee ilmaa kaivokseen.,['Plenty of air in that old mine. Comes in from them ventilating shafts.'],Air enters the mine through the vents.,literal
Heittäisimmekö hänet ulos ilmalukosta?,['That we throw it out of an air lock?'],Shall we throw him out of the airlock?,literal
Heitä noppia ja pelaa.,"['Go, roll the dice and play.']",Roll the dice and play.,literal
Hän heitti partiolaiskeksini roskiin.,['He threw away my girl scout cookies.'],He threw my Girl Scout cookies in the trash.,literal
Heitit vaasin päähäni kolme vuotta sitten ja minä jäin. Sinä väistit.,['You threw a vase at me 3 years ago and did not go away.'],You threw a vase at my head three years ago and I stayed. You dodged.,literal
- Heitin sen menemään.,['Threw it away.'],- I threw it away.,literal
Tämä heitti veivinsä. - Varo laukaisinta,['Watch the detonator.'],This one threw its weight. - Watch out for the trigger,literal
"Mutta tämä kama heittää käsityskyvyn ovet niin auki, että voi nähdä kokonaan uuden maailman.","[""But this stuff, it, like, swings the doors of perception so wide open,... ..you can see a whole nother world out there. But it's still like this world, you know.""]",But this stuff throws the doors of perception so open that you can see a whole new world.,literal
"Jätin auton ovet auki - hän heitti roskat kyytiin, ja häivyimme paikalta.","['I was to have the doors open so she could throw the garbage in, and then we took off.']","I left the car doors open - he threw the trash in the car, and we disappeared.",literal
"Toimistoni on auki, jos haluatte heittää kamat pöydälleni.","['So, anyways, my office is unlocked if you guys just wanna, like, toss that on my desk or whatever.']",My office is open if you want to throw stuff on my desk.,literal
"Sinne voi ajaa, potkaista portin auki ja heittää, mitä tahtoo.",['Anyone can drive in there ...kick open a gate and dump whatever the hell they want.'],"You can drive there, kick open the gate and throw whatever you want.",literal
Kukaan ei voisi pitää ovea auki tarpeeksi pitkään heittääkseen ruumiin.,"[""There's no way that I could keep that open long enough to dump a body.""]",No one could hold the door open long enough to dump the body.,literal
"Yksi naisista heitti minulle vaiheisen, ja ammuin.",['One of the women threw me a phaser and I fired.'],One of the women threw a phaser at me and I fired.,literal
