source,references,hypothesis,type
Tuoko oli luonteva aasinsilta?,['And that was actually your segue?'],Was that a natural donkey bridge?,idiomatic
"Siinäpä aasinsilta muistoihin, eikö?","[""Now, there's a trip down memory lane.""]","That&#39;s a donkey bridge to memories, right?",idiomatic
Mikä onkin loistava aasinsilta seuraavaan asiaani.,['Which brings me to our next order of business.'],Which is a great bridge to my next thing.,idiomatic
Hieno aasinsilta itsemurhaan.,"['Nice speech, Mr. Hobson. Way to hit the suicide theme.']",Nice donkey bridge to suicide.,idiomatic
Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.,"[""And if anyone's a genius, it's me for the way I brought that full circle.""]",There&#39;s nothing more ingenious here than that donkey bridge I invented.,idiomatic
Yritäpä vielä asettua poikkiteloin.,"['Just do me a favor, man...']",Try to position yourself crosswise.,idiomatic
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","['If I even dreamed of defecting, Penelope would make my life hell.']","If I settled down, Penelope would make my life hell.",idiomatic
Enää en asetu poikkiteloin.,"[""William, I'm not going to get in your way no more.""]",I don&#39;t cross paths anymore.,idiomatic
"Jos aiotte asettua poikkiteloin, tiedätte missä ovi on.","['If either of you has a problem with it, you know where the door is.']","If you are going to set up with cross rollers, you know where the door is.",idiomatic
"En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.","[""I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.""]",I don&#39;t know anything. ― This place will be closed if you line up crosswise.,idiomatic
Haluan olla täysin perse auki neljässä sekunnissa.,['I want to be completely broke in the next four secds.'],I want to be fully ass-open in four seconds.,idiomatic
On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki.,"[""- I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I..""]",We need to meet Jack. The marriage is falling apart and we are wide open.,idiomatic
Olen persauki.,"[""Okay, I'm broke, man.""]",I&#39;m a persauki.,idiomatic
Otat riskin Lafayette-aukiolla.,"[""I watch the news. You're going for broke in Lafayette square.""]",You take a risk in Lafayette Square.,idiomatic
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","[""I only want you to know that if you feel like you're under water, if you need to talk, my door is open.""]","If you feel lost, - if you want to talk, my door is open.",idiomatic
Miten persaukisella olisi varaa 1 500 dollarin aseeseen?,"[""How's a guy that's so broke afford a $1500 handgun?""]","How could a persaukie afford a $1,500 gun?",idiomatic
"Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin.","[""You don't want to go home broke once John makes this shot.""]",You don&#39;t want to go home pissed off when John hits this beat.,idiomatic
Meidät putsattiin persaukiseksi.,['They cleaned us out.'],We were cleaned up.,idiomatic
Mitä persaukinen Randy Newman ajattelee asiasta?,"[""What's broke-ass Randy Newman's take on it?""]",What does Randy Newman think about it?,idiomatic
"Ehkä se oli väärin, mutta olin persaukinen.","[""Maybe that was wrong, but I was broke, and that's what I did.""]","Maybe it was wrong, but I was an asshole.",idiomatic
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,['I caught you stealing a bunch of coins out of the fountain at Logan Circle.'],Name one other oddity. You were caught red-handed stealing coins from the fountain in Logan Square.,idiomatic
"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.","['If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation.']","If you want to stay open, you will participate in a daily seminar where the 32 steps of hand washing are presented.",idiomatic
Äläkä yhtään ala aukoa päätäsi.,"[""Yes, we do have to and don't be so cheeky! Do you hear me, Davey?""]",And don&#39;t even start opening your head.,idiomatic
Mitä sä tuut tänne aukoon päätäs?,['Who the fuck do you think you are coming in here mouthing off at my mates?'],What are you bringing to the hole?,idiomatic
Kehtaatko aukoa päätäsi minulle?,"['Look at this guy, talking back to me.']",Do you dare open your head to me?,idiomatic
Pitikin aukoa päätä.,"[""It's all for talking shit to him. - I'll see you later.""]",I had to keep an open mind.,idiomatic
"Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.","[""You don't get a bitch pass just 'cause you're old.""]",You can&#39;t open your head to me just because you&#39;re old.,idiomatic
Ei hätä ole tämän näköinen.,"[""-Yeah. Don't worry about it.""]",It&#39;s not a problem like this.,idiomatic
"Odota, ei hätä ole tämän näköinen.","[""Just hang tight. It's not that bad.""]","Wait, it&#39;s not like this.",idiomatic
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","[""It looks worse than it is, it's just that we have a particular house style.""]","It&#39;s okay it doesn&#39;t look like this, but we use a certain style.",idiomatic
No DNA:ssa ei kauan nokka tuhise.,['The DNA testing is a piece of cake.'],"Well, it didn&#39;t take long for the DNA to grow old.",idiomatic
Et näe metsää puilta.,"[""You get myopic, can't see the forest for the trees.""]",You can&#39;t see the forest for the trees.,idiomatic
"Jotkut eivät näe metsää puilta. Vai mitä, Vincent?","['I guess some people just see what they wanna see, right, Vincent?']","Some people can&#39;t see the forest for the trees. Or what, Vincent?",idiomatic
Et näe metsää puilta... Kun kyseessä on perheesi.,"[""You can't see the forest through the trees, man -- not when it comes to family.""]",You can&#39;t see the forest for the trees... When it comes to your family.,idiomatic
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.","[""You can't see the forest for the trees... even when the forest is in your own backyard.""]","Sometimes you can&#39;t see the forest for the trees, even if the forest is in your backyard.",idiomatic
En nähnyt metsää puilta.,"[""I...couldn't see the wood for the trees.""]",I couldn&#39;t see the forest from the trees.,idiomatic
Täs ei olla jäniksen selässä. Deadlinet ei tuu vastaan aikoihin.,"[""I'm not in a rush, my deadline is far away.""]",This is not on the back of a hare. Deadlines don&#39;t always come.,idiomatic
"Sillä, joka hommasi sinut ilmiantajaksi, ei ollut kaikki intiaanit kanootissa.",['Listen. Whoever targeted you as an informant was asleep at the wheel.'],Whoever hired you to inform didn&#39;t have all the Indians in the canoe.,idiomatic
Hänellä ei ole kaikki muumit laaksossa.,"[""She's not in her right mind.""]",He doesn&#39;t have all the Moomins in the valley.,idiomatic
Minulla ei ole kaikki muumit laaksossa.,"[""You might've noticed I'm a few raisins short of a full scoop.""]",I don&#39;t have all the Moomins in the valley.,idiomatic
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"[""You may have been born yesterday, but I wasn't.Where did you get the gun?""]",I am not the son of yesterday&#39;s tea. Where did you get the gun?,idiomatic
En ole mikään eilisen teeren poika.,"[""I was born, but I wasn't born yesterday, son.""]",I&#39;m not a boy from yesterday.,idiomatic
Olenko muka eilisen teeren poika?,"['What am I, born yesterday?']",Am I the son of yesterday&#39;s tea?,idiomatic
- Hän ei ole eilisen teeren poika.,"[""- He's no milksop. I said I'd take care of it.""]",- He is not the son of yesterday&#39;s tea.,idiomatic
Näytänkö eilisen teeren pojalta?,['What? Do I look like I was born yesterday?'],Do I look like yesterday&#39;s tea boy?,idiomatic
Täällähän eletään kuin pellossa.,['Nasty motherfuckers. Got no goddamned home-training.'],Here we live like in a field.,idiomatic
Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia.,"[""You'd be like a pig in a barley field, with no control.""]",No one would be able to monitor your spending. You could live like a field without control.,idiomatic
Eukko elää kuin pellossa.,['Whoa. Homegirl clearly never met a trashcan.'],Eukko lives like a field.,idiomatic
Heitän vain yhden voimisteluliikkeen...,"[""I'll just do one of my gymnastics moves to...""]",I&#39;ll just throw in one gymnastic move...,idiomatic
Heitämme pikkuisen herjaa.,['Come on.'],We throw a little slur.,idiomatic
Minä heitän sinut.,"[""I'll take you.""]",I will throw you.,idiomatic
Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.,"['I mean, any normal man would have just turned up his toes and died. But not our Mick.']",Any normal man would have thrown in the towel - but not just our Mick.,idiomatic
"En tahdo odottaa, kunnes joku heittää veivinsä.","[""I don't wanna wait till some guy croaks.""]",I don&#39;t want to wait until someone throws in the towel.,idiomatic
Pari päivää sitten hän kolaroi moottoritiellä ja heitti veivinsä.,"['Couple days ago, he crashed into a semi on the freeway and died.']",A couple of days ago he crashed on the highway and threw his fork.,idiomatic
"Kun vanha ystäväni Popov heitti veivinsä, panin salkun hyllylle.","['When my old friend Popov died, I put my briefcase on the shelf for good.']","When my old friend Popov threw his knife, I put the briefcase on the shelf.",idiomatic
Mummo heitti veivinsä.,['My grandma croaked.'],Grandma threw her knife.,idiomatic
- Heittää lusikka nurkkaan.,['- Bit the dust.'],- Throws the spoon into the corner.,idiomatic
"Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan.","[""You should have included me in this huge decision you made about how our father's gonna leave this Earth.""]",You should have included me in this big decision of yours - the way our father throws the spoon in the corner.,idiomatic
Mbungon elättäjä heitti lusikan nurkkaan. Olemme rikkaita!,"[""Mbungo's sugar daddy just took a dirt nap, and we're rich!""]",Mbungo&#39;s breadwinner threw the spoon in the corner. We are rich!,idiomatic
Koska saatan pian heittää lusikan nurkkaan...,"['Seeing as I may be rapping on the door momentarily,']",Because I might throw the spoon in the corner soon…,idiomatic
Muut onki sitte heittäny lusikan nurkkaan.,['All the others have kicked the bucket.'],The others have been thrown into the corner of the spoon.,idiomatic
Nuori mies heittää tikkaa baarissa jumalan selän takana.,"[""- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.""]",A young man throws darts in a bar behind the god&#39;s back.,idiomatic
- Että heität tulevaisuutesi kankkulan kaivoon.,"[""I'm afraid you're gonna throw away your whole future.""]",- That you are throwing your future into the well.,idiomatic
Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.,"[""Either throw away everything you've worked for, including your family, or take back control of your life.""]",Either you throw your job and your family down the drain - or you take control of your life again.,idiomatic
Haluatko heittää Kankkulan kaivoon ne rahat?,['You want to see that money go out the front door?'],Do you want to throw that money into Kankkula&#39;s well?,idiomatic
"Hän soitti suurlähetystöön, joka heitti pallon meille.","['She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us.']","He called the embassy, which dropped the ball on us.",idiomatic
Hevonen karkaa.,['Your zipper is open.'],The horse runs away.,idiomatic
Ja että hevosesi karkaavat?,['And that the barn door on your ski suit is open?'],And that your horses run away?,idiomatic
- Hevoset karkaa!,"['- Your flies, Charlie! - Mm?']",- The horses run away!,idiomatic
Hevosesi karkaavat.,['Oops.'],Your horses run away.,idiomatic
- Hevoset karkaavat.,['Your pajama thing is a little bit open.'],- The horses run away.,idiomatic
"Onneissaan Ykän lähdöstä, Beatrice hymyilee kuin hangon keksi.","['Thrilled that George was leaving, Beatrice beamed like a Cheshire cat,']","Happy about Ykä&#39;s departure, Beatrice smiles like Hanko&#39;s cookie.",idiomatic
"Cordy hyppii seinille, kun saa kuulla tästä.","['I mean, Cordy is gonna lose it when she finds out...']",Cordy is jumping up and down when she hears about this.,idiomatic
"Kuulostaa siltä, että kiinnostaa, koska tuskin muuten hyppisit seinille.","[""It kind of sounds like you care, Tibby. Otherwise you wouldn't be here freaking out.""]","It sounds like you&#39;re interested, because you&#39;d hardly be jumping on walls otherwise.",idiomatic
Haluatko saada hänet hyppimään seinille?,['What do you say? Should we drive him crazy?'],Want to make him jump on walls?,idiomatic
"Jos Gaby saa selville, hän hyppii seinille.","[""You know, if Gaby finds out, she's gonna hit the ceiling.""]","If Gaby finds out, she&#39;ll jump the walls.",idiomatic
Hän hyppii seinille.,"[""She's bouncing off of the walls. Please. - Dawn.""]",He jumps on the walls.,idiomatic
Partiz katosi ihmisten ilmoilta.,"['So, Ronnie Partiz now goes deep underground.']",Partiz disappeared from human sight.,idiomatic
"Tapaat naisen, jos lähdet ihmisten ilmoille. Ymmärrätkö?",['You will meet someone if you go out and try to meet people.'],You will meet a woman if you go out in front of people. Do you understand?,idiomatic
Otetaanpas sinut ihmisten ilmoille.,"['Come on, little mate, out you come.']",Let&#39;s introduce you to people.,idiomatic
Huhun mukaan olet käynyt enemmän ihmisten ilmoilla.,"[""So, rumor has it, you're getting out more often.""]",Rumor has it that you have visited more people.,idiomatic
"Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.",['As people with no ID no money no memories do.'],"As a person without ID, - no money, no memories.",idiomatic
Bougainvilleläiset tapaavat löytää ulos- pääsyn hämmästyttävän itsepintaisesti,['Finding a way out is something the Bougainvillians tend to do with startling regularity.'],Bougainvilleans tend to find a way out with amazing persistence,idiomatic
Tämä herra tahtoo itsepintaisesti puhua rouvan kanssa.,"['This gentleman is most insistent upon speaking to her ladyship, sir.']",This gentleman insistently wants to talk to the lady.,idiomatic
Siitä lähtien hän itsepintaisesti ja tehokkaasti - alkoi sepittää teoriaa normaalista kuolemasta.,"['Leaving from there, insistent and superficially, it defended the theory of death for natural causes.']","From then on, he persistently and effectively - began to forge a theory about normal death.",idiomatic
Silti sinä itsepintaisesti haluat rakastaa minua.,"[""And yet you're obstinate in your desire to do so.""]",Yet you stubbornly want to love me.,idiomatic
Onko korvissanne soinut itsepintaisesti?,['Have you been hearing a persistent ringing in your ears? Almost an agreeable ringing?'],Do you have persistent ringing in your ears?,idiomatic
- Jo alkaa lyyti kirjoittamaan.,"[""- Well, that's more like it.""]",- Lyyti is already starting to write.,idiomatic
- No johan alkoi lyyti kirjoittaa.,"[""- Now we're getting someplace.""]","- Well, Johan, Lyyti started to write.",idiomatic
- Jo alkoi lyyti kirjoittaa.,"[""- Now we're getting somewhere.""]",- Lyyti already started writing.,idiomatic
Jo alkoi Lyyti kirjoittaa.,"[""Now we're getting somewhere.""]",Lyyti already started writing.,idiomatic
Jo alkoi lyyti kirjoittaa.,"[""Well, now you're singing a tune that we may dance to.""]",Lyyti already started writing.,idiomatic
Sayid oli jumalan selän takana.,['Sayid was in the middle of nowhere.'],Sayid was behind the god&#39;s back.,idiomatic
Me olemme jossakin helvetin methlabrassa jumalan selän takana.,['We are stuck in a shed in the middle of lorteland.'],We are in some hellish methlabra behind the god&#39;s back.,idiomatic
"Sinun pitäisi olla sairaalassa, ei täällä jumalan selän takana.","[""You're sick, Dad. You should be in a hospital not stuck out here in the middle of nowhere.""]","You should be in the hospital, not here behind god&#39;s back.",idiomatic
Täällä jumalan selän takana ei ole kyttyyiä.,"[""It's a rowdy place. It's out in the middle of nowhere.""]",There are no squatters here behind the god&#39;s back.,idiomatic
"Täällä jumalan selän takana, suuri virran kulutus paljastaisi homman FBI: lle.","['Out here in the sticks, the Feds are tipped off to high consumption.']","Here behind the god&#39;s back, the high power consumption would reveal the matter to the FBI.",idiomatic
"En halua juosten kustua anteeksipyyntöäsi, vaan lupauksen.","[""I don't want your half-assed apology. I want a promise from you.""]","I don&#39;t want to run and piss off your apology, but a promise.",idiomatic
Sitten juoksette pää kolmantena jalkana luoksemme.,['Then you flock to us. Huh?'],Then you run headfirst to us.,idiomatic
He juoksivat pää kolmantena jalkana.,['They preferred to run.'],They ran the head as the third leg.,idiomatic
"Onko järkesi jäässä, Ante?","['No, Ante, are you stupid?']","Are you out of your mind, Ante?",idiomatic
- Onko sulta perkele järki jäässä?,['Have you gone mad?'],- Are you out of your damn mind?,idiomatic
Toivottavasti hän onnistuu pysymään kaidalla polulla.,"['Now, if only she can strike that happy balance between creative curiosity and criminal trespass.']",I hope he manages to stay on the right path.,idiomatic
"Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille.","['That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account.']","That we have deviated from the narrow path that the Creator set, and now he is calling us to account.",idiomatic
Useampikin vartija on eksynyt kaidalta polulta.,['Um... I show more than a few prison guards that have strayed from the path of righteousness.'],More than one guard has lost his way from the narrow path.,idiomatic
Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle.,['It was your class that got Kristen off the cannabis and onto the right track.'],"Thanks to you, Kristen quit drugs and got back on track.",idiomatic
Lähden kaidalle polulle.,"[""I'm giving up the trade, going straight.""]",I&#39;m going to the track.,idiomatic
"Jos selviän, minulla on kana kynittävänä kanssasi.","['If I do make it, you and I have unfinished business. Yeah, I know.']","If I make it, I&#39;ll have a chicken to pluck with you.",idiomatic
Meillä on kana kynittävänä.,"[""I've got a score to settle with you.""]",We have a chicken to pluck.,idiomatic
- Sinullakin oli kana kynittävänä.,"[""And then there's your beef with her on top of that.""]",- You also had a chicken to pluck.,idiomatic
Minulla on kana kynittävänä.,['I have a score to settle.'],I have a chicken to pluck.,idiomatic
Minulla on kana kynittävänä kanssasi.,"[""I've got a bone to pick with you, Detective.""]",I have a chicken to pluck with you.,idiomatic
1900 dollaria kankkulan kaivoon.,['Nineteen hundred dollars down the drain.'],"$1,900 for the well of the mound.",idiomatic
250 dollaria meni kankkulan kaivoon.,"[""$250 and we didn't learn a goddamn thing. $250?""]",250 dollars went into the well of the dumpling.,idiomatic
Pantavaksi kankkulan kaivoon.,"[""He's asking us to fund a wild goose chase.""]",To be put in the well of the dumpling.,idiomatic
"Johtuu kai siitä, että rahat meni kankkulan kaivoon.","[""I guess it's having just thrown $200,000 into the toilet.""]",I guess it&#39;s because the money went down the well.,idiomatic
Siis miljoonien dollarien edestä tavaraa kankkulan kaivoon.,"[""Now, we're talking about millions of dollars of merchandise down the drain.""]","That is, in front of millions of dollars of stuff in the well of the kannkula.",idiomatic
Se on aidattu ja keskellä ei-mitään.,"[""I don't know. It's in the middle of nowhere. It's all fenced in.""]",It&#39;s gated and in the middle of nowhere.,idiomatic
Meidän ei pitäisi tehdä tätä keskellä ei-mitään.,"[""We shouldn't do this in the middle of nowhere.""]",We shouldn&#39;t be doing this in the middle of nowhere.,idiomatic
