source,references,hypothesis,type
あっという間,['Nothing.'],"the time it takes to say ""Ah!",idiomatic
覚えてる　あっという間の出来事,['As I recall it ended much too soon You look marvelous.'],I remember. It happened so fast.,idiomatic
先生ならあっという間よ,['Doctor Mixter have you stitched up in no time.'],You'll be up and running in no time.,idiomatic
ほら　ほら　あっという間に過ぎ去る 取るに足らないことだ,"['Look, look, it was fleeting, inconsequential.']","See, see, it goes by so fast, it's insignificant.",idiomatic
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"['If this really is your last chance, we need to find you something spectacular.']","If this really is our last chance, we need to find something to wow.",idiomatic
- 違うんだ - あっと言わせたくて,"[""You're just trying to make me say something nice.""]",- I just wanted to surprise you.,idiomatic
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の２年、ヤムラに 最初のＧＰ勝利をもたらしました,['Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.'],"We are both pleased with the early success of this new partnership, which, in the blink of an eye, has brought the Yamura its first GP victory in two years.",idiomatic
あっと言う間だ,['In a heartbeat'],It goes by in a blink of an eye.,idiomatic
炎よ あっと言う間に 骨まで燃え尽きる,"[""He'll melt the flesh off your bones in the blink of an eye.""]","The flames, they'll burn you to the bone in the blink of an eye.",idiomatic
（哲希） プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"[""Well, that's right. If this continues, it will only benefit Yoshimori.""]",（That's right... If things continue as they are... Our class will be made to do Yoshimori's bidding.,idiomatic
奉公に行かなくていいようにする,"[""I promise thee, you'll need not leave to serve the Tildens nor any family else.""]",Make sure you don't have to go to serve.,idiomatic
勝手なまねをした罰だ いい気味だ,"[""Enough! They've had their fun!""]",I'm punished for my own selfishness. It's a nice touch.,idiomatic
- 全くいい気味だな メリー,"['-Not too happy at all, Merry.']","- That's a real nice touch, Merry.",idiomatic
いい気味だね,['Crying like a sucky baby.'],That's a nice touch.,idiomatic
さあさあ いい目が出でてくれよ,"['CROUPIER: All right, boys. Come on, now.']","Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",idiomatic
奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ,"['Look into his eyes those big, pretty eyes and tell me yes or no.']","Look at him... Look at his big, pretty eyes. Answer me.",idiomatic
まわりの連中は　いい迷惑だな 自分が間違ってることを 君は決して認めない,"['You know, it must be very difficult for people around you, the fact you can never admit to being wrong.']","It's a pain in the ass for those around you, because you'll never admit you're wrong.",idiomatic
患者さん　いい迷惑だな。,['What a nuisance it must be for the patient.'],Patient Good inconvenience.,idiomatic
彼はいい顔をしないわ,"[""I'd tell him myself, but he wouldn't understand.""]",He won't look good.,idiomatic
いい子になるのも・・,['I was free.'],And being a good boy...,idiomatic
あなたは走り続けた　スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを,"[""You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life.""]","You kept running, Sue, because you wanted to be a good girl, dreaming of being a college student and having a great prom with the boyfriend of your dreams.",idiomatic
では いい子になるのよ,"['Now remember, Pinocchio, be a good boy.']",Then be a good girl.,idiomatic
