source,references,hypothesis,type
"Salut. Ah la vache, ils sont costauds, ceux-là.","[""Oh my God, who's winning so far?""]","Hi. Ah the cow, they are sturdy, those.",idiomatic
Ah la vache !,['Holy cow!'],Oh my God !,idiomatic
"Ah la vache, c'est le saumon.","[""It's the salmon guy!""]","Ah the cow, it is the salmon.",idiomatic
"Et maintenant, une jeune femme qui va droit au but, ma sœur, Roberta Tubbs.","['And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs.']","And now a straight-to-the-point young woman, my sister, Roberta Tubbs.",idiomatic
"Rebecca, je... je vais aller droit au but.","['Becca, there is no easy way to say this...']","Rebecca, I... I&#39;m going to cut to the chase.",idiomatic
"Mais je suis d'accord avec l'idée de Gina ""D'aller se faire cuire un œuf.""","['But I\'m going with Gina\'s ""suck an egg"" idea.']",But I agree with Gina&#39;s idea &quot;To go and cook an egg.&quot;,idiomatic
Je lui ai dit d'aller se faire cuire un oeuf.,['I told him to go fly a kite.'],I told him to go boil an egg.,idiomatic
Nous appellerons un chat un chat.,"[""We're going to call a spade a dirty spade.""]",We will call a spade a spade.,idiomatic
J'appelle un chat un chat...,['If it walks like a duck...'],I call a spade a spade...,idiomatic
J'ai du pain sur la planche...,"[""I've got a lot on my plate and um...""]",I have cut out...,idiomatic
Tu as du pain sur la planche.,['You have a job to do.'],You have your work cut out.,idiomatic
"Je le ferais bien moi-même, mais j'ai deux mains gauches.","[""I would do it myself, but I am all thumbs. Yeah, I'm sorry about that.""]","I would do it myself, but I have two left hands.",idiomatic
"Sally, tu as deux mains gauches ce soir.","['Oh, Sally, you are fingers and thumbs tonight.']","Sally, you have two left hands tonight.",idiomatic
j'aurai la banane.,"[""I'll go bananas.""]",I will have the banana.,idiomatic
La centrifugeuse d'isotopes a la banane.,['The isotope centrifuge went bananas.'],The Banana Isotope Centrifuge.,idiomatic
"""J'ai le cafard à cause de toi.","['""I\'ve got the blues for you.']",&quot;I&#39;m feeling blue because of you.,idiomatic
J'avais le cafard et j'ai dit quelque chose dans ma langue.,['I was lonely. I wanted to say something in my own language.'],I felt blue and said something in my language.,idiomatic
"Chaque fois que je pense au jour où on s'est rencontré, j'ai la chair de poule.","['Every time I think about the day we met, I just get goosebumps all over again.']","Every time I think about the day we met, I get goosebumps.",idiomatic
"J'ai la chair de poule, Andie.","['- This is really creepy, Andie.']","I have goosebumps, Andie.",idiomatic
Avait le coeur sur la main.,['Wore his heart on his sleeve.'],Had his heart on his sleeve.,idiomatic
Elle a le coeur sur la main.,"[""She's got a big heart.""]",She has her heart on her sleeve.,idiomatic
"Super, j'ai la dalle.","[""- Oh, good, 'cause I'm starving.""]","Great, I have the slab.",idiomatic
Je fume pour ça. J'ai la dalle.,"[""That's why I wanna smoke, I'm starving.""]",I smoke for this. I&#39;m starving.,idiomatic
"Par contre, j'ai la dalle.",['I am starving though.'],"However, I have the slab.",idiomatic
Ses parents avaient la flemme de l'appeler Bob ?,"['What, his parents were too lazy to come up with, like, Bob?']",His parents were too lazy to call him Bob?,idiomatic
Je ne sais pas si sortir ou pas. J'ai la flemme...,"[""I don't know if I want to go or if I'm too tired but...""]",I don&#39;t know whether to go out or not. I&#39;m lazy...,idiomatic
"Là, j'ai la gueule de bois.","[""Now I'm just hung-over.""]","There, I have a hangover.",idiomatic
J'ai la gueule de bois par ta faute.,['And I am hung over because of you.'],I&#39;m hungover because of you.,idiomatic
"Laisse-moi tranquille, j'ai la gueule de bois.","['Oh, leave me alone, I have a hangover.']","Leave me alone, I&#39;m hungover.",idiomatic
"O.K., vous avez la patate.",['Fine. You guys rock.'],"OK, you have the potato.",idiomatic
"- Ouais, j'avais la patate.","[""You should've seen me.""]","- Yeah, I had the potato.",idiomatic
"J'ai la patate, ce matin.","[""I'm on top form today.""]",I have the potato this morning.,idiomatic
"Nous, on a la patate !",['We all feel great.'],We have the potato!,idiomatic
"Soudain, t'as la pêche ?","[""Now all of a sudden you're fired up?""]","Suddenly, you&#39;re fishing?",idiomatic
Les Rockets ont la pêche...,"[""These Rockets are movin' today.!""]",The Rockets have the fishing...,idiomatic
"Vous avez les yeux plus gros que le ventre, mon ami.","[""You've bitten off more than you can chew this time, my friend.""]","Your eyes are bigger than your stomach, my friend.",idiomatic
Elle pense qu'on a les yeux plus gros que le ventre.,['She worries our eyes might be a little bigger than our stomachs.'],She thinks our eyes are bigger than our stomachs.,idiomatic
Et je n'ai pas eu l'occasion de t'en parler parce qu'on avait d'autres chats à fouetter.,"[""And I didn't get a chance to tell you because we had bigger fish to fry.""]",And I didn&#39;t get a chance to tell you about it because we had other fish to fry.,idiomatic
"Pour le moment, on a d'autres chats à fouetter.","['But right now, we got bigger fish to fry.']","For the moment, we have other fish to fry.",idiomatic
J'ai dû avoir un chat dans la gorge.,"[""Must've been a frog in my throat.""]",I must have had a spade in my throat.,idiomatic
