idiom,lang,meaning
Avoir un coup de foudre,fr,"to fall in love at first sight, to fall madly in love"
Se faire larguer,fr,to get dumped
Se prendre un râteau,fr,to get knocked back
Poser un lapin à quelqu’un,fr,to stand somebody up
S’envoyer en l’air,fr,to get laid
Avoir le cafard,fr,"to feel blue, to feel down, to feel depressed"
Avoir la pêche,fr,"to feel great, to feel happy, to be in high spirits"
Avoir la banane,fr,"to feel great, to feel happy, to be in high spirits"
Avoir la patate,fr,"to feel great, to feel happy, to be in high spirits"
Avoir la dalle,fr,"to be starving, to feel hungry"
Crever la dalle,fr,"to be starving, to feel hungry"
Prendre la tête,fr,"to bother someone, to give yourself a headache. to drive crazy"
En avoir marre,fr,to be fed up with something or someone.
Avoir du pain sur la planche,fr,to have a lot on your plate
Être canon,fr,"to be hot, to fit the standard of beauty"
Être à l’ouest,fr,"to be spaced out, to not be with it."
Être rouge comme une tomate,fr,to be as red as a beetroot
Être rouge comme une écrevisse,fr,to be as red as a beetroot
Être rouge comme une pivoine,fr,to be as red as a beetroot
Être crevé,fr,"to be exhausted, to be extremely tired"
Être mal en point,fr,to be in a bad state
En avoir ras le bol,fr,to be fed up with
Avoir la flemme,fr,"to be lazy, can’t be bothered"
Avoir une peur bleue de,fr,"to be terrified, to be scared to death of something"
Ne pas être dans son assiette,fr,to be/feel under the weather
Avoir la moutarde qui monte au nez,fr,to lose your temper
Être au taquet,fr,"to be going flat out, to be going full throttle, to be full on"
Avoir la gueule de bois,fr,to have a hangover
Avoir un chat dans la gorge,fr,To have a frog in one’s throat.
Être bien dans sa peau,fr,"to be comfortable in your own skin, to feel good about yourself"
Avoir un QI d’huître,fr,to be stupid
Avoir un poil dans la main,fr,to be lazy
Manger sur le pouce,fr,"to eat on the go, on the run."
Boire comme un trou,fr,"to drink like a fish, to drink heavily"
Boire un coup,fr,to have a drink
Avoir les yeux plus gros que le ventre,fr,to bite off more than you can chew.
Un froid de canard,fr,"to be bitterly cold, to be icy cold"
Pleuvoir des cordes,fr,to be raining cats and dogs
Jeter l’argent par les fenêtres,fr,"to carelessly spend money, to waste money, to splurge"
Une bouchée de pain,fr,for next to nothing.
Blanchir de l’argent,fr,to launder money
Ne pas y aller de main morte,fr,"to make no bones about it, to be heavy-handed, to not pull one’s punches"
Coûter les yeux de la tête,fr,"to cost an arm and a leg,to cost a fortune"
Coûter les yeux un bras,fr,"to cost an arm and a leg,to cost a fortune"
S’en mettre plein les poches,fr,to line your pockets
Rouler sur l’or,fr,"to be rolling in money, to be rich"
Se serrer la ceinture,fr,to tighten one’s belt
Casser les pieds à quelqu’un,fr,"to annoy, bother someone"
Casser du sucre sur le dos de quelqu’un,fr,to talk about someone behind his/her back
Tourner au vinaigre,fr,"to get out of control, to get nasty."
Faire la grasse matinée,fr,to sleep in.
Tomber dans le panneau,fr,to fall into the trap.
Jeter un coup d’oeil,fr,"to cast a glance, to take a look."
