idiom,lang,meaning,noun_translation
aasinsilta,fi,A tenuous connection between an old discussion topic and a new one.,[]
aataminaikainen,fi,"(Of an object) very old, old-fashioned",['dawn time']
lähtee vetään,fi,To leave immediately. Pull off.,[]
auki,fi,"Without money, broke, to owe money",[]
aukoa päätään,fi,To speak provocatively to someone.,[]
ei hätä ole tämän näköinen,fi,Don't worry. We'll make through this (in a distress/stressful situation),[]
ei kauan nokka tuhissut,fi,Something happened or was over very quickly.,[]
ei ole kaikki muumit laaksossa,fi,Person is not too bright / has mental issues,['in Akso']
ei ole kaikki intiaanit kanootissa,fi,Person is not too bright / has mental issues,[]
ei olla jäniksen selässä,fi,Not to be in an immediate hurry.,[]
ei olla suu tuohesta,fi,Not to abstain from food or drink (always used with a negative).,[]
ei sylkeä lasiin,fi,Not to abstain from alcohol (always used with a negative).,[]
eilisen teeren poika,fi,"Inexperienced, gullible (usually used with a negative, ""nobody's fool"")",[]
ei nähdä metsää puilta,fi,"To stick to details, failing to see from a wider perspective",[]
elää kuin pellossa,fi,"To live without cleaning up after oneself, or bothering about what others think about one.",[]
en minä voi siksi muuttua,fi,"A statement that a desired object simply isn't available, no matter how much someone keeps asking for it. The word ""siksi"" (into that) is substituted with the object in question, in translative ""-ksi"".",['I']
heittämällä,fi,With little or no effort required.,[]
heittää lusikka nurkkaan,fi,To die or to give up.,[]
heittää veivinsä,fi,To die.,[]
hevoset karkaa,fi,"A euphemism for ""your fly is open"".",[]
hoo moilasena,fi,"Shocked, mouth agape, utterly unprepared, never heard",[]
"huitsin Nevadaan
hevon kuuseen",fi,"Away, to an unknown place, never to be seen again. While the name Nevada is an obvious reference to the U.S. state, ""huitsin"" probably refers to Hiisi.",[]
hymyillä kuin Hangon keksi,fi,To smile very broadly and happily.,[]
hyppiä seinille,fi,To act alarmedly; to panic.,[]
ihmisten ilmoilla,fi,"At a place popular or populated enough to earn one's respect. Can also be used more literally, to mean at a place where one can be rescued.",[]
irtoaa kuin mummon hammas,fi,"Goes very, very easily.",[]
itsepintaisesti,fi,insistently.,[]
jo alkaa Lyyti kirjoittaa,fi,Something is finally succeeding and one can proceed.,['already']
"joka kumartaa yhdelle, pyllistää toisille",fi,"If you favour one, you'll discriminate the others.",[]
joko teet tai itket ja teet,fi,"A direct order to do something, whether the addressed wants to do it or not. The word ""teet"" ('you do') can be substituted with whatever verb is necessary from context.",[]
juopon napit,fi,When someone buttons up his/her shirt wrong.,[]
Jumalan selän takana,fi,"Possibly a calque from the English phrase ""a godforsaken place"". Sometimes implies a disrespect of rural communities.",[]
juosta pää kolmantena jalkana,fi,To be in a great hurry,[]
juosten kustu,fi,Haphazardly implemented.,[]
järki jäässä,fi,Being clueless about something or understanding the point slowly.,[]
kaidalla polulla,fi,To live within the law (possible Biblical metaphor).,[]
kaksipa päätä makkarassa,fi,"Two sides of a thing, cf. ""two sides of a coin""",[]
