sent,reference,translation
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then be a good boy.
お呼びじゃないでしょ,And he didn't invite me.,You're not invited.
彼 お呼びじゃないわ,He hasn't called.,He's not invited.
騎兵隊はお呼びでないか? そうだ,No cavalry comin'?,You didn't call the cavalry?
それはそれは,That's... That's awkward.,That's weird.
それは それは良かった - クソ,"That's-- that's good, right?",That's--that's good.
それはそれは常にされています方法です。,That's the way it's always been.,That's how it's always been.
エンジンが 掛からない,It won't start.,The engines didn't start.
俺の頭に メスを入れようとするんだ,They're going to cut into my brain.,They're gonna put meth in my head.
地雷の上に立ってる。,He's standing on a mine.,Standing on a land mine.
光の輝く柱の上に立つ,He'd be standing atop a shining pillar of light.,Standing on a pillar of brilliance.
私は、見たのよ。 アストラを。 ナイフを持って、 ジョンの上に立ってた。,- I saw Astra standing over J'onn.,I saw Astra standing on John's ass with a knife.
この世に出てくるため自分の母親を殺したお前が?,"You, who killed your mother to come into the world?",You killed your mother to come out here?
本当にお世話になりました,You've taken real good care of me.,Thank you so much.
彼の世話になった,"- Sonny -- he, uh -- you know, he looked after me.",You took care of him.
(なな恵) 同じ寮で と っ ても お世話になった綾さんだった,It was Aya from the same dorm. Who really took care of me.,Even in the same dorm.
お前が育つにつれ 世話を焼いた,"And as you grew up I cared for you still, made you a nice bed for your slumbers.","Every time you grew up, I took care of you."
お前が育つにつれ 世話を焼いた,"And as you grew up I cared for you still, made you a nice bed for your slumbers.","Every time you grew up, I took care of you."
誰かが親切に世話を焼いたんだね。 だれかが しんせつに せわをやいたんだね Someone must've helped you,Someone must've helped you,Someone must've helped you
あの晩 雨の中に立って,I was standing there that night in the rain.,I was standing in the rain that night.
ああ、だが君も見ただろ 中性子ビームの中に立っていた,"Well, you saw it yourself, standing in those neutron beams.","Yeah, but you saw him, too, standing in a Neutron beam."
ど真ん中に立ってた,I was standing right in the middle of it.,He was standing in the middle of it.
ある時点から 地球は丸くなったということだ,"At one point, so was the Earth being round.","At some point, your earth has crawled around."
アイツがマイクロボットを盗んで 火事を起こしたんだ,"He stole my microbots, he started the fire.",He stole your microbots and set him on fire.
火事を起こしちゃいない,You didn't start the fires.,I didn't start those fires.
賛同する仲間は 数百いる ここで事を 起こす事だって,"We can mobilize hundreds more behind you, it could get pretty messy in here, Mr. Randol.",There are hundreds of us that agree with that.
それが 癌みたいに主人を 食い荒らしていったの,It ate him up like a cancer.,They ate him like a cancer.
人を食うことが 気色悪いのは分かる,I know it's pretty damn weird to eat people.,I know it's creepy to eat people.
人を食う木箱の怪物,Things coming out of crates and eating people?,I'm the monster in a crate that eats people.
仮面を被っていた,Said they were masked.,He was wearing a mask.
男は仮面を被っていた,Men wore masks.,The man was wearing a mask.
彼女との仲を裂き,You just want to scare me so I'll split!,I need to break relations with her.
こんどはその借りを 返してもらうこととしますか,It holds fair now you return the favour.,You want me to repay that debt?
ラニスターは必ず借りを返す,The Lannisters pay their debts.,A Lannister always pays his debts.
信じてないよね? 借りを返すべき 存在なんて,You don't really think there's someone out there holding my I.O.U.,You don't believe... you don't think there's anyone who needs to pay off that debt.
もう少し先が見える,Just a little further.,I can see a little further.
行き先が見えてるから,Cause I know where I'd be going.,I can see where you're going.
先が見えた,I see daylight.,I saw the future.
先を読んで,Read on.,Read on.
※冷たくならないって素敵よね。,"It must be nice, never getting cold.",It's nice not to be cold.
天候が変わって冷たくなった,The weather has turned cold,"The weather changed, it got colder."
何か食べてください 食べ物は冷たくなっています,Have something to eat. The food is getting cold.,Please eat something. The food is getting cold.
割に合わない投資は嫌いだ,I hate bad investments.,I don't like an investment that's less than fair.
割に合うなら良いけど・・ 進んで,I hope it turns out to be worth the expense.,"I hope it fits, but you need to move on."
今すぐ電力を付けなきゃ,We've got to get the power back on now.,We need to turn it on now.
[電力を落とす],[electricity powering down],[engine turning]
我々が電力を落としたんです,We cut your power.,We cut the power.
身動きが取れなかった,And I was tangled in...,I couldn't move.
今、2台の車に囲まれて 身動きが取れない,We're about ready to be boxed in by two cars.,We're surrounded by two cars right now. I can't move.
身動きが取れない,They've got us pinned in.,I can't move.
他の飛行機とは勝手が違うから。,This isn't like other planes.,This isn't like the other flights.
外とは勝手が違うが 心配するな,Don't be alarmed. You will notice that things work differently here.,"Well, it's not fair out there, but don't worry."
英国とは勝手が違うでしょ?,"Yes, well, I'm sure things are very different in England.","You're not that unselfish, are you English?"
至福なるこの飲み物を 口にすれば 煩悩のない 永遠の命を得られる,One sip of this heavenly brew will give ever-lasting life... free from mortal suffering and desire.,"If you ever drink this rambling drink, you'll have a life without suffering."
コーヒーにタバコと コカの葉しか口にしなくて,"He's been on a diet of coffee, tobacco, and coca leaves.",I only have cigarettes and dog leaves for coffee.
ヒトラーは三千年のドイツ帝国を口にする。 だが、1ヶ月も軍隊を養えない。,"Hitler speaks of a 1,000-year Reich, but he cannot feed his armies for a month.","Hitler will commit 3000 years of German Empire, but he won't feed an army for a month."
"口を開いて ""あー""って言って","Open your mouth. Say, ""Ah.""","Open your mouth and say, ""Aah."""
口を開いたら、,"If you open your mouth,","When I open my mouth,"
その口を開くんだ,Open your damn mouth.,Open your mouth.
右から左,Right one over the left.,Left to the right.
レポートによると 右から左への軌道ね,The directionality on the report showed a right-to-left trajectory.,"According to the report, they're orbiting from the right to the left."
"姓も名もない""ドクター""だ いつの時代も","No first name, no last name, just the Doctor. Always the Doctor.","Doctors with no last name, no history."
名もなき者,You have no name.,No one.
以前 彼らはあなたを 名もなき男と呼んでいた,They used to call you the Man with No Name.,They used to call you a man without a name.
イサドラ・ダンカンから名を取った 84カラットのダイヤだよ,"84 carats, named for Isadora Duncan.",It's an SSL-cara's diamond named after Isadora Duncan.
やり方を心得ていれば 新しい名を取るより大変ではない,No harder than taking a new name if you know the way.,"If you know how to do it, it's gonna be a hell of a lot harder to get a new name."
トーマスと名付けたいわ 祖父の名を取って,I want to name him Thomas after my grandfather.,"I'd like to name him Thomas, after my grandfather."
"""木も成長するときに軟らかく-"" ""渇き固くなるのは死ぬときなのだ""","When a tree is growing, it's tender and fragile, but when it's dry and hard, it dies.","Every time a tree grows, it'll be soft and dry."
手足が動かせなくなり 筋肉がセメントのように 固くなり 静脈が氷のように感じる,"You lose control over your limbs, the muscles harden into cement, and it feels like ice in your veins.","Your hands and feet are trapped, your muscles will harden like cement, your veins will feel like ice."
呼び鈴が 固くなったでしょ?,Then why did your doorbells get so hard?,"The doorbell's set, right?"
数千人の超人が地に落ちて どこから手をつければ良いやら,"Thousands of superpowered dicks touching down, and we got no idea where to start.",Thousands of meta-humans went down to Earth and I don't even know where to start.
旗は遂に地に落ちた,The banner toppled and fell to the Earth,The flag finally fell to the ground.
魔法使いが地下に潜る前 まだ魔女狩りがあったころ,"It was before wizards went underground, when we were still being hunted by Muggles.","Before the wizard went underground, there was still a witch hunt."
山は越えられん 地下に潜ろう,We cannot pass over a mountain. Let us go under it.,There's no way we could get over the mountains. We need to go underground.
そいつが地下に潜ったんだ,And it dove down there. Down underground.,He went underground.
お前たちが勝手に壁を作って自分のものにしたんだ,You lot came along and just put up a big wall and said it was yours.,You... you made walls for yourselves.
我らの先祖がギリシャから 運ばれた石でこの壁を作った,"Our ancestors built this wall, using ancient stones from the bosom of Greece herself.",Our ancestors built these walls out of stones that came from Greece.
父親は 遮断壁を作って 外で死んだそうだ,"He died outside, when he was making the barrier.",She said her father must have built a barrier and died outside.
"""良い実を結ばぬ木は、どんな木でも 切り倒され、火に投げ込まれる""","""every tree that no bringeth forth good fruit is hewn down and cast into the fire.""","""No tree ever touches a tree whose roots are cut down and tossed into the fire."""
私たちの花が咲く... そして我々は実を結ぶ。,Our flowers blossom... and we bear fruit.,Our flowers bloom... and we combine fruit.
"いのちの木があり 12種の実を結び その実は毎月実っていた ""","""which bears 12 manner of fruit and yielded her fruit every month.""","There was an old tree Tied to 12 seeds, disfigured what was once a month."""
- テレルはお尻を叩かれてる,- Terrell is gettin' his ass beat.,- Terrell's been beaten in the ass.
私のお尻を叩いた?,And then they spanked me?,Did you hit my ass?
わざと泣かせる為に 赤ちゃんのお尻を叩くんだ,"Well, they spank all little babies 'cause they're trying to get them to cry.",He was hitting a baby's ass on purpose to make him cry.
見通しのいい場所から 目印の山が 見えるはずさ。,"If we find a better spot, I might be able to see the mountains.","In a clear line of sight, you'll see the mountains."
山が見えたぞ,I lead you to the Mountain.,I saw these mountains.
幕が開いてすぐに―,"As soon as that curtain opened,","As soon as the curtain opens,"
アタシ いつもショーの幕が開く前に タバコを吸うから,I always smoke a cigarette before the first show.,I always smoke before the show begins.
あなたは多くの配当を得た,It created a dividend in the amount of...,You've always got a lot to gain.
後ろを見せろ,Mind showing me what's in back?,Let me see your back.
帰り道に息を吐かないで,Don't exhale on the way out.,Don't breathe on your way home.
息を吐いて,Good. And exhale.,Breathe.
(息を吐く),(exhales),(Exhales)
息を吹き返した ばかりでした,"I mean, I was still just trying to breathe.",She just brought you back to life.
(息を呑む),(GASPS),(CHOKING)
(息を呑む) こいつ知ってますよ,(gasps) I know that dude.,(CHOKING) I know this guy.
アブ ナジールの写真を渡した時 彼は息を呑んでました ほんの数秒間,When you turned over that picture of Abu Nazir... he stopped breathing for a few seconds.,"When I gave him a picture of Abu Nazir, he was suffocating for just a few seconds."
実際に 殆ど我を忘れてた,"Actually, it mostly missed me.","In fact, I almost forgot myself."
拍手が無かったのはアナタのせいでは,It wasn't your fault that they didn't applaud.,I don't think it's your fault you weren't applauding.
遺体には手が無い,The body was missing a hand.,The body's gone.
ソイツらの1人は 手がなかった,Roy: One of the guys was missing a hand.,One of them was out of control.
手が焼けるようで、手を顔に当てた,"Felt a burning sensation on my hands, put my hands up to my face.",His hands were fried. Someone put their hands on his face.
さっき、手にしていた 本の事です,"Struwwelpeter, the book that you had in your hand.",It's about the book that you were holding.
手にしてる石は何?,The stone in your hand. What is it?,What artifacts you have in your hand?
- なに? - もし仮に指が 3本しか使えなくて そっちの手もないのよ,If you had these three fingers missing on this hand and that hand missing on that hand...,"- If only three fingers can use it, you have no hand."
手を上げて!,"Hands where I can see them, now!",Hands up!
手を上げて 今度は下げて,♪ Hands wave up then come down ♪,Hands up. Put them down this time.
くだらないと思ってる人は 手を上げて,Who thinks this is silly? Raise your hand.,"All those people who think it's silly, put your hands up."
あなたの手を伸ばし。,Reach out your hand.,Reach for your hand.
瞬間を捕らえようと 手を伸ばす,♪ Who's reachin' out to capture a moment?,I'm reaching for this exact moment.
手を伸ばすが、棘(とげ)に刺される 3滴の血が滴り,"Reaching for it, she pricked her finger and three drops of blood fell.","I reached out, and 3 drops of blood has spilled."
