sent,reference,translation
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then be a good boy.
お呼びじゃないでしょ,And he didn't invite me.,You don't want to see me.
彼 お呼びじゃないわ,He hasn't called.,He didn't call.
騎兵隊はお呼びでないか? そうだ,No cavalry comin'?,- Do you want the cavalry?
それはそれは,That's... That's awkward.,"Well, well, well."
それは それは良かった - クソ,"That's-- that's good, right?",That's good.
それはそれは常にされています方法です。,That's the way it's always been.,That's how it's always been.
エンジンが 掛からない,It won't start.,The engine's not working.
俺の頭に メスを入れようとするんだ,They're going to cut into my brain.,Trying to put meth in my head.
地雷の上に立ってる。,He's standing on a mine.,Standing on a land mine.
光の輝く柱の上に立つ,He'd be standing atop a shining pillar of light.,Standing on a shining pillar of light
私は、見たのよ。 アストラを。 ナイフを持って、 ジョンの上に立ってた。,- I saw Astra standing over J'onn.,I saw Astra standing on John with a knife.
この世に出てくるため自分の母親を殺したお前が?,"You, who killed your mother to come into the world?",You killed your mother to come out of this world?
本当にお世話になりました,You've taken real good care of me.,Thank you so much for everything.
彼の世話になった,"- Sonny -- he, uh -- you know, he looked after me.",He took care of me.
(なな恵) 同じ寮で と っ ても お世話になった綾さんだった,It was Aya from the same dorm. Who really took care of me.,"Even though it was the same dorm room, it was the same person who came to see me."
お前が育つにつれ 世話を焼いた,"And as you grew up I cared for you still, made you a nice bed for your slumbers.","And as you grew up, I took care of you."
お前が育つにつれ 世話を焼いた,"And as you grew up I cared for you still, made you a nice bed for your slumbers.","And as you grew up, I took care of you."
誰かが親切に世話を焼いたんだね。 だれかが しんせつに せわをやいたんだね Someone must've helped you,Someone must've helped you,Someone must've helped you
あの晩 雨の中に立って,I was standing there that night in the rain.,I was standing in the rain that night.
ああ、だが君も見ただろ 中性子ビームの中に立っていた,"Well, you saw it yourself, standing in those neutron beams.","Yeah, but you saw him standing in anしてくれde beam."
ど真ん中に立ってた,I was standing right in the middle of it.,He was standing in the middle.
ある時点から 地球は丸くなったということだ,"At one point, so was the Earth being round.","From a certain point, the Earth is round."
アイツがマイクロボットを盗んで 火事を起こしたんだ,"He stole my microbots, he started the fire.",He stole a microbot and built a fire.
火事を起こしちゃいない,You didn't start the fires.,I didn't start a fire.
賛同する仲間は 数百いる ここで事を 起こす事だって,"We can mobilize hundreds more behind you, it could get pretty messy in here, Mr. Randol.",There's hundreds of people who would agree to what's going on here.
それが 癌みたいに主人を 食い荒らしていったの,It ate him up like a cancer.,That's what's gonna eat my husband up like cancer.
人を食うことが 気色悪いのは分かる,I know it's pretty damn weird to eat people.,I know how disgusting it is to eat people.
人を食う木箱の怪物,Things coming out of crates and eating people?,A monster in a crate that eats people.
仮面を被っていた,Said they were masked.,He was wearing a mask.
男は仮面を被っていた,Men wore masks.,The man was wearing a mask.
彼女との仲を裂き,You just want to scare me so I'll split!,I'm gonna tear it apart.
こんどはその借りを 返してもらうこととしますか,It holds fair now you return the favour.,Now I'm going to ask you to repay that debt.
ラニスターは必ず借りを返す,The Lannisters pay their debts.,The Lannisters always pay their debts.
信じてないよね? 借りを返すべき 存在なんて,You don't really think there's someone out there holding my I.O.U.,You don't believe that there are people who owe you a debt?
もう少し先が見える,Just a little further.,I can see a little further.
行き先が見えてるから,Cause I know where I'd be going.,I can see where you're going.
先が見えた,I see daylight.,I know what I'm doing.
先を読んで,Read on.,Look ahead.
※冷たくならないって素敵よね。,"It must be nice, never getting cold.",It's nice not to get cold.
天候が変わって冷たくなった,The weather has turned cold,The weather changed and it got cold.
何か食べてください 食べ物は冷たくなっています,Have something to eat. The food is getting cold.,Eat something. The food's getting cold.
割に合わない投資は嫌いだ,I hate bad investments.,I hate investments that are less than fair.
割に合うなら良いけど・・ 進んで,I hope it turns out to be worth the expense.,If it's good enough... go.
今すぐ電力を付けなきゃ,We've got to get the power back on now.,We have to turn on the power right now.
[電力を落とす],[electricity powering down],[lights out]
我々が電力を落としたんです,We cut your power.,We've lost power.
身動きが取れなかった,And I was tangled in...,I couldn't move.
今、2台の車に囲まれて 身動きが取れない,We're about ready to be boxed in by two cars.,I'm stuck in two cars right now.
身動きが取れない,They've got us pinned in.,I can't move.
他の飛行機とは勝手が違うから。,This isn't like other planes.,It's not like any other plane.
外とは勝手が違うが 心配するな,Don't be alarmed. You will notice that things work differently here.,Don't worry about it.
英国とは勝手が違うでしょ?,"Yes, well, I'm sure things are very different in England.","You don't know the British, do you?"
至福なるこの飲み物を 口にすれば 煩悩のない 永遠の命を得られる,One sip of this heavenly brew will give ever-lasting life... free from mortal suffering and desire.,"With this delicious drink, you will have an eternal life without a bother."
コーヒーにタバコと コカの葉しか口にしなくて,"He's been on a diet of coffee, tobacco, and coca leaves.","I only had coffee, cigarettes, and Coke leaves."
ヒトラーは三千年のドイツ帝国を口にする。 だが、1ヶ月も軍隊を養えない。,"Hitler speaks of a 1,000-year Reich, but he cannot feed his armies for a month.",Hitler's got 300 thousand German empires but can't support an army in a month.
"口を開いて ""あー""って言って","Open your mouth. Say, ""Ah.""","Open your mouth and say, ""ah."""
口を開いたら、,"If you open your mouth,","When he opens his mouth,"
その口を開くんだ,Open your damn mouth.,Open your mouth.
右から左,Right one over the left.,Right through left.
レポートによると 右から左への軌道ね,The directionality on the report showed a right-to-left trajectory.,"According to the report, it's going from right to left."
"姓も名もない""ドクター""だ いつの時代も","No first name, no last name, just the Doctor. Always the Doctor.","No last names, no names, no doctors."
名もなき者,You have no name.,No name.
以前 彼らはあなたを 名もなき男と呼んでいた,They used to call you the Man with No Name.,They used to call you a man without a name.
イサドラ・ダンカンから名を取った 84カラットのダイヤだよ,"84 carats, named for Isadora Duncan.",It's a diamond with the name I've taken from Is Trautwig Duncan.
やり方を心得ていれば 新しい名を取るより大変ではない,No harder than taking a new name if you know the way.,"If you knew how to do it, it wouldn't be as hard as getting a new name."
トーマスと名付けたいわ 祖父の名を取って,I want to name him Thomas after my grandfather.,I want to name him Thomas. I want to name my grandfather.
"""木も成長するときに軟らかく-"" ""渇き固くなるのは死ぬときなのだ""","When a tree is growing, it's tender and fragile, but when it's dry and hard, it dies.","When a tree grows, it grows soft and thirsty, but it's time to die."
手足が動かせなくなり 筋肉がセメントのように 固くなり 静脈が氷のように感じる,"You lose control over your limbs, the muscles harden into cement, and it feels like ice in your veins.","I can't move my arms and legs, my muscles harden like cement, my veins feel like ice."
呼び鈴が 固くなったでしょ?,Then why did your doorbells get so hard?,"The doorbell's hardened, isn't it?"
数千人の超人が地に落ちて どこから手をつければ良いやら,"Thousands of superpowered dicks touching down, and we got no idea where to start.",Thousands of meta-humans fall on Earth and I don't know where to start.
旗は遂に地に落ちた,The banner toppled and fell to the Earth,The flag has finally fallen to the ground.
魔法使いが地下に潜る前 まだ魔女狩りがあったころ,"It was before wizards went underground, when we were still being hunted by Muggles.","Before the wizard went underground, there was still a witch hunt."
山は越えられん 地下に潜ろう,We cannot pass over a mountain. Let us go under it.,We can't get over the mountains. We're going underground.
そいつが地下に潜ったんだ,And it dove down there. Down underground.,He went underground.
お前たちが勝手に壁を作って自分のものにしたんだ,You lot came along and just put up a big wall and said it was yours.,You made a wall for yourself.
我らの先祖がギリシャから 運ばれた石でこの壁を作った,"Our ancestors built this wall, using ancient stones from the bosom of Greece herself.",Our ancestors built this wall out of stones brought from Greece.
父親は 遮断壁を作って 外で死んだそうだ,"He died outside, when he was making the barrier.",Her father died out there building a barrier.
"""良い実を結ばぬ木は、どんな木でも 切り倒され、火に投げ込まれる""","""every tree that no bringeth forth good fruit is hewn down and cast into the fire.""","""A tree that doesn't have good fruit can be cut down and thrown into the fire."""
私たちの花が咲く... そして我々は実を結ぶ。,Our flowers blossom... and we bear fruit.,Our flowers bloom... and we pull the fruit.
"いのちの木があり 12種の実を結び その実は毎月実っていた ""","""which bears 12 manner of fruit and yielded her fruit every month.""","""There was a family tree that would tear down 12 species, which actually came out every month."""
- テレルはお尻を叩かれてる,- Terrell is gettin' his ass beat.,"- Oh, no, no, no."
私のお尻を叩いた?,And then they spanked me?,Did you hit my ass?
