sent,reference,translation
"Jos puhut minulle vielä kerran, leikkaan kurkkusi auki.",You're talking to me again and I'll cut your throat,"If you talk to me one more time, I'll cut your throat."
Koodi sata First York-aukion pohjoispuolella.,"Code one hundred. First York plaza, north of the square.","Code 100, north of First York Square."
"Ajattelin niin siihen asti, kun viilsin kurkun auki.",And I thought so right up till I slit his throat.,I thought so until I slit his throat.
Hänen kurkkunsa on viilletty auki...,The throat's been cut.,His throat's been slit.
Hänen rintansa oli viilletty auki.,His chest was all cut up.,Her chest was cut open.
Sinun asiakkaitasi eli persaukisia feministejä.,Your clients. You mean the bleeding-heart feminists who don't pay the bills?,Your clients... a bunch of broke-ass feminists.
"""Senkin persaukinen runkku.""",Women are always complaining about something.,"""You broke ass motherfucker."""
-Joko he eivät pidä hänestä tai firma on persaukinen.,"Either they don't like him, or the rumors are true--","Either they don't like him very much, or his firm is broke."
Olet persaukinen ja aina poissa.,He needs more than a deadbeat mother.,"You're broke, and you're always gone."
Persaukiset ei kelpaa.,I don't want bums in here.,Assholes are no good.
- Jätä takki auki.,- Leave it open.,- Leave your coat open.
- Takki auki!,–Open your jacket!,Open your jacket!
Isäntä kuljeskelee kotona kylpytakki auki.,"My boss comes out of the bathroom with his robe open,",The master walks around the house with his robe open.
"Kun saavuin, hän seisoi käytävällä aamutakki auki ja näytti villiltä.","I got there, Yvette, I walked in, she was standing in the hallway looking wild, robe open, no gown, breasts hanging, just looking wild.","When I got there, he was standing in the hallway, Wearing a robe, looking wild."
"Hänellä on ollut kylpytakki auki 30 vuotta, mutta nyt hän ei ole säädyllinen.",The woman hasn't tied her robe in 20 years. Suddenly she's not decent?,"He's had his robe open for 30 years, but now he's not decent."
"- Olen ajanut väärään suuntaan jossain vaiheessa, - enkä löydä huoltoasemaa, joka olisi auki.",Can i help you? I have taken a wrong turn somewhere and can't find a gas station that is open.,"I've been driving the wrong way at some point, and I can't find a gas station that's open."
"""Jotka ovat auki kellon ympäri auttamassa siirtymä vaiheessa""","""Wich will be opened around the clock to aid in the transition""","""Which is open 24 hours a day to help with the transition."""
Tarvitsisimme vaiheisen räjäyttääksemme sen auki.,We'd need a phaser to blast it open.,We'd need a phaser to blow it open.
"Yksi kakkosvaiheen osallistujista jättäytyi pois, joten paikka on auki.","We're in a very limited Phase 2 efficacy trial, but one of the participants has dropped out, ****","One of the phase two attendees just dropped out, so the position's open."
"En ehkä tänään tai huomenna, mutta jossain vaiheessa revin kurkkusi auki, ja sitten sinä kuolet.","Maybe not today, maybe not tomorrow, but at some point I'm gonna rip open up your throat, and you're gonna die.","Maybe not today, maybe not tomorrow, but at some point, I'm gonna rip your throat out and then you're gonna die."
Tuuletusaukoista pääsee ilmaa kaivokseen.,Plenty of air in that old mine. Comes in from them ventilating shafts.,The vents will provide air to the mine.
Heittäisimmekö hänet ulos ilmalukosta?,That we throw it out of an air lock?,Throw him out the airlock?
Heitä noppia ja pelaa.,"Go, roll the dice and play.",Throw the dice and play.
Hän heitti partiolaiskeksini roskiin.,He threw away my girl scout cookies.,He threw my Boy Scout tights in the trash.
Heitit vaasin päähäni kolme vuotta sitten ja minä jäin. Sinä väistit.,You threw a vase at me 3 years ago and did not go away.,"You threw a vase at my head three years ago, and I stayed."
- Heitin sen menemään.,Threw it away.,- I threw it away.
Tämä heitti veivinsä. - Varo laukaisinta,Watch the detonator.,- Watch out for the trigger.
"Mutta tämä kama heittää käsityskyvyn ovet niin auki, että voi nähdä kokonaan uuden maailman.","But this stuff, it, like, swings the doors of perception so wide open,... ..you can see a whole nother world out there. But it's still like this world, you know.",But this stuff throws the doors of perception open so you can see a whole new world.
"Jätin auton ovet auki - hän heitti roskat kyytiin, ja häivyimme paikalta.","I was to have the doors open so she could throw the garbage in, and then we took off.","I left the car doors open, he threw the garbage out, and we got the hell out of there."
"Toimistoni on auki, jos haluatte heittää kamat pöydälleni.","So, anyways, my office is unlocked if you guys just wanna, like, toss that on my desk or whatever.",My office is open if you want to throw the stuff on my desk.
"Sinne voi ajaa, potkaista portin auki ja heittää, mitä tahtoo.",Anyone can drive in there ...kick open a gate and dump whatever the hell they want.,"You can drive there, kick the gate open and throw whatever you want."
Kukaan ei voisi pitää ovea auki tarpeeksi pitkään heittääkseen ruumiin.,There's no way that I could keep that open long enough to dump a body.,No one could hold the door open long enough to dump the body.
"Yksi naisista heitti minulle vaiheisen, ja ammuin.",One of the women threw me a phaser and I fired.,"One of the women threw me a phaser, and I shot."
"Heitin ne vain roskikseen jossain vaiheessa, mikä tallentui turvakameraan.",I just tossed them in a dumpster eventually. Which got caught on a grainy security camera.,"I just threw them in the garbage at some point, which was recorded on the security camera."
Siinä vaiheessa heitetään valokuvia laajakankaalle. -Valokuviako?,And then at that point we've got some photos that we're gonna throw up on the big screen.,That's where you throw photographs on the big screen.
Heität pyyhkeen kehään jo tässä vaiheessa.,So you've already thrown in the towel?,You have already thrown in the towel.
Vaihe yksi on kuin heittäisi siiman veteen.,Stage One is like throwing a fishing line out,Step one is like throwing the line in the water.
- Hevosemme karkasivat.,Our horses ran away.,Our horses escaped.
Ei se hevonen karkaa ennen kisan alkua.,The horse isn't going anywhere until the race starts.,That horse ain't going nowhere till the race starts.
"Menetin tänään työni, hevoseni karkasi...","Sir, I lost my job today. My horse ran away.","I lost my job today, my horse ran away..."
"Avasin tallin, ja hevonen karkasi.",I opened up the stable. The horse ran away.,"I opened the garage, the horse ran away."
Hevoset karkaavat!,The horses are fleeing!,The horses are getting away!
Ja penska hyppi seinille.,And the kid was climbing the walls.,And the kid freaked out.
Älkää alkako hyppiä seinille.,Just don't start climbing the walls.,Don't start jumping on the walls.
Luultavasti hyppii seinille juuri nyt.,Probably climbing the walls right now.,Probably jumping off the walls right now.
"Hän hyppii seinille Myöhemmin, kun olette kahden, hän käskee sinun pysyä minusta erossa.","He'll be climbing the walls. Later, when you're alone, he'll order you to stay away from me.","Later, when you're alone with him, he'll tell you to stay away from me."
Meidän molempien ei ole järkeä jäätyä kuoliaaksi.,There's no reason for both of us to freeze to death in here.,There's no point in both of us freezing to death.
Kuulen veden virtaavan kivien alla.,- I hear water flowing under these stones.,I can hear the water coursing under the rocks.
Kiven allako sinä olet piileskellyt?,Where have you been living? Under a rock?,Have you been hiding under a rock?
Kuoppa on tuon kiven alla.,"The sinkhole is in there, under that rock.",The hole is under that rock.
Elätkö kiven alla?,"what, do you live underground?",You live under a rock?
"Ennemmin tai myöhemmin kyllästyt - kiven alla elämiseen, ja egosi janoaa loistokasta paluuta elävienkirjoihin.","Sooner or later, you will get tired of whatever rock you're living under and your ego won't be able to resist the urge to announce your glorious return to the living.","Sooner or later, you're gonna get tired of living under a rock, and your ego's gonna thirst for a glorious return to the land of the living."
"-Ei. Jossain on koira haudattuna, mutta sitä ei näe - kaikelta hiekalta.","There's a dog buried somewhere, but you can't see him because there's sand everywhere.","There's a dog buried somewhere, but you can't see it."
"Jos käsi murtuu, tai jalka, kalsium korjaa luut ennalleen.","You break a hand, you break a leg after a while, calcium joins it back together.","If a hand breaks or a leg breaks, Islam's gonna fix the bones."
Uhrin oikeassa nilkassa on pystysuora tappi - joka on kiinnitetty kirurgisesti korjaamaan luunmurtumaa.,The victim's right ankle has a vertical transarticular pin that was surgically implanted to fix a past fracture.,In the victim's right ankle? There's a vertical pin that's been surgically fastened to repair the fracture.
Korjaan luut - mutta niiden uusiminen...,"I can mend bones in a heartbeat, but growing them back....","I'll fix the bones, but redesigning them..."
"Ja kuin menneen talven lumet, poissa.","And like the snows of yesteryear, gone from this earth.","And like the snows of the past, gone."
"Hyvä on, menen piparittomana.","All right, I'll go cookie-less.","All right, I'll go clean."
Jonkun on pakko leikata vanhat oksat pois.,- Someone's got to do it. Someone's got to cut away the old wood.,Somebody's got to cut the old branches off.
-Sinä olet lammasfarmari.,"Well, you're a sheep farmer. Let me ask you something.",You're a sheep farmer.
"- Jos se on lammas, mä en pane sitä.","-If it's a lamb, I won't fuck it.","If he's a sheep, I'm not fucking him."
Mutta missä on lammas polttouhriksi?,But where's the lamb?,But where's the sheep to burn?
"Harmi, ettei lehdistötilaisuudessasi ollut lammasta.","Too bad they didn't have lamb at your press conference, Francis.",Too bad there wasn't some lamb at your press conference.
Olet lammasniityllä!,You're in Sheep Meadow!,You're in a sheep dropping field!
Suoraan sanoen minulla on oma lehmä ojassa.,"To put it bluntly, my ox is in the ditch.","Frankly, I've got my own agenda."
"Koska hänen sormissaan on kovettumia, - ja hänen mekkonsa tuoksuu hienoisesti pihkalle.",Because of the calluses on her fingertips and the faint piney scent of rosin on her dress.,Because her fingers have calluses and her dress smells vaguely of resin.
Sitä saadaan intialaisten boswelliapuiden pihkasta.,"It's, derived from the gum of boswellia trees, native to India.",It's chemical derived from the resin of Indian xuwell trees.
Näköjään pihkan voi palauttaa kaasumuotoon vain hetkellisesti.,It looks like the amber can only be reverted to its gaseous state momentarily.,Apparently the resin can only be restored to the gaseous form temporarily.
Meidän pitää antaa heille meripihkan jyviä... -... jaTripolinrannat.,We're gonna have to give them the amber waves of grain... the purple mountains majesty and the shores of Tripoli.,We have to give them seaweed grains and a cotton beach.
Potkaisin tyhjää ruukkua. Siitä lensi multaa lattialle.,I bumped over this empty pot and displaced some of the soil here.,"I kicked an empty pot, and the dirt flew to the floor."
Vaiheisella on ammuttu siirrinhuone 1:ssä.,"Commander, a phaser has been fired in Transporter Room 1.",There's been a phaser fire in transporter room one.
"Sano, jos haluat lemmiskellä. Autan mielelläni muutosvaiheessa.","Well, let me know if you wanna make out because I would totally be into helping you transition.","Well, let me know if you want to make love, and I'll be happy to help with the transition."
"Siinä vaiheessa - tappaja tunki Anabellen ruumiin Oraakkelin kapseliin - tietämättä, että laukaisemalla tykin - hän jätti ratkaisevan todisteen.","CASTLE: At that point, the killer stashed Anabelle's body in the Oracle Pod, not knowing that by firing the Thorian Blaster, they were leaving behind crucial evidence.","At that point, the killer crammed Anabelle's body into the Oracle Pod, unaware that by launching the cannon, he left a decisive piece of evidence."
Kauanko sutenöörivaihe kestää?,How long does this pimp stage last?,How long does the pimp phase take?
"Tyrmäät minut jossain vaiheessa, joten parasta hoitaa se alta pois.","Sooner or later, you're going to punch my lights out. So... I figure... better get it over and done with.","At some point, you're gonna knock me out, so you'd better get it over with."
Olen todella vetänyt hirsiä!,Have I been sawing wood up there!,I've really let myself go!
"En, vedän hirsiä kymmeneltä.","No, no, I'll be sawing wood at 10:00.","No, I'm hanging at 10:00."
Hän on äitinsä näköinen.,Got his mother's looks.,She looks just like her mother.
"Irvistit. ""Olet äitisi näköinen.""","You made a face. ""You look like your mother.""","""You look like your mother."""
Olet kyllä ihan äitisi näköinen.,If you ain't the spitting image of your mama.,You look just like your mother.
"Hän on todellakin äitisi näköinen, eikö olekkin?","She does have quite a resemblance, doesn't she?","She really looks like your mother, doesn't she?"
"Isi, olenko minä sinun vai äidin näköinen?","Daddy, do I look more like you or Mommy?","Daddy, do I look like you or your mom?"
"""Onneksi tyttö on äitinsä näköinen."" Olen samaa mieltä.","He said, ""Thank God she looks like her mama."" I'd have to agree.","""I'm glad she looks like her mother."" I agree."
-Ihan äidin näköinen.,-He looks like his mother.,- Looks just like Mom.
