source,references,hypothesis,type
では いい子になるのよ,"['Now remember, Pinocchio, be a good boy.']",Then be a good boy,literal
お呼びじゃないでしょ,"[""And he didn't invite me.""]",didn&#39;t you call me,literal
彼 お呼びじゃないわ,"[""He hasn't called.""]",he&#39;s not calling,literal
騎兵隊はお呼びでないか？ そうだ,"[""No cavalry comin'?""]",Didn&#39;t you call the cavalry? That&#39;s it,literal
それはそれは,"[""That's... That's awkward.""]",well well,literal
それは それは良かった - クソ,"[""That's-- that's good, right?""]",that was good - fucking,literal
それはそれは常にされています方法です。,"[""That's the way it's always been.""]",That&#39;s the way it&#39;s always been.,literal
エンジンが 掛からない,"[""It won't start.""]",engine won&#39;t start,literal
俺の頭に メスを入れようとするんだ,"[""They're going to cut into my brain.""]",Trying to put a scalpel in my head,literal
地雷の上に立ってる。,"[""He's standing on a mine.""]",I&#39;m standing on top of a mine.,literal
光の輝く柱の上に立つ,"[""He'd be standing atop a shining pillar of light.""]",stand on a pillar of light,literal
私は、見たのよ。 アストラを。 ナイフを持って、 ジョンの上に立ってた。,"[""- I saw Astra standing over J'onn.""]",I saw it Astra. I was standing over John with a knife.,literal
この世に出てくるため自分の母親を殺したお前が？,"['You, who killed your mother to come into the world?']",You who killed your own mother to come out into the world?,literal
本当にお世話になりました,"[""You've taken real good care of me.""]",Thank you very much for your help,literal
彼の世話になった,"['- Sonny -- he, uh -- you know, he looked after me.']",took care of him,literal
（なな恵） 同じ寮で と っ ても お世話になった綾さんだった,['It was Aya from the same dorm. Who really took care of me.'],(Nanae) It was Aya who was very indebted to me in the same dormitory.,literal
お前が育つにつれ　世話を焼いた,"['And as you grew up I cared for you still, made you a nice bed for your slumbers.']",I took care of you as you grew up,literal
お前が育つにつれ　世話を焼いた,"['And as you grew up I cared for you still, made you a nice bed for your slumbers.']",I took care of you as you grew up,literal
誰かが親切に世話を焼いたんだね。 だれかが　しんせつに　せわをやいたんだね Someone must've helped you,"[""Someone must've helped you""]",Someone kindly took care of him. Someone must&#39;ve helped you,literal
あの晩 雨の中に立って,['I was standing there that night in the rain.'],standing in the rain that night,literal
ああ、だが君も見ただろ 中性子ビームの中に立っていた,"['Well, you saw it yourself, standing in those neutron beams.']","Oh, but you&#39;ve seen me standing in a neutron beam",literal
ど真ん中に立ってた,['I was standing right in the middle of it.'],stood in the middle,literal
ある時点から　地球は丸くなったということだ,"['At one point, so was the Earth being round.']","At some point, the earth became round.",literal
アイツがマイクロボットを盗んで 火事を起こしたんだ,"['He stole my microbots, he started the fire.']",He stole a microbot and started a fire.,literal
火事を起こしちゃいない,"[""You didn't start the fires.""]",don&#39;t start a fire,literal
賛同する仲間は 数百いる ここで事を 起こす事だって,"['We can mobilize hundreds more behind you, it could get pretty messy in here, Mr. Randol.']","I have hundreds of friends who agree with me, even making things happen here.",literal
