contains_idioms,text,original_text
あっ と いう 間,I'm sure it will disperse once his feet stop twitching.,彼の筋肉の動きが止まれば あっという間に消えるさ
あっ と いう 間,She's gonna drop pretty quick.,そうなれば　あっという間に沈む
あっ と いう 間,"Every minute, it seems.",あっという間よ
あっ と いう 間,"It was over in a flash, it couldn't last.",あっという間に 別れたわ
あっ と いう 間,"Anyway, a little bit...",あっという間ね...
あっ と いう 間,If we don't deal with this now soon little Gambol here won't be able to get a nickel for his grandma.,今 決めねば あっという間に このギャンボル小僧も
あっ と いう 間,"You know what I'm realizing? My life is just gonna go, like that.",今思い知らされたわ 人生はあっという間　こんな感じ
あっ と いう 間,But you jumped on a plane so fast,でもあっという間に飛んで来たから
あっ と いう 間,"- In no time at all, you'll be reunited with Wendy.",あっという間に ウェンディに再会できるよ
あっ と いう 間,Very quickly.,（政子） めっちゃ あっという間だった
あっ と いう 間,"Yeah, I am suddenly soaked in gasoline.",ビシャっと あっという間に ガソリン漬けさ
あっ と いう 間,"But it all happened so fast,",あっという間のことで
あっ と いう 間,"I mean, the economy's in the toilet. We all know that.",破産なんてあっという間さ
あっ と いう 間,"The angry shark ripped all the hair off the white hare, and before he knew it, he was all naked.",怒ったワニザメは→ 白ウサギの 体中の毛をむしり取って→ あっという間に 丸裸にしてしまったとさ。
あっ と いう 間,Then it just goes up really quickly.,あっという間だ
あっ と いう 間,Everything happened so fast. I'm sorry.,すべてがあっという間の出来事で すみません
あっ と いう 間,"You know, so much has happened to us so fast.",唯ね　あっという間に沢山の事が起きて
あっ と いう 間,Miss it and night soon falls.,それを逃すと一 あっという間に夜になる
あっ と いう 間,"You must be terribly clever at that kind of thing, finding things.",あなたはセーフルームを あっという間に見つけた あなたはこういうことが 恐ろしく得意なんじゃない?
あっ と いう 間,"Yeah, time passes really fast when you are having fun!",ほんと　楽しくって あっという間に時間 過ぎちゃうね
あっ と いう 間,Happened fast.,あっという間ね
あっ と いう 間,"If they're guilty, it could take forever. If they're innocent, it's usually faster.",有罪なら議論が白熱し 無罪ならあっという間だ
あっ と いう 間,It seems but a day or two since we first came! And yet how many things have happened!,あっという間だったわね いろんな事があって
あっ と いう 間,It happened so fast.,あっという間の 出来事だった
あっ と いう 間,"See, everything unraveled so quickly.",いい？ すべてのものは あっという間に崩れ落ちる...
あっ と いう 間,"The Kaiju, an enormous Category 4 broke through the coastal wall in less than an hour.",カテゴリー４の巨大怪獣 あっという間に壁が...
あっ と いう 間,Everything was just happening so fast.,あっという間の出来事だった
あっ と いう 間,"I'm not a jerky teen yet. Fleeting moments, precious memories.",あっという間に 反抗期だよ
あっ と いう 間,As I recall it ended much too soon You look marvelous.,覚えてる　あっという間の出来事
