contains_idioms,text,original_text
aasinsi,And that was actually your segue?,Tuoko oli luonteva aasinsilta?
aasinsi,"Nice speech, Mr. Hobson. Way to hit the suicide theme.",Hieno aasinsilta itsemurhaan.
aasinsi,"And if anyone's a genius, it's me for the way I brought that full circle.",Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.
aasinsi,"You know, it's a gateway knife, so...",Se on aasinsiltaveitsi...
aasinsi,"Well, then thank you for another helpful transition in topic.",- Kiitos toisesta aasinsillasta.
aasinsi,Hmm. Nice sedway.,- Hieno aasinsilta.
aasinsi,"Now, there's a trip down memory lane.","Siinäpä aasinsilta muistoihin, eikö?"
aasinsi,"Oh, that's a good segue. Well-",Siinäpä hyvä aasinsilta.
aasinsi,- What kind of a segue is that?,- Millainen aasinsilta tuo oikein oli?
aasinsi,Help me with the segues here.,-Selitä nämä aasinsillat.
aasinsi,"No, no, that's not a segue.",Tuo ei ole aasinsilta.
aasinsi,That's an unacceptable segue way.,Olipa huono aasinsilta.
aasinsi,Nice segue. Yeah.,Ovela aasinsilta.
aasinsi,"Okay, that's a good segue... to some of the more relevant topics that I would like to cover in this meeting.","Tuo on hyvä aasinsilta olennaisemmille aiheille, joita haluaisin käsitellä."
aasinsi,- You like how I did that?,- Piditkö aasinsillastani?
aasinsi,- Nice transition.,Tyylikäs aasinsilta.
aasinsi,That's random.,- Melkoinen aasinsilta.
aasinsi,Which brings me to our next order of business.,Mikä onkin loistava aasinsilta seuraavaan asiaani.
asettua poikki#telo,"If either of you has a problem with it, you know where the door is.","Jos aiotte asettua poikkiteloin, tiedätte missä ovi on."
asettua poikki#telo,"I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.","En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin."
asettua poikki#telo,Your every action has been aimed towards the frustration of justice.,Asetuit poikkiteloin oikeuden toteutumisen tielle.
asettua poikki#telo,Do you want to ruin my life? I never wanted to interrupt your work!,"Vaikka asetut poikkiteloin, jatkan silti."
asettua poikki#telo,"Drew, make no mistake. Should you choose to test my resolve in this matter, you will be looking at an outcome that will have a finality... that is beyond your comprehension.",Jos päättäisit asettua poikkiteloin - saisit tuomion joka kestäisi pidempään - kuin voit ymmärtää.
asettua poikki#telo,"Look, it's just kind of a gigantic deal, you know, when you go against your party and all the big bosses who got you here.",Ei ole helppoa asettua poikkiteloin omia puoluepamppujaan vastaan.
asettua poikki#telo,"It's giving us our orders, right? There'll be a reek of terrible vengeance on those who oppose its wishes.","Se sanelee käskyt ja kostaa niille, jotka asettuvat poikkiteloin."
asettua poikki#telo,"If I even dreamed of defecting, Penelope would make my life hell.","Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä."
asettua poikki#telo,Don't get in his way.,Älä asetu poikkiteloin.
asettua poikki#telo,"If you two want to be with each other, I am not gonna stand in your way.",Jos te haluatte olla yhdessä minä en asetu poikkiteloin.
asettua poikki#telo,"Just do me a favor, man...",Yritäpä vielä asettua poikkiteloin.
asettua poikki#telo,And if I tried to stop him that he might go away.,"Jos olisin asettunut poikkiteloin, hän olisi saattanut kadota."
asettua poikki#telo,"And even if you win-- which, with all due respect, would be laughable-- they will hobble you. They will shatter you.",Vaikka tulisitkin valituksi - he asettuisivat poikkiteloin ja murskaisivat sinut.
asettua poikki#telo,Very comforting.,"Ja kun tämä tapahtuu, asetutte poikkiteloin."
asettua poikki#telo,"Not supporting that choice was a failure, Shawn.",Oli väärin asettua poikkiteloin.
asettua poikki#telo,"And if Henry stands in the way, I'll kill him for you.","Jos Henry asettuu poikkiteloin, surmaan hänet puolestasi."
asettua poikki#telo,"So, I will ask you nicely, please... don't get in my way.","Siksi pyydän kauniisti: Älä asetu poikkiteloin, ole hyvä."
asettua poikki#telo,They don't intrude in our business.,- Ei asetu poikkiteloin.
asettua poikki#telo,"Well, I must admit, I never imagined the Sphinx's riddle about a man requiring three legs would ever apply to me, but if this device keeps me mobile, then I will gratefully oblige.","En arvannut, että joutuisin elämään kolmijalkaisena, - mutta jos tästä on apua, en asetu poikkiteloin."
asettua poikki#telo,"William, I'm not going to get in your way no more.",Enää en asetu poikkiteloin.
asettua poikki#telo,He would not have permitted you to meet with us alone.,- Hän olisi asettunut poikkiteloin.
asettua poikki#telo,"But all the good fortune in the world won't save him, if he chooses to be MY enemy.","Mutta onnesta ei ole apua, jos hän asettuu poikkiteloin."
asettua poikki#telo,Far be it from me to get in the way of a voyage of self-discovery.,En asetu poikkiteloin itsensä löytämisen matkalla.
asettua poikki#telo,"If there's one thing I hate, it's a man getting in the way of what I want.","- Suorastaan vihaan sitä, - kun mies asettuu poikkiteloin. Ihan liian retroa."
asettua poikki#telo,Do you always have to go against the grain?,"Miks pitää asettua poikkiteloin joka asiassa, aivan joka asiassa?"
asettua poikki#telo,How could you get in the way when the only thing anybody is trying to do is give that poor child just a little bit of comfort?,"Miten voit asettua poikkiteloin, kun kaikki yrittävät ainoastaan - hieman lohduttaa sitä poikaparkaa?"
asettua poikki#telo,"Of course, if you were to go of your own accord... I wouldn't do anything to stop you.","Luonnollisesti, jos menet omalla luvallasi, - en asetu poikkiteloin."
auki,You're talking to me again and I'll cut your throat,"Jos puhut minulle vielä kerran, leikkaan kurkkusi auki."
auki,"Code one hundred. First York plaza, north of the square.",Koodi sata First York-aukion pohjoispuolella.
auki,And I thought so right up till I slit his throat.,"Ajattelin niin siihen asti, kun viilsin kurkun auki."
auki,The throat's been cut.,Hänen kurkkunsa on viilletty auki...
auki,His chest was all cut up.,Hänen rintansa oli viilletty auki.
auki,"Stayed on him for about a quarter mile, till he reached a clearing in the woods.",- Lähti. Pysyi perässä puolisen kilometriä metsäaukiolle asti.
auki,"Captain we're standing by on Vulcan hailing frequencies, sir. Open channel, Lieutenant.",- Vulkanilainen kutsutaajuus on auki.
auki,"Leave those open, and we'll look in the back.","Jättäkää nuo auki, niin katsomme takaa."
auki,I never stand in the Plaza of Pride when Daenerys Stormborn orders us to kill the Masters.,"En seisoisi Ylpeydenaukiolla, kun Daenerys Myrskysyntyinen käskee tappaa isännät."
auki,"Oh, Jesus! They cut his throat, the fucks!",Viilsivät häneltä kurkun auki.
auki,You don't go to all this trouble and leave loose ends.,Et näe kaikkea tätä vaivaa ja jätä asioita auki.
auki,"Saturation? His eyes are open and he's still looking around, but...",Hänellä on silmät auki ja hän katselee ympärilleen.
auki,"Come on, lads. Let's go upstairs, take a disco nap... - ...till the Alibi's open again.",Mennään ylös nokosille kunnes Alibi on taas auki.
auki,Take your knife and cut my throat.,Ota veitsi ja viillä kaulani auki.
auki,Ray says crotch open.,"Ray sanoi, että auki."
auki,Get it open?,Saitko auki sen?
auki,"My guess, McGee, it was the closest clearing to the cabin where his brother was hiding, only Newell was too late.","Arvelen, että se oli lähin aukio mökiltä - jossa veli oli piilossa. Newell tuli vain paikalle liian myöhään."
auki,"What? I should've been in that safe in 20 minutes. Not 30, not 40, not 50.",Minun olisi pitänyt saada holvi auki 20 minuutissa.
auki,I'm not the lawyer here. It was a Chicago sunroof.,"En ole asianajaja, mutta auton kattoikkuna vain jäi auki."
auki,"The Bella Union gap was my crucible, William.",Bella Unionin aukio oli tulikokeeni.
auki,"I already opened them, so.",Pullo on jo auki.
auki,More. Open it more.,Enemmän auki.
auki,You will cut him open?,Leikkaisit hänet auki?
auki,And do stay for the Poppuns.,- Olemme auki kahdeksaan asti.
auki,"I didn't keep my legs quite as spread as you were, Which was part of the reason I came off just a hair sideways.","Jalkani eivät olleet yhtä auki kuin sinulla, jonka vuoksi laskeuduin hieman sivuttain."
auki,"Well, he's dead, Kate, with his guts slashed open.","Hän on kuollut, sisuskalut viillelty auki."
auki,I watch the news. You're going for broke in Lafayette square.,Otat riskin Lafayette-aukiolla.
auki,"Repeat, Foley is in Hometown Square.","Toistan, Foley on ""Kaupunginaukealla""."
auki,"He lays down with gangsters, gets up with his throat cut.",Hän seurusteli gangstereiden kanssa ja leikkautti kurkkunsa auki.
auki,You and I are both like guys that have this rich neighbor Xerox that left the door open all the time.,"Olemme kuin kaksi kaveria, joilla oli rikas naapuri, - Xerox, joka jätti aina ulko-oven auki."
auki,"In fact, I think that the Lambdas are having a kegger tonight.","Itse asiassa luulen, että Lambdaseilla on tynnyri auki tänään."
auki,You ain't gonna slit my throat while I sleep! I see you!,"Et viillä kurkkuani auki, kun nukun!"
auki,"Chitti, put the TV.","Chitti, paiskaa televisio auki."
auki,Open up.,Suu auki.
