source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
ミスちゃんぽん,"Next, Miss Noodle.","Miss, you're such a dick.",ちゃんぽん,,,,
イタチの最後っ屁をやるなら でかくやるもんだろ？,"If you're gonna go big, you might as well take it all.","If you're gonna fart out the last bit of the weasel, you're gonna do it, right?",イタチの最後っ屁,,,,
一期一会なんだ 大事にな,"For once in her life, she deserves some real care.",It's a one-time party. Take care of it.,一期一会,,,,
"""二兎を追う者は一兎をも得ず""",Don't try to do two things at once and expect to do justice to both. This is the story of a boy who tried it.,"""He who pursues two rabbits won't get one rabbit.""",二兎を追う者は一兎をも得ず,,,,
タラにも会わせる顔がない,"And hell if I know how I'll ever, ever be able to look Tara in the face again.",I don't have a face for Tara.,会わせる顔がない,,,,
ベッドからたたき出して 悪かった 相変わらず口が悪いな,The Evans City Volunteer Fire Department apologizes for dragging you out of bed this way.,"I'm sorry to have to pull you out of bed, but you're still a bad mouth.","口が悪い,相変わらず",,,,
私は口が滑るかもしれん,Or I'm gonna have to.,I might slip.,口が滑る,,,,
- スゲー！ - 口が軽いわね！,- And you apparently are not.,- Your mouth's so soft!,口が軽い,,,,
若い娘は口が軽い,Young girls are notorious for keeping their fucking mouths shut.,Young girls don't talk too much.,口が軽い,,,,
因果応報を示さないとな,"Whatever the play, it has to do double-duty.",I'm gonna have to show you what's going on.,因果応報,,,,
因果応報？,Poetic justice.,Retaliation?,因果応報,,,,
因果応報とは言わねえが 金にも同じ事が言えるな,"I don't throw the word ""karma"" around a lot, but that's exactly what that is, my friends, with a capital K.","I'm not saying it's a punishment, but it's the same thing with money.",因果応報,,,,
私とジェンナが 破局に終わった後だったので まるで そのぉ... - 因果応報,"After everything that went down between me and Jenna, it just seemed like... poetic justice.","Since it was after the crash between me and Jenna, it's like... it's like a punishment.",因果応報,,,,
これはお前の因果応報なのだ,This is your karmic reward,This is your reward.,因果応報,,,,
お前の功徳は因果応報で,What merits and retribution are you looking to?,Your virtue is a reward.,因果応報,,,,
因果応報よ,This is poetic justice,It's a punishment.,因果応報,,,,
因果応報だよ,"What comes around, goes around.",It's a punishment.,因果応報,,,,
因果応報を信じなければな,unless you believe in karma.,We have to believe in retribution.,因果応報,,,,
因果応報,"Actions have consequences, you know.",Retaliation.,因果応報,,,,
地獄に仏だ,There is a God.,He's a Buddha in hell.,地獄に仏,,,,
地獄に仏とは　このことだ,Talk about a Good Samaritan.,That's what the Buddha is in hell.,地獄に仏,,,,
もし救護ヘリを呼べたら 地獄に仏だ,"If you can get through to a medevac, the guy'll have a hell of a better chance.","If you call for a helicopter, you're in hell.",地獄に仏,,,,
今度は大目玉を食らうぞ,Yousa in big dudu dis time.,I'm gonna have big eyes this time.,大目玉を食らう,,,,
大目玉を食らうよ あのドロイドは困ったやつだ,That little droid's going to cause me a lotta trouble.,I'll have my big shot. That droid's in trouble.,大目玉を食らう,,,,
メンタリスト　シーズン５ 第１４話　弱肉強食 ええ　それがリンダの指輪です,"Okay. ♪ The Mentalist 5x14 ♪ Red in Tooth and Claw Original Air Date on February 17, 2013 == sync, corrected by elderman ==","♪ The Mentalist 5x14 ♪ Fabulous Foods Original Air Date on January 27, 2013 == sync, corrected by elderman == That's Linda's ring.",弱肉強食,,,,
弱肉強食の世界で 誰もが高い地位に昇りたいと渇望している,Everyone thirsts to measure up,"In a world of weak flesh and blood, everyone thirsts for a higher position.",弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやりとりをする医療も→ ついに弱肉強食の時代に 突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","The medical department of the University Hospital has become weak, and even medicine, which deals with life and death, has ended up in a time when it's very difficult to eat.",弱肉強食,,,,
弱肉強食の世界が...,Harsh. It's-- it's survival of the fittest.,It's a world of weak flesh and blood.,弱肉強食,,,,
自然界は弱肉強食 適者生存よ,Nature adds and subtracts. Survival of the fittest.,Nature is a diet of weak and weak and survival of the fittest.,弱肉強食,,,,
"""弱肉強食""だ","""The Weak are Meat and the Strong Do Eat. ""","It's called ""feeding the Fabulous.""",弱肉強食,,,,
"""弱肉強食""","""The Weak are Meat, the Strong do Eat. ""","It's called ""Friend Food.""",弱肉強食,,,,
しかし　それは 弱肉強食によって支配されます,But this one is governed by the law of the jungle.,But it is controlled by the weak and the weak.,弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやり取りをする医療も→ ついに弱肉強食の時代に 突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","The medical department of the University Hospital has become weak, and even medicine, which deals with life and death, has ended up in a time when it's a time of weakness.",弱肉強食,,,,
〈大学病院の医局は弱体化し 命のやりとりをする医療も→ ついに 弱肉強食の時代に突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","The medical department of the University Hospital was weakened, and even medicine, which deals with life and death, was finally in the days of a famine.",弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやりとりをする医療も→ ついに 弱肉強食の時代に突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","The medical department of the University Hospital was weakened, and even medicine, which deals with life and death, ended up in a time when it was very hard to eat.",弱肉強食,,,,
ここは弱肉強食の世界だと その体に教えてやろう,It's time we show you who's king of this jungle.,I'll tell him this is the world of weak flesh and blood.,弱肉強食,,,,
数千年前 ここは弱肉強食の世界でした,"Thousands of years ago, these were the forces that ruled our world.","Thousands of years ago, this place was a vulnerable place.",弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやり取りをする医療も→ ついに弱肉強食の時代に 突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","The medical department of the University Hospital has become weak, and even medicine, which deals with life and death, has ended up in a time when it's a time of weakness.",弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやりとりをする医療も→ ついに 弱肉強食の時代に突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","The medical department of the University Hospital was weakened, and even medicine, which deals with life and death, ended up in a time when it was very hard to eat.",弱肉強食,,,,
うちの社長は 気に入らない仕事だからって 手を抜くような人じゃ ないですよね？,Our boss isn't someone who wouldn't do her best just because she doesn't like the product.,"My boss isn't the kind of person who stands out because he doesn't like a job, right?",手を抜く,,,,
手を抜くな,Don't skimp.,Keep your hands where I can see them.,手を抜く,,,,
手を抜くな クレイ ダッシュを織り交ぜろ,Put some energy in it.,"Keep your hands off me, Clay, and weave the dash.",手を抜く,,,,
そんなことは朝飯前だ まあ話はいくらでも続けられるが 言いたいことはつまり,"And then I jumped back... for the final quarter of the N.B.A. Finals - courtside, of course.","Well, we can keep talking, but what I'm trying to say is,",朝飯前,,,,
じゃあ君には死んだフリも 朝飯前だったわけか！,Over-reacting! So you fake your own death and you waltz in here large as bloody life! Shh.,So you pretend you're dead before breakfast?,朝飯前,,,,
すぐに捕まえられるさ その気になれば朝飯前だよ 遺体は暖かくなかった,And I will be there when they flip that switch and fry him like a breakfast kipper.,"We'll be able to catch him soon enough, which is before breakfast, and his body wasn't warm enough.",朝飯前,,,,
朝飯前です,With my eyes closed.,It's just breakfast.,朝飯前,,,,
朝飯前の練習かな,I don't know. A three-hour low-rate technical row before breakfast.,It's like breakfast practice.,朝飯前,,,,
警備員を出し抜くなんて朝飯前ね,Blackmailing a security guard would've been a piece of cake.,It's a bit of a breakfast break for a security guard.,朝飯前,,,,
朝飯前ですよ,It's a piece of cake.,It's just breakfast.,朝飯前,,,,
指紋の転写なんて 訓練されたスパイにとっちゃ朝飯前だ 今時そんなことも知らないから ハメられるんだ,"Fingerprint transference would be child's play to a well-trained spy, and if you don't know that by now, then you deserve to be framed.","It's like I'm a trained spy, and now I don't know anything about that, so I'm being framed.",朝飯前,,,,
ただの屈服させた 魔女3人殺すだけだものね 凶暴なクラウス・マイケルソンを 朝飯前だわ,"Just kill the 3 witches that brought the mighty Klaus Mikaelson to his knees, no big deal.","All you have to do is kill the three witches that made you surrender before breakfast, Klaus Michaelson.",朝飯前,,,,
それに　家のアラームも 朝飯前さ,Child's play.,"Besides, the alarm at the house was before breakfast.",朝飯前,,,,
朝飯前だよ,"Yes, it's a piece of cake.",It's just breakfast.,朝飯前,,,,
多分今日も朝飯前に また誰かを脅した。,He probably threatened someone before breakfast this morning.,Maybe he threatened someone again before breakfast today.,朝飯前,,,,
楽しくやるの当たり前 ニコニコ朝飯前,It ain't hard out here when you're doing it right Put a smile on blast that's the Troll life,It's supposed to be fun.,朝飯前,,,,
