source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
"जी हाँ जैसी करनी, वैसी भरनी ।","Yes, violence begets violence, as human history has repeatedly demonstrated.","Yes, fill it as you do.",,,,,
"एक यूजर ने लिखा, 'जैसी करनी, वैसी भरनी.","""One user wrote, """" Well done.""","One user wrote, &#39;As you do, you should fill.",,,,,
"स्वामी ने कहा, ‘राजन ने हमारी सरकार को देश में असहिष्णुता के लिए जिम्मेदार ठहराया। वाशिंगटन में उन्होंने भारत की वृद्धि दर का अपमान करते हुए, भारतीय अर्थव्यवस्था को अर्थव्यवस्था को अंधों में काना राजा कहा था।’ स्वामी ने कहा कि इस तरह का निंदाजनक अपमान सरकारी अधिकारियों की निगरानी के नियमों का उल्लंघन है। किसी अधिकारी को इस तरह का व्यवहार नहीं करना चाहिए।","""""""He (Rajan) has by innuendos in effect held our government responsible for climate of intolerance in the country,"""" Swamy said, adding that the Governor in Washington had disparaged the growth rate of India as being equal to a """"cockeyed"""" person in the land of blind.""","Swamy said, &quot;Rajan held our government responsible for intolerance in the country. In Washington, he insulted India&#39;s growth rate, calling the Indian economy a blind man. Swamy said such blasphemous insults are in violation of the rules of surveillance of government officials. No officer should behave like this.",अंधों में काना राजा,,,,
भारत के ‘आकर्षक गंतव्य’ होने के संबंध में उनकी राय पूछने पर राजन ने पिछले सप्ताह एक इंटरव्यू में कहा- मुझे लगता है कि अभी ऐसी जगह पहुंचना बाकी है जहां हम संतुष्ट महसूस करें। हमारे यहां एक कहावत है- अंधों में काना राजा। हमारी स्थिति कुछ ऐसी ही है।,"Queried for his take on India being the bright spot, Rajan during last weeks interview had said: I think we have still to get to a place where we feel satisfied.","Asked about his opinion on India being an &#39;attractive destination&#39;, Rajan said in an interview last week, &quot;I think we are yet to reach a place where we feel satisfied.&quot; We have a proverb here - Kana Raja in the blind. Our situation is similar.",अंधों में काना राजा,,,,
भारतीय अर्थव्यवस्था को अंधों में काना राजा बताने वाले रिजर्व बैंक के गवर्नर रघुराम राजन के बयान को एक प्रकार से खारिज करते हुए वित्त मंत्री अरुण जेटली ने कहा कि शेष दुनिया की तुलना में भारतीय अर्थव्यवस्था की वृद्धि बहुत तेज है।,"Finance Minister Arun Jaitley has virtually rebutted RBI Governor Raghuram Rajan's remarks that India is 'one-eyed king in the land of blind' saying compared to the rest of the world, the Indian economy was growing much faster and, in fact, the fastest.","Rejecting the statement of Reserve Bank Governor Raghuram Rajan, who described the Indian economy as a king of blinds, Finance Minister Arun Jaitley said that the growth of the Indian economy is very fast as compared to the rest of the world.",अंधों में काना राजा,,,,
भारतीय अर्थव्यवस्था को अंधों में काना राजा बताने वाले रिजर्व बैंक के गवर्नर रघुराम राजन के बयान को एक प्रकार से खारिज करते हुए केंद्रीय वित्तमंत्री अरुण जेटली ने कहा कि शेष दुनिया की तुलना में भारतीय अर्थव्यवस्था की वृद्धि बहुत तेज है।,"Finance Minister Arun Jaitley has virtually rebutted RBI Governor Raghuram Rajan's remarks that India is 'one-eyed king in the land of blind' saying compared to the rest of the world, the Indian economy was growing much faster and, in fact, the fastest.","Rejecting the statement of Reserve Bank Governor Raghuram Rajan, who described the Indian economy as a king of blinds, Union Finance Minister Arun Jaitley said that the growth of the Indian economy is very fast compared to the rest of the world.",अंधों में काना राजा,,,,
"राष्ट्रीय बैंक प्रबंधन संस्थान (एनआइबीएम) के दीक्षांत समारोह में राजन ने कहा कि भारत का अभी अपनी क्षमता वृद्धि प्राप्त करना शेष है हालांकि, वह इस दिशा में अग्रसर है और लंबित सुधारों के साथ यह वृद्धि में उल्लेखनीय वृद्धि दर्ज कर सकता है। पिछले हफ्ते एक विदेशी अखबार को दिए गए साक्षात्कार का हवाला देते हुए राजन ने कहा कि उनकी टिप्पणी को भारत की सफलता को नीचा दिखाने के तौर पर देखा गया बजाए इसके कि इस टिप्पणी में और अधिक प्रयास करने पर जोर दिया गया है। आरबीआइ गर्वनर ने इस साक्षात्कार में भारत के सबसे अधिक तेजी से वृद्धि दर्ज करने वाली अर्थव्यवस्था की स्थिति को ‘अंधों में काना राजा’ करार दिया था।","Speaking at the convocation of National Institute of Bank Management, Rajan said India is yet to achieve its potential growth though it is on the cusp of that and a substantial pick-up in growth can be achieved with pending reforms.","Speaking at the convocation ceremony of the National Institute of Bank Management (NIBM), Rajan said that India is yet to achieve its capacity addition, however, it is moving in that direction and with pending reforms, it can register a significant increase in growth. Referring to an interview given to a foreign newspaper last week, Rajan said his remarks were seen as demeaning India&#39;s success rather than emphasizing the need to put in more effort. In this interview, the RBI Governor had termed the state of India&#39;s fastest growing economy as &#39;the king of the blind&#39;.",अंधों में काना राजा,,,,
वित्त मंत्री अरुण जेटली ने भारतीय अर्थव्यवस्था को अंधों में काना राजा बताने वाले रिजर्व बैंक के गवर्नर रघुराम राजन के,Finance Minister Arun Jaitley with RBI Governor Raghuram Rajan,"Finance Minister Arun Jaitley has criticized the Reserve Bank Governor Raghuram Rajan, who described the Indian economy as &#39;Kana Raja&#39;.",अंधों में काना राजा,,,,
"भारतीय अर्थव्यवस्था को ‘अंधों में काना राजा’ कहकर विवादों में घिर चुके राजन ने यह भी कहा कि उन्हें भारत की वृद्धि को लेकर कोई समस्या नहीं है लेकिन यह और बेहतर हो सकती है। शिव नाडर यूनिवर्सिटी के दीक्षांत समारोह में अपने संबोधन में उन्होंने कहा, ‘मुक्त बाजार में आप जो कुछ भी खरीदना चाहते हैं, उसके लिये धन चाहिए। आपको खानदान, परिवार का महान इतिहास या उपयुक्त फैशन वाले कपड़े या खूबसूरती की जरूरत नहीं है।’","Mr Rajan, who recently drew criticism for likening the Indian economy to a one-eyed man being king in the land of the blind, also said he has no problem with Indias growth, but it can do better.","Rajan, who has been embroiled in controversies by calling the Indian economy a &#39;Kana Raja in the blind&#39;, also said that he has no problem with India&#39;s growth but it could be better. In his address at the convocation ceremony of Shiv Nadar University, he said, “Whatever you want to buy in the free market, you need money. You don&#39;t need a lineage, a great family history, or appropriately fashionable clothes or beauty.",अंधों में काना राजा,,,,
वाशिंगटन: भारत को प्राय: वैश्विक अर्थव्यस्था में चमकता बिंदु बताए जाने के बीच भारतीय रिजर्व बैंक के गवर्नर रघुराम राजन को लगता है कि यह कुछ कुछ अंधों में काना राजा जैसा मामला है।,"Washington: With India being often described as the bright spot in the global economy, the Reserve Bank of India (RBI) Governor Raghuram Rajan sees this as a case of the one-eyed man being king in the land of the blind.","WASHINGTON: With India often being described as a shining point in the global economy, Reserve Bank of India Governor Raghuram Rajan feels that it is a case of &#39;daring&#39;.",अंधों में काना राजा,,,,
