source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
"le patron être absent; il jeter un coup de oeil sur le dossier , puis se tailler un plume , prendre enfin son chapeau et se en aller .","His chief was away; he just glanced at the briefs, then cut himself a pen, and at last took up his hat and went out.","the boss be absent; he takes a look at the folder, then he cuts a feather, finally takes his hat and goes away.",,,,,
"comme il se connaître peu! -- que il pousser un cri , lui prendre le têtepar le cheveu , à plein main , le attirer avec violence et le baisaéperdument à travers le figure .","How little you know me!"" with such a burst of genuineaffection that, with a cry, she seized his head by the hair with bothhands, and dragging him violently to her kissed him distractedly allover his face.","as he knows himself little! -- as he shouts, take his head by the hair, in full hand, draw him violently and kisseperdument through the figure.",,,,,
le entrée soudain de ce homme être pour Julien le goutte de eau qui faire déborder le vase .,The sudden entry of this man was the last straw to Julien.,the sudden entrance of this man being for Julien the drop of water that makes overflow the vase.,,,,,
"et aussitôt prendre son jambe à son cou , il se enfuir dans le direction de le camp , avec le vitesse de le gens de son pays si renommé pour son agilité ; mais , quel que être le rapidité de son course , le premier qui avoir tirer , avoir avoir le temps de recharger son arme , lui tirer un second coup si bien ajuster , ce fois , que le balle traverser son feutre et le faire voler à dix pas de lui .","He immediately, therefore, took to his heels and ran toward the camp, with the swiftness of the young men of his country, so renowned for their agility; but whatever might be his speed, the first who fired, having had time to reload, fired a second shot, and this time so well aimed that it struck his hat, and carried it ten paces from him.","and immediately take his leg to his neck, he escapes in the direction of the camp, with the speed of the people of his country so renowned for his agility; but, whatever the speed of his race, the first who has to shoot, have time to recharge his weapon, shoot him a second shot so well adjust, this time, that the ball cross his felt and make him fly ten steps away from him.",,,,,
"le jeune homme jeter un coup de oeil sur le premier mousquet et vivre avec un certain inquiétude que il se abaisser dans son direction , mais aussitôt que il vivre le orifice de le canon immobile il se jeter ventre à terre .","The young man cast a glance at the first musket and saw, with a certain degree of inquietude, that it was leveled in his direction; but as soon as he perceived that the orifice of the barrel was motionless, he threw himself upon the ground.","the young man take a look at the first musket and live with some concern that he falls down in his direction, but as soon as he lives the orifice of the still cannon he throws himself belly to the ground.",,,,,
"« et lui , se écrier il en se lever et prendre le tête de Julien entre son deux main , et le tenir devant son œil à distance , et lui , lui aimer il comme un frère ?","'And I,' she exclaimed, rising, and taking Julien's head in her hands, and holding it at arm's length before her eyes, 'and I, shall I love you like a brother?","""and he, he cries up and takes Julien's head between his two hands, and hold him in front of his eye at a distance, and he, love him as a brother?",,,,,
de Artagnan jeter un coup de oeil autour de lui .,D’Artagnan cast a glance around him.,by Artagnan take a look around him.,,,,,
"Aramis jeter un coup de oeil de côté sur de Artagnan , et il vivre que son ami bâiller à se démonter le mâchoire .","Aramis cast a glance upon d’Artagnan to see what effect all this produced, and found his friend gaping enough to split his jaws.","Aramis take a look at Artagnan, and he lives that his friend yawning to disassemble his jaw.",,,,,
"et sans attendre le permission de son hôte , de Artagnan entrer vivement dans le maison , et jeter un coup de oeil rapide sur le lit .","Without waiting for the permission of his host, d’Artagnan went quickly into the house, and cast a rapid glance at the bed.","and without waiting for permission from his host, from Artagnan enter the house vividly, and take a quick look at the bed.",,,,,
de Artagnan se adosser à le haie après avoir jeter un coup de oeil derrière lui .,"D’Artagnan leaned against the hedge, after having cast a glance behind it.",d'Artagnan leaning to the hedge after taking a look behind him.,,,,,
"Athos jeter un coup de oeil sur le épître , et , pour faire évanouir tout le soupçon qui avoir pouvoir naître , lire tout haut :","Athos cast a glance over the epistle, and to disperse all the suspicions that might have been created, read aloud:","Athos take a look at the epistle, and, to make faint all the suspicion that may have been born, read aloud:",,,,,
"le capitaine Nemo avoir reprendre le tête de son petit troupe , se diriger toujours sans hésiter .","Captain Nemo resumed the lead in our little band, always heading forward without hesitation.","Captain Nemo has taken over the head of his little troupe, always leading without hesitation.",,,,,
"rien que de y penser , il en avoir le chair de poule .",Only to think of it makes my flesh crawl.,"Just thinking about it, he's got the chicken meat.",,,,,
"de Artagnan trouver le conseil prudent ; il prendre son jambe à son cou , il arriver chez M. de Tréville , mais , à le lieu de passer à le salon avec tout le monde , il demander à entrer dans son cabinet .","He took to his heels, and was soon at M. de Treville’s; but instead of going into the saloon with the rest of the crowd, he asked to be introduced to M. de Treville’s office.","from Artagnan find the advice prudent; he takes his leg to his neck, he arrives at M. de Tréville, but, instead of going to the living room with everyone, he asks to enter his cabinet.",,,,,
le capitaine jeter un coup de oeil sur le carte .,The captain glanced at the chart.,Captain take a look at the map.,,,,,
"Biscarat être un Gascon comme de Artagnan ; il faire le sourd oreille et se contenter de rire , et entre deux parade , trouver le temps de désigner , de le bout de son épée , un place à terre :","Bicarat was a Gascon, as d’Artagnan was; he turned a deaf ear, and contented himself with laughing, and between two parries finding time to point to a spot of earth with his sword, ""Here,"" cried he, parodying a verse of the Bible, ""here will Bicarat die; for I only am left, and they seek my life.""","Biscarat be a Gascon as from Artagnan; he makes the deaf ear and content himself with laughing, and between two parades, find time to designate, from the end of his sword, a place on the ground:",,,,,
"celui-ci prendre le tête de top entre son main , et , détacher le collier que le animal porter à le cou , il le rompre en deux partie , en dire « voilà deux couteau , Pencroff! »","The latter took Top's head between his hands, and unfastening the collar which the animal wore round his neck, he broke it in two, saying,-- ""There are two knives, Pencroft!""","This one takes the top head between his hand, and, detach the necklace that the animal wears to the neck, he breaks it in two parts, saying ""Here are two knifes, Pencroft!""",,,,,
"tout ce que il savoir , ce être que avec ce mélodie le souvenir se revenir , et , que approcher de il , il lui prendre le tête entre son main et le embrassai . --Vous se pardonner ? lui des-jer .","All I know is that the melody brought back that recollection, and, coming up to her, I took her head between my hands and kissed her. ""You forgive me?""","everything he knows, that being that with this melody the memory comes back, and, what to approach him, he takes his head between his hand and embraces him. --Forgive yourself? He's a jer.",,,,,
"à le lumière jaune que jeter le lanterne de le voiture , il voir le baronnet jeter un coup de oeil sur son fenêtre et son haine il avoir tuer si son œil avoir être un arme aussi terrible que son pistolet .","In the yellow glare of the carriage-lamp I saw the baronet look up at our windows, and if hatred could have killed, his eyes would have been as deadly as his pistol.","to the yellow light that throw the lantern of the car, he sees the baronet take a look at his window and his hate he has killed if his eye have been a weapon as terrible as his gun.",,,,,
"-- il avoir recevoir le même invitation que il et il se rendre à le même but , dire son oncle en jeter un coup de oeil par-dessus son épaule .","""He has had the same summons as we, and is bound for the same destination,"" said my uncle, glancing over his shoulder at the distant barouche.","-- he has received the same invitation as he and he goes to the same goal, saying his uncle take a look over his shoulder.",,,,,
"il avoir atteindre Whitemans Green , ce qui faire un bon moitié de le distance entre le dune de Crawley et Friar's Oak , lorsque il jeter un coup de oeil en arrière et il voir sur le route le reflet de le soleil sur un haut voiture jaune .","We had got as far as Whiteman's Green, which is rather more than midway between Crawley Down and Friars' Oak, when, looking backwards, I saw far down the road the gleam of the sun upon a high yellow carriage.","he's got to reach Whitemans Green, which makes a good half of the distance between the Crawley Dune and Friar's Oak, when he takes a look back and he sees on the road the reflection of the sun on a high yellow car.",,,,,
"en passer devant le hôtel de le Gardes , il jeter un coup de oeil dans le écurie: trois cheval être déjà rentrer sur quatre .","As he passed the Hotel des Gardes, he took a glance in to the stables. Three of the four horses had already arrived.","passing in front of the hotel of the Guards, he takes a look in the stable: three horse be already back on four.",,,,,
"puis se adresser à Sir Lothian : -- il qui être son soutien , il devoir demander que on jeter le éponge en le air .","""As his patron, Sir Lothian, you should direct the sponge to be thrown up.""","then address Sir Lothian: -- he who is his support, he must ask that we throw the sponge in the air.",,,,,
"il jeter un coup de oeil sur le porte : le baron avoir faire clouer un planche sur le guichet; il craindre sans doute que , par ce ouverture , il ne parvenir encore , par quelque moyen diabolique , à séduire le garde .",She cast a glance at the door; the baron had had a plank nailed over the grating. He no doubt feared that by this opening she might still by some diabolical means corrupt her guards.,"he takes a look at the door: the baron has nailed a board on the counter; he doubtless fears that, by this opening, he will still, by some evil means, be able to seduce the guard.",,,,,
"Athos jeter un coup de oeil froid et indifférent sur tout le objet que il venir de décrire , et , sur le invitation de celui que il venir chercher , il se asseoir près de lui .","Athos cast a cold and indifferent glance upon the objects we have described, and at the invitation of him whom he came to seek sat down near him.","Athos take a cold and indifferent look at all the object he comes to describe, and, at the invitation of the one he comes to look for, he sits near him.",,,,,
"puis , dans un état de profond affliction , il se remettre avoir tourner le page . il arriver à le fievre typhoide ... lui informer un symptôme ... et découvrir que il avoir le fievre typhoide , que il devoir le avoir depuis un mois sans le savoir .","I sat for awhile, frozen with horror; and then, in the listlessness of despair, I again turned over the pages.","then, in a state of deep affliction, he recovers having turned the page. he arrives at the typhoid fever ... inform him of a symptom ... and discover that he has the typhoid fever, that he must have it for a month without knowing it.",,,,,
"il consulter un dictionnaire médical et lire tout le chapitre qui se concerner . puis , sans y penser , il se mettre avoir tourner le page de un doigt machinal et avoir étudier de un oeil indolent le maladie , en général .","I got down the book, and read all I came to read; and then, in an unthinking moment, I idly turned the leaves, and began to indolently study diseases, generally.","he consults a medical dictionary and read the whole chapter that concerns himself. Then, without thinking about it, he starts turning the page of a machinal finger and having studied with an indolent eye the disease, in general.",,,,,
"on présumer que il avoir briser le corps en prendre le âme , comme le singe qui casser le coquille pour manger le noix .","It was presumed that he had broken the body when taking the soul, like monkeys who break the shell to get at the nut.","We assume that he has broken the body taking the soul, like the monkey who breaks the shell to eat the nut.",,,,,
