source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
"जी हाँ जैसी करनी, वैसी भरनी ।","Yes, violence begets violence, as human history has repeatedly demonstrated.","Yes, to do the same.",,,,,
"एक यूजर ने लिखा, 'जैसी करनी, वैसी भरनी.","""One user wrote, """" Well done.""","Oneman wrote, 'just like, this is what you're doing.",,,,,
"स्वामी ने कहा, ‘राजन ने हमारी सरकार को देश में असहिष्णुता के लिए जिम्मेदार ठहराया। वाशिंगटन में उन्होंने भारत की वृद्धि दर का अपमान करते हुए, भारतीय अर्थव्यवस्था को अर्थव्यवस्था को अंधों में काना राजा कहा था।’ स्वामी ने कहा कि इस तरह का निंदाजनक अपमान सरकारी अधिकारियों की निगरानी के नियमों का उल्लंघन है। किसी अधिकारी को इस तरह का व्यवहार नहीं करना चाहिए।","""""""He (Rajan) has by innuendos in effect held our government responsible for climate of intolerance in the country,"""" Swamy said, adding that the Governor in Washington had disparaged the growth rate of India as being equal to a """"cockeyed"""" person in the land of blind.""","The owner said, ""The government has held our government responsible for causing trouble in the country."" In Washington, he condemned India's increase rate to the economy as king to the blind.",अंधों में काना राजा,,,,
भारत के ‘आकर्षक गंतव्य’ होने के संबंध में उनकी राय पूछने पर राजन ने पिछले सप्ताह एक इंटरव्यू में कहा- मुझे लगता है कि अभी ऐसी जगह पहुंचना बाकी है जहां हम संतुष्ट महसूस करें। हमारे यहां एक कहावत है- अंधों में काना राजा। हमारी स्थिति कुछ ऐसी ही है।,"Queried for his take on India being the bright spot, Rajan during last weeks interview had said: I think we have still to get to a place where we feel satisfied.","On asking their opinion about India's destination destination, Rajon said in an interview last week: ""I think there's still a place where we feel content.""",अंधों में काना राजा,,,,
भारतीय अर्थव्यवस्था को अंधों में काना राजा बताने वाले रिजर्व बैंक के गवर्नर रघुराम राजन के बयान को एक प्रकार से खारिज करते हुए वित्त मंत्री अरुण जेटली ने कहा कि शेष दुनिया की तुलना में भारतीय अर्थव्यवस्था की वृद्धि बहुत तेज है।,"Finance Minister Arun Jaitley has virtually rebutted RBI Governor Raghuram Rajan's remarks that India is 'one-eyed king in the land of blind' saying compared to the rest of the world, the Indian economy was growing much faster and, in fact, the fastest.","In a way, the minister said, the Indian economy is very fast on the Indian economy compared with the world's economy, telling the king that the governor of the Ridge Bank is the governor of the state.",अंधों में काना राजा,,,,
भारतीय अर्थव्यवस्था को अंधों में काना राजा बताने वाले रिजर्व बैंक के गवर्नर रघुराम राजन के बयान को एक प्रकार से खारिज करते हुए केंद्रीय वित्तमंत्री अरुण जेटली ने कहा कि शेष दुनिया की तुलना में भारतीय अर्थव्यवस्था की वृद्धि बहुत तेज है।,"Finance Minister Arun Jaitley has virtually rebutted RBI Governor Raghuram Rajan's remarks that India is 'one-eyed king in the land of blind' saying compared to the rest of the world, the Indian economy was growing much faster and, in fact, the fastest.","On the other hand, in a sense, the central business increased by Indian economy compared with that of the President of the Ridge Bank, telling the Indian economy to be so fast compared with the rest of the world.",अंधों में काना राजा,,,,
"राष्ट्रीय बैंक प्रबंधन संस्थान (एनआइबीएम) के दीक्षांत समारोह में राजन ने कहा कि भारत का अभी अपनी क्षमता वृद्धि प्राप्त करना शेष है हालांकि, वह इस दिशा में अग्रसर है और लंबित सुधारों के साथ यह वृद्धि में उल्लेखनीय वृद्धि दर्ज कर सकता है। पिछले हफ्ते एक विदेशी अखबार को दिए गए साक्षात्कार का हवाला देते हुए राजन ने कहा कि उनकी टिप्पणी को भारत की सफलता को नीचा दिखाने के तौर पर देखा गया बजाए इसके कि इस टिप्पणी में और अधिक प्रयास करने पर जोर दिया गया है। आरबीआइ गर्वनर ने इस साक्षात्कार में भारत के सबसे अधिक तेजी से वृद्धि दर्ज करने वाली अर्थव्यवस्था की स्थिति को ‘अंधों में काना राजा’ करार दिया था।","Speaking at the convocation of National Institute of Bank Management, Rajan said India is yet to achieve its potential growth though it is on the cusp of that and a substantial pick-up in growth can be achieved with pending reforms.","During the National Bank management Institute (NIM) ceremony, the Rajan said that India has yet to achieve its potential increase, although it is running in this direction and can report a significant increase in growth with pending improvements. The king referred to a foreign newspaper as an interview given to the next week as saying that their comments were down to make the success of India more successful and more successful.",अंधों में काना राजा,,,,
वित्त मंत्री अरुण जेटली ने भारतीय अर्थव्यवस्था को अंधों में काना राजा बताने वाले रिजर्व बैंक के गवर्नर रघुराम राजन के,Finance Minister Arun Jaitley with RBI Governor Raghuram Rajan,"The financial minister Austrazli told Indian economy to be king in the blind of the Red Bank, the governor of the Indian Bank, Rörlberg.",अंधों में काना राजा,,,,
"भारतीय अर्थव्यवस्था को ‘अंधों में काना राजा’ कहकर विवादों में घिर चुके राजन ने यह भी कहा कि उन्हें भारत की वृद्धि को लेकर कोई समस्या नहीं है लेकिन यह और बेहतर हो सकती है। शिव नाडर यूनिवर्सिटी के दीक्षांत समारोह में अपने संबोधन में उन्होंने कहा, ‘मुक्त बाजार में आप जो कुछ भी खरीदना चाहते हैं, उसके लिये धन चाहिए। आपको खानदान, परिवार का महान इतिहास या उपयुक्त फैशन वाले कपड़े या खूबसूरती की जरूरत नहीं है।’","Mr Rajan, who recently drew criticism for likening the Indian economy to a one-eyed man being king in the land of the blind, also said he has no problem with Indias growth, but it can do better.","The state capital of the Indian economy, surrounded by Kauna King Kauna in the Indian economy, said that he has no problem with India's rise but can be better. He said in his address at the Washington University council ceremony, at his address, what you want to buy should be the wealth for him. You shouldn't have a lot of family history, family history, or beauty.",अंधों में काना राजा,,,,
वाशिंगटन: भारत को प्राय: वैश्विक अर्थव्यस्था में चमकता बिंदु बताए जाने के बीच भारतीय रिजर्व बैंक के गवर्नर रघुराम राजन को लगता है कि यह कुछ कुछ अंधों में काना राजा जैसा मामला है।,"Washington: With India being often described as the bright spot in the global economy, the Reserve Bank of India (RBI) Governor Raghuram Rajan sees this as a case of the one-eyed man being king in the land of the blind.","Washington: In the middle of India's almost clear point to globalization, the Indian Bank's governor Rugavia feels it's like some blind king.",अंधों में काना राजा,,,,
पढ़ें: 'अंधों में काना राजा' जैसी ही भारतीय अर्थव्यवस्था की स्थिति: राजन,Read | Indian economy like one-eyed king in land of blind: RBIs Rajan,"Read: ""As the Indian economy conditions in the Indian State are: State · Global Voices",अंधों में काना राजा,,,,
अंधों में काना राजा।,"In the land of the blind, the one-eyed man is king.",King of the blind.,अंधों में काना राजा,,,,
"अरुण जेटली ने भारतीय अर्थव्यवस्था को अंधों में काना राजा बताने वाले रिजर्व बैंक के गवर्नर रघुराम राजन के बयान को एक प्रकार से खारिज करते हुए कहा कि शेष दुनिया की तुलना में भारतीय अर्थव्यवस्था की ग्रोथ कहीं बहुत तेज है, वास्तव में, सबसे तेज है।","Finance Minister Arun Jaitley has virtually rebutted RBI Governor Raghuram Rajan's remarks that India is 'one-eyed king in the land of blind' saying compared to the rest of the world, the Indian economy was growing much faster and, in fact, the fastest.","As he said, the Indian economy is far too fast in comparison with the Indian economy that tells the Indian economy in the blind, the governor of the Red Sea, Bruggling the description of the state of Ringh, saying that the Indian economy is far too fast in comparison with the rest of the world, in fact, is the fastest.",अंधों में काना राजा,,,,
आरबीआई के गवर्नर रघुराम राजन ने एक साक्षात्कार में भारत को वैश्विक अर्थव्यवस्था में चमकता हुआ बिंदु बताए जाने पर कहा कि ये कुछ ऐसा है जैसे अंधों में काना राजा का मामला होता है।,"With India being often described as the bright spot in the global economy, Reserve Bank Governor Raghuram Rajan sees this as a case of the one-eyed man being king in the land of the blind.","In an interview with Arbi's governor Rugu Rajan, a interview said that it's something like the king's case in the blind.",अंधों में काना राजा,,,,
आवश्यकता अविष्कार की जननी है.,Necessity is mother of invention.,The need is the general of the trunk.,आवश्यकता अविष्कार की जननी है,,,,
