source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
ミスちゃんぽん,"Next, Miss Noodle.",Miss Champon,ちゃんぽん,,,,
イタチの最後っ屁をやるなら でかくやるもんだろ？,"If you're gonna go big, you might as well take it all.","If you&#39;re going to do the last weasel, you&#39;re gonna do it, right?",イタチの最後っ屁,,,,
一期一会なんだ 大事にな,"For once in her life, she deserves some real care.",It ’s a once-in-a-lifetime meeting.,一期一会,,,,
"""二兎を追う者は一兎をも得ず""",Don't try to do two things at once and expect to do justice to both. This is the story of a boy who tried it.,&quot;Anyone who chases two rabbits won&#39;t get one.&quot;,二兎を追う者は一兎をも得ず,,,,
タラにも会わせる顔がない,"And hell if I know how I'll ever, ever be able to look Tara in the face again.",I don&#39;t have a face to meet Tara,会わせる顔がない,,,,
私は口が滑るかもしれん,Or I'm gonna have to.,I may slip my mouth,口が滑る,,,,
- スゲー！ - 口が軽いわね！,- And you apparently are not.,--Suge! ――Your mouth is light!,口が軽い,,,,
若い娘は口が軽い,Young girls are notorious for keeping their fucking mouths shut.,Young daughter has a light mouth,口が軽い,,,,
因果応報だよ,"What comes around, goes around.",It&#39;s a causal response,因果応報,,,,
因果応報を示さないとな,"Whatever the play, it has to do double-duty.",I have to show a causal response,因果応報,,,,
因果応報よ,This is poetic justice,Causal retribution,因果応報,,,,
因果応報,"Actions have consequences, you know.",Causal response,因果応報,,,,
因果応報を信じなければな,unless you believe in karma.,I have to believe in causal retribution,因果応報,,,,
私とジェンナが 破局に終わった後だったので まるで そのぉ... - 因果応報,"After everything that went down between me and Jenna, it just seemed like... poetic justice.","It was after I and Jenna were catastrophic, so it&#39;s like ... --Cause and effect",因果応報,,,,
お前の功徳は因果応報で,What merits and retribution are you looking to?,Your merit is causal retribution,因果応報,,,,
これはお前の因果応報なのだ,This is your karmic reward,This is your causal retribution,因果応報,,,,
因果応報？,Poetic justice.,Causal response?,因果応報,,,,
因果応報とは言わねえが 金にも同じ事が言えるな,"I don't throw the word ""karma"" around a lot, but that's exactly what that is, my friends, with a capital K.","It ’s not a causal response, but the same thing can be said for money.",因果応報,,,,
地獄に仏とは　このことだ,Talk about a Good Samaritan.,This is what Buddha is in hell,地獄に仏,,,,
地獄に仏だ,There is a God.,Buddha in hell,地獄に仏,,,,
もし救護ヘリを呼べたら 地獄に仏だ,"If you can get through to a medevac, the guy'll have a hell of a better chance.","If you can call a rescue helicopter, it ’s a Buddha in hell.",地獄に仏,,,,
今度は大目玉を食らうぞ,Yousa in big dudu dis time.,This time I will eat a big eyeball,大目玉を食らう,,,,
大目玉を食らうよ あのドロイドは困ったやつだ,That little droid's going to cause me a lotta trouble.,I&#39;m gonna eat a big eyeball That droid is a troubled one,大目玉を食らう,,,,
〈大学病院の医局は弱体化し→ 命のやりとりをする医療も→ ついに 弱肉強食の時代に突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","&lt;The medical office of a university hospital is weakened → Medical care for exchanging lives → Finally, we have entered the era of weak meat and strong food&gt;",弱肉強食,,,,
〈大学病院の医局は弱体化し 命のやりとりをする医療も→ ついに 弱肉強食の時代に突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.",&lt;Medical offices of university hospitals have weakened and medical care for exchanging lives has finally entered the era of weak meat and strong food&gt;,弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやり取りをする医療も→ ついに弱肉強食の時代に 突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","&lt;The medical office of a university hospital is weakened → Medical care for exchanging lives → Finally, we have entered the era of weak meat and strong food&gt;",弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやりとりをする医療も→ ついに 弱肉強食の時代に突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","&lt;The medical office of a university hospital is weakened → Medical care for exchanging lives → Finally, we have entered the era of weak meat and strong food&gt;",弱肉強食,,,,
ここは弱肉強食の世界だと その体に教えてやろう,It's time we show you who's king of this jungle.,Let&#39;s tell the body that this is a world of weak meat and strong food,弱肉強食,,,,
"""弱肉強食""だ","""The Weak are Meat and the Strong Do Eat. """,&quot;Weak meat and strong food&quot;,弱肉強食,,,,
弱肉強食の世界が...,Harsh. It's-- it's survival of the fittest.,The world of weak meat and strong food ...,弱肉強食,,,,
自然界は弱肉強食 適者生存よ,Nature adds and subtracts. Survival of the fittest.,The natural world is a weak meat and a strong diet.,弱肉強食,,,,
メンタリスト　シーズン５ 第１４話　弱肉強食 ええ　それがリンダの指輪です,"Okay. ♪ The Mentalist 5x14 ♪ Red in Tooth and Claw Original Air Date on February 17, 2013 == sync, corrected by elderman ==","Mentalist Season 5 Episode 14 Weak Meat Strong Eating Yes, that&#39;s Linda&#39;s Ring",弱肉強食,,,,
"""弱肉強食""","""The Weak are Meat, the Strong do Eat. """,&quot;Weak meat and strong food&quot;,弱肉強食,,,,
弱肉強食の世界で 誰もが高い地位に昇りたいと渇望している,Everyone thirsts to measure up,"In the world of weak meat and strong food, everyone is hungry for a high position.",弱肉強食,,,,
