sent,reference,translation
あっという間,Nothing.,Happened fast.
覚えてる あっという間の出来事,As I recall it ended much too soon You look marvelous.,I remember. It happened so fast.
先生ならあっという間よ,Doctor Mixter have you stitched up in no time.,"You know, Mr. White, it will only take a second."
ほら ほら あっという間に過ぎ去る 取るに足らないことだ,"Look, look, it was fleeting, inconsequential.","Look, look, it goes by so fast, it's not enough."
もしこれが本当に最後のチャンスなら、 何かあっと言わせるようなものを見つけないと。,"If this really is your last chance, we need to find you something spectacular.","If this is really our last chance, we need to find something that will make you feel better."
- 違うんだ - あっと言わせたくて,You're just trying to make me say something nice.,I just wanted to say that up front.
この新しいパートナーシップの早い成功を 互いに喜んでいます あっと言う間の2年、ヤムラに 最初のGP勝利をもたらしました,Both delighted with the quick success of this new partnership which has brought Yamura his first Grand Prix victory after two years of flying.,We're pleased to report that Mr. Yamura gets his first victory in two years.
あっと言う間だ,In a heartbeat,Then it just goes away.
炎よ あっと言う間に 骨まで燃え尽きる,He'll melt the flesh off your bones in the blink of an eye.,Fire. Soon your bones will burn.
(哲希) プハーッ そりゃそうだ このまんまだと うちのクラスは 吉森のいいようにされちまうね,"Well, that's right. If this continues, it will only benefit Yoshimori.",That's right. That's right. That's right. That's right.
奉公に行かなくていいようにする,"I promise thee, you'll need not leave to serve the Tildens nor any family else.",We don't need to go to the service.
勝手なまねをした罰だ いい気味だ,Enough! They've had their fun!,Some bullshit to punish you. - That felt good.
- 全くいい気味だな メリー,"-Not too happy at all, Merry.","- That's very creepy, Merry."
いい気味だね,Crying like a sucky baby.,- That felt good.
さあさあ いい目が出でてくれよ,"CROUPIER: All right, boys. Come on, now.","Come on, come on, come on, come on, come on."
奴を見て... 奴の 大きくて かわいい目を見て... 答えてくれよ,"Look into his eyes those big, pretty eyes and tell me yes or no.","Look at him... look at his big, adorable eyes... and answer."
まわりの連中は いい迷惑だな 自分が間違ってることを 君は決して認めない,"You know, it must be very difficult for people around you, the fact you can never admit to being wrong.","People around me don't want us here, and you'll never admit being wrong."
患者さん いい迷惑だな。,What a nuisance it must be for the patient.,The patient is not welcome here.
彼はいい顔をしないわ,"I'd tell him myself, but he wouldn't understand.",He doesn't take it all that well.
いい子になるのも・・,I was free.,Be a good girl.
あなたは走り続けた スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを,"You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life.","You've been running, Sue, trying to be a good girl, just admiring college schoolwork and being your perfect boyfriend and great prom."
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then be a good boy.
問題児だったけど― いざという時は勇敢だった,"He was a real handful... but when it came down to it, he was very brave.","He was a loose end, but he was brave if it ever comes to that."
いざという時が来たら― 君はどのくらいで ラボを引き継げるかな,"If push came to shove, I was wondering how soon you might be able to take over the lab yourself.","When the time comes, how long before you take over the lab?"
いざという時 やり返す,I'm going out like I came in: screaming and kicking.,I'll fight back if I have to.
おじゃんになった,"Mm. Now, that blows.",I'm off.
ほぉ お世辞でも嬉しいな,"Whoa. Well, I'm flattered.","Ooh, I'm flattered."
お先真っ暗だな 勝手にやってろ,'Cause you just blew the best thing you had going for you.,It's pitch black out there. Have it your way.
- お安い御用,- You're welcome.,-No problem.
あなたが勝って― お山の大将になったら―,"And once you've won, once you're king of the mountain,","If you win, and you get to be the general of the mountain,"
