sent,reference,translation
Tuoko oli luonteva aasinsilta?,And that was actually your segue?,That was the natural segue way?
"Siinäpä aasinsilta muistoihin, eikö?","Now, there's a trip down memory lane.","Well, that's a hunch for memories, isn't it?"
Mikä onkin loistava aasinsilta seuraavaan asiaani.,Which brings me to our next order of business.,Which is a great segue... to my next point.
Hieno aasinsilta itsemurhaan.,"Nice speech, Mr. Hobson. Way to hit the suicide theme.",Nice sedation for suicide.
Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.,"And if anyone's a genius, it's me for the way I brought that full circle.",There's nothing ingenious in here except that hunch I made up.
Yritäpä vielä asettua poikkiteloin.,"Just do me a favor, man...",Try to stop it again.
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","If I even dreamed of defecting, Penelope would make my life hell.","If I got in the way, Penelope would make my life a living hell."
Enää en asetu poikkiteloin.,"William, I'm not going to get in your way no more.",I won't get in his way again.
"Jos aiotte asettua poikkiteloin, tiedätte missä ovi on.","If either of you has a problem with it, you know where the door is.","If you're going to get in front of the door, you know where the door is."
"En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.","I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.",- I don't know anything. - This place will be shut down if you get in the way.
Haluan olla täysin perse auki neljässä sekunnissa.,I want to be completely broke in the next four secds.,I want to be completely broke in four seconds.
On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki.,"- I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I..","I need to see Jack. The marriage is falling apart, and we're broke."
Olen persauki.,"Okay, I'm broke, man.",I'm broke.
Otat riskin Lafayette-aukiolla.,I watch the news. You're going for broke in Lafayette square.,You're taking a risk in Lafayette Square.
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","I only want you to know that if you feel like you're under water, if you need to talk, my door is open.","If you feel lost, if you want to talk, my door is open."
Miten persaukisella olisi varaa 1 500 dollarin aseeseen?,How's a guy that's so broke afford a $1500 handgun?,"How does a fat-ass man afford a $1,500 gun?"
"Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin.",You don't want to go home broke once John makes this shot.,You don't want to go home naked when John hits you.
Meidät putsattiin persaukiseksi.,They cleaned us out.,They cleaned us out.
Mitä persaukinen Randy Newman ajattelee asiasta?,What's broke-ass Randy Newman's take on it?,And how does broke-ass Randy Newman feel about that?
"Ehkä se oli väärin, mutta olin persaukinen.","Maybe that was wrong, but I was broke, and that's what I did.","Maybe it was wrong, but I was broke."
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,I caught you stealing a bunch of coins out of the fountain at Logan Circle.,"Name one other strange thing, you got caught stealing coins from a fountain in Logan Square."
"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.","If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation.","If you want to stay open, you will attend today's seminar to demonstrate the 32 stages of hand-washing."
Äläkä yhtään ala aukoa päätäsi.,"Yes, we do have to and don't be so cheeky! Do you hear me, Davey?",Don't get out of line.
Mitä sä tuut tänne aukoon päätäs?,Who the fuck do you think you are coming in here mouthing off at my mates?,What are you doing here?
Kehtaatko aukoa päätäsi minulle?,"Look at this guy, talking back to me.",You dare mouth off to me?
Pitikin aukoa päätä.,It's all for talking shit to him. - I'll see you later.,I had to mouth off.
"Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.",You don't get a bitch pass just 'cause you're old.,You can't run your mouths off to me just because you're old.
Ei hätä ole tämän näköinen.,-Yeah. Don't worry about it.,It doesn't look like this.
"Odota, ei hätä ole tämän näköinen.",Just hang tight. It's not that bad.,"Wait, this isn't as bad as it looks."
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","It looks worse than it is, it's just that we have a particular house style.","It doesn't look like this, but we use a certain style."
No DNA:ssa ei kauan nokka tuhise.,The DNA testing is a piece of cake.,"Well, DNA doesn't last long."
Et näe metsää puilta.,"You get myopic, can't see the forest for the trees.",You can't see the forest for the trees.
"Jotkut eivät näe metsää puilta. Vai mitä, Vincent?","I guess some people just see what they wanna see, right, Vincent?","Some people can't see the forest for the trees, can they, Vincent?"
Et näe metsää puilta... Kun kyseessä on perheesi.,"You can't see the forest through the trees, man -- not when it comes to family.",You can't see the forest for the trees when it comes to your family.
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.",You can't see the forest for the trees... even when the forest is in your own backyard.,"Sometimes you can't see the forest for the trees, even if it's in the backyard."
En nähnyt metsää puilta.,I...couldn't see the wood for the trees.,I couldn't see the wood for the trees.
Täs ei olla jäniksen selässä. Deadlinet ei tuu vastaan aikoihin.,"I'm not in a rush, my deadline is far away.",We're not on a rabbit.
"Sillä, joka hommasi sinut ilmiantajaksi, ei ollut kaikki intiaanit kanootissa.",Listen. Whoever targeted you as an informant was asleep at the wheel.,Whoever got you hired as an informant wasn't the only Indian in the canoe.
Hänellä ei ole kaikki muumit laaksossa.,She's not in her right mind.,He doesn't have all the mummies in the valley.
Minulla ei ole kaikki muumit laaksossa.,You might've noticed I'm a few raisins short of a full scoop.,I don't have all the mummies in the valley.
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"You may have been born yesterday, but I wasn't.Where did you get the gun?",I wasn't born yesterday.
En ole mikään eilisen teeren poika.,"I was born, but I wasn't born yesterday, son.",I wasn't born yesterday.
Olenko muka eilisen teeren poika?,"What am I, born yesterday?","What am I, yesterday's kid?"
- Hän ei ole eilisen teeren poika.,- He's no milksop. I said I'd take care of it.,He doesn't look like he was born yesterday.
Näytänkö eilisen teeren pojalta?,What? Do I look like I was born yesterday?,Do I look like he was born yesterday?
