sent,reference,translation
"Salut. Ah la vache, ils sont costauds, ceux-là.","Oh my God, who's winning so far?","Oh, my God, they're strong."
Ah la vache !,Holy cow!,"Oh, my God!"
"Ah la vache, c'est le saumon.",It's the salmon guy!,"Oh, my God, it's the salmon."
"Et maintenant, une jeune femme qui va droit au but, ma sœur, Roberta Tubbs.","And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs.","And now, a young woman who gets right to the point, my sister, Roberta Tubbs."
"Rebecca, je... je vais aller droit au but.","Becca, there is no easy way to say this...","Rebecca, I'm... I'm gonna cut to the chase."
"Mais je suis d'accord avec l'idée de Gina ""D'aller se faire cuire un œuf.""","But I'm going with Gina's ""suck an egg"" idea.","But I agree with Gina's ""go get an egg cooked"" idea."
Je lui ai dit d'aller se faire cuire un oeuf.,I told him to go fly a kite.,I told him to go suck an egg.
Nous appellerons un chat un chat.,We're going to call a spade a dirty spade.,We will call a spade a spade.
J'appelle un chat un chat...,If it walks like a duck...,I call a spade a spade...
J'ai du pain sur la planche...,I've got a lot on my plate and um...,I got a lot of work to do.
Tu as du pain sur la planche.,You have a job to do.,You've got your work cut out for you.
"Je le ferais bien moi-même, mais j'ai deux mains gauches.","I would do it myself, but I am all thumbs. Yeah, I'm sorry about that.","I'd do it myself, but I've got two left hands."
"Sally, tu as deux mains gauches ce soir.","Oh, Sally, you are fingers and thumbs tonight.","Sally, you've got two left hands tonight."
j'aurai la banane.,I'll go bananas.,I'll get the banana.
La centrifugeuse d'isotopes a la banane.,The isotope centrifuge went bananas.,The banana isotope centrifuge.
"""J'ai le cafard à cause de toi.","""I've got the blues for you.","""I'm feeling down because of you."
J'avais le cafard et j'ai dit quelque chose dans ma langue.,I was lonely. I wanted to say something in my own language.,"I was feeling down, and I said something in my tongue."
"Chaque fois que je pense au jour où on s'est rencontré, j'ai la chair de poule.","Every time I think about the day we met, I just get goosebumps all over again.","Every time I think about the day we met, I get goose bumps."
"J'ai la chair de poule, Andie.","- This is really creepy, Andie.","I got goose bumps, Andie."
Avait le coeur sur la main.,Wore his heart on his sleeve.,Had the heart on his hand.
Elle a le coeur sur la main.,She's got a big heart.,She's got her heart on her sleeve.
"Super, j'ai la dalle.","- Oh, good, 'cause I'm starving.","Great, I'm starving."
Je fume pour ça. J'ai la dalle.,"That's why I wanna smoke, I'm starving.",That's why I smoke.
"Par contre, j'ai la dalle.",I am starving though.,But I'm starving.
Ses parents avaient la flemme de l'appeler Bob ?,"What, his parents were too lazy to come up with, like, Bob?",His parents were too lazy to call him Bob?
Je ne sais pas si sortir ou pas. J'ai la flemme...,I don't know if I want to go or if I'm too tired but...,I don't know whether to go out or not.
"Là, j'ai la gueule de bois.",Now I'm just hung-over.,Now I'm hungover.
J'ai la gueule de bois par ta faute.,And I am hung over because of you.,I'm hungover because of you.
"Laisse-moi tranquille, j'ai la gueule de bois.","Oh, leave me alone, I have a hangover.","Leave me alone, I'm hungover."
"O.K., vous avez la patate.",Fine. You guys rock.,"Okay, you've got the potato."
"- Ouais, j'avais la patate.",You should've seen me.,"- Yeah, I had the potatoes."
"J'ai la patate, ce matin.",I'm on top form today.,I'm hungry this morning.
"Nous, on a la patate !",We all feel great.,We've got potatoes!
"Soudain, t'as la pêche ?",Now all of a sudden you're fired up?,"All of a sudden, you happy?"
Les Rockets ont la pêche...,These Rockets are movin' today.!,The Rockets are all right.
"Vous avez les yeux plus gros que le ventre, mon ami.","You've bitten off more than you can chew this time, my friend.","You're biting off more than you can chew, my friend."
Elle pense qu'on a les yeux plus gros que le ventre.,She worries our eyes might be a little bigger than our stomachs.,She thinks we bite off more than we can chew.
Et je n'ai pas eu l'occasion de t'en parler parce qu'on avait d'autres chats à fouetter.,And I didn't get a chance to tell you because we had bigger fish to fry.,And I didn't get a chance to tell you because we had bigger fish to fry.
"Pour le moment, on a d'autres chats à fouetter.","But right now, we got bigger fish to fry.","Right now, we got bigger fish to fry."
J'ai dû avoir un chat dans la gorge.,Must've been a frog in my throat.,I must have had a cat in my throat.
- Vous avez un chat dans la gorge ! - Oui.,- You've got a frog in your throat.,- You've got a cat in your throat!
"Quand je dis son prénom, c'est comme si j'avais un chat dans la gorge.","It's easy to pronounce. Every time I try to say her name, I get a hairball.","When I say her name, it's like a cat in my throat."
"Je sais pas, j'ai eu un coup de foudre.","I don't know, it was love at first sight.","I don't know, I fell in love at first sight."
Je n'ai pas eu de coup de foudre depuis Sean Cassidy.,I haven't had a crush since Sean Cassidy. No way.,I haven't had a crush since Sean Cassidy.
Tavares n'aurait pas témoigné car il avait une peur bleue de Donovan.,Tavares wouldn't testify because he was scared stiff of Donovan.,FERres wouldn't have testified because he was scared to death of Donovan.
Il a une peur bleue de vous.,He's afraid of you.,He's scared to death of you.
"Et tu le sais, il faut battre le fer tant qu'il est chaud.","And you know, you have to strike while the iron is hot.","And as you know, you have to beat the iron while it's hot."
"Ils veulent le capital sur la publicité produite par le Post, nous devons battre le fer tant qu'il est chaud.","They want to capitalize on the publicity from The Post, so we have to strike while the iron's hot.","They want the capital on the ad that the Post produces, we have to beat the iron while it's hot."
Quelle était l'entreprise pour laquelle David Clarke blanchissait de l'argent ?,And what was the name of the organization you believe David Clarke was laundering money for?,What was the company that David Clarke was laundering money for?
Vous blanchissez de l'argent pour lui.,You launder money for him.,You're laundering money for him.
Elle a commencé à boire comme un trou.,She started a drinking binge.,She started drinking like a fish.
Vous avez dû boire comme des trous.,How much did you drink?,You must have been drinking like crazy.
"Donc, ce n'est pas tes oignons, ok?","That mean, it's none of your business, right?","So it's none of your business, okay?"
"Ce ne sont pas mes oignons, bien sûr, mais maintenant que Victor en a un","It's not my business, of course, but now that Victor has one--","It's none of my business, of course, but now that Victor has one,"
On cherche la petite bête?,"Lookin' for some loopholes, huh?",We're looking for the little beast?
