source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
意外とミーハーなんだよなあ,"['You are pretty oldfashioned, despite your looks.']",You&#39;re surprisingly fanboy,idiomatic,意外 と ミーハー だ ん だよな あ,['ミーハー'],3
紗絵子さんは ミーハーな ノリで 新しいものに 飛び付くけど 商品に対しては シビアだよ｡,"[""Saeko-san jumps at new things like a trendhopper, but she's a harsh judge of products.""]","Saeko is a fanboy and jumps at new things, but she is severe when it comes to products.",idiomatic,紗 絵子 さん は ミーハー だ ノリ で 新しい もの に 飛び付く けど 商品 に 対する て は シビア だ よ ｡,['ミーハー'],3
案外ミーハーなんだよね,"[""She's oldfashioned despite her looks, right?""]",You&#39;re unexpectedly fanboy,idiomatic,案外 ミーハー だ ん だ よ ね,['ミーハー'],3
やつらが姑息な手を使って 隠した事実さ,['They use static electricity to... to mask the changes.'],It&#39;s a fact that they hid using their shady hands,idiomatic,やつ ら が 姑息 だ 手 を 使う て 隠す た 事実 さ,['姑息'],3
俺と向き合ったらどうだ 操り人形で 姑息な手段を使わないで,"[""Face me like a real man, not with your hand up another's ass like a bloody puppet.""]",Why don&#39;t you face me as a puppet and don&#39;t use palliative means,idiomatic,俺 と 向き合う た どう だ 操る 人形 で 姑息 だ 手段 を 使う ない で,['姑息'],3
姑息な連中だよ,"['Even for this group, that takes nerve.']",It&#39;s a palliative group,idiomatic,姑息 だ 連中 だ よ,['姑息'],3
ＦＢＩは鬼門だったな,"['Well, that was when the team made video games, not weapons.']",FBI was a demon,idiomatic,ＦＢＩ は 鬼門 だ た な,['鬼門'],3
（男性）鬼門って言われてんだから うちは,"[""They say it's our fault.""]","(Male) Because it is said to be a demon gate, we are",idiomatic,（ 男 性 ） 鬼門 るる て 言う れる てる ん だ から うち は,['鬼門'],3
あの山は鬼門だ,['That mountain is evil.'],That mountain is a demon gate,idiomatic,あの 山 は 鬼門 だ,['鬼門'],3
ｳﾞｫｰｹﾞﾙはどのように丸くなった How the fuck did that happen ?,['How did Vogel come round? How the fuck did that happen?'],How the fuck did that happen ?,idiomatic,ｳﾞ ｫ ｰ ｹ ﾞﾙ は どの よう だ 丸くなる た How the fuck did that happen ?,['丸くなる'],2
