source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.
","Any normal man would've died, but not just our Mick.
","['I mean, any normal man would have just turned up his toes and died. But not our Mick.\n']",1,kuka tahansa normaali mies olla heittää veivä - mutta ei vain minä Mick .,"['heittää', 'heittää veivä']",20240
"Kun vanha ystäväni Popov heitti veivinsä, panin salkun hyllylle.
","When my old friend Popov croaked, I put the briefcase on the shelf.
","['When my old friend Popov died, I put my briefcase on the shelf for good.\n']",1,"kun vanha ystävä Popov heittää veivä , panna salkku hylly .","['heittää', 'heittää veivä']",20240
"En tahdo odottaa, kunnes joku heittää veivinsä.
","I don't wanna wait for someone to drop dead.
","[""I don't wanna wait till some guy croaks.\n""]",1,"ei tahtoa odottaa , kunnes joku heittää veivä .","['heittää', 'heittää veivä']",20240
"Mummo heitti veivinsä.
","Grandma croaked.
",['My grandma croaked.\n'],1,mummo heittää veivä .,"['heittää', 'heittää veivä']",20240
"Minä heitän sinut.
","I'll give you a ride.
","[""I'll take you.\n""]",1,minä heittää sinä .,['heittää'],20240
"Heitämme pikkuisen herjaa.
","We're just having a little fun.
",['Come on.\n'],1,heittää pikkuinen herja .,['heittää'],20240
"Heitän vain yhden voimisteluliikkeen...
","I'm just gonna throw one of those gymnastics moves...
","[""I'll just do one of my gymnastics moves to...\n""]",1,heittää vain yksi voimistelu#liike ...,['heittää'],20240
"- Heittää lusikka nurkkaan.
","Throw the spoon in the corner.
",['- Bit the dust.\n'],1,- heittää lusikka nurkka .,"['heittää lusikka nurkka', 'heittää']",20240
"Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan.
","You should have let me in on this big decision of yours about the way our father throws the spoon in the corner.
","[""You should have included me in this huge decision you made about how our father's gonna leave this Earth.\n""]",1,"sinä olla pitää ottaa minä mukaan tämä iso päätös - tapa , joka isä heittää lusikka nurkka .","['heittää lusikka nurkka', 'heittää']",20240
"Mbungon elättäjä heitti lusikan nurkkaan. Olemme rikkaita!
","We're rich!
","[""Mbungo's sugar daddy just took a dirt nap, and we're rich!\n""]",1,Mbungon elättäjä heittää lusikka nurkka . olla rikas !,"['heittää lusikka nurkka', 'heittää']",20240
"Koska saatan pian heittää lusikan nurkkaan...
","Since I might be throwing the spoon in the corner...
","['Seeing as I may be rapping on the door momentarily,\n']",1,koska saattaa pian heittää lusikka nurkka ...,"['heittää lusikka nurkka', 'heittää']",20240
"Muut onki sitte heittäny lusikan nurkkaan.
","The others have thrown the spoon in the corner.
",['All the others have kicked the bucket.\n'],1,muu olla sitten heittää lusikka nurkka .,"['heittää lusikka nurkka', 'heittää']",20240
