source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
Je ne veux pas jeter le bébé avec l´eau du bain.,"[""I don't want to throw the baby out with the bathwater.""]",I don&#39;t want to throw the baby out with the bathwater.,idiomatic,il ne vouloir pas jeter le bébé avec le eau de le bain .,['jeter le bébé avec le eau de le bain'],4
"Eh bien, si tu vas jeter le bébé avec l'eau du bain...","[""Well, if you're gonna throw the baby out with the bathwater...""]","Well, if you&#39;re going to throw the baby out with the bathwater...",idiomatic,"eh bien , si il aller jeter le bébé avec le eau de le bain ...",['jeter le bébé avec le eau de le bain'],4
Pudding était rouge comme une tomate !,"[""Heh, Pudding's face is red as a raspberry!""]",Pudding was red as a tomato!,idiomatic,pudding être rouge comme un tomate !,['être rouge comme un tomate'],4
"Oui, t'es rouge comme une tomate.","[""Yeah, you're all flushed.""]","Yes, you&#39;re red as a tomato.",idiomatic,"oui , lui être rouge comme un tomate .",['être rouge comme un tomate'],4
Il semble passer du coq à l'âne.,['He seems to be drifting from one thought to another.'],He seems to go from rooster to donkey.,idiomatic,il sembler passer de le coq à le âne .,['passer de le coq à le âne'],4
Peter Petrelli est passé du coq à l'âne comme vous le dîtes chez vous.,"['Peter Petrelli went from steady as a clam to, as you say, crap-house rat in a blink.']",Peter Petrelli went from rooster to donkey as you say at home.,idiomatic,Peter Petrelli être passer de le coq à le âne comme il le dîre chez il .,['passer de le coq à le âne'],4
"En quelques clics, vous passez du coq à l'âne ?","['What I don\'t believe is that a couple clicks took you from fiber-optic footprints to ""Help Me Rhonda.""']","In a few clicks, you go from rooster to donkey?",idiomatic,"en quelque clic , il passer de le coq à le âne ?",['passer de le coq à le âne'],4
"Je passe du coq à l'âne et je suis peut-être indiscrète, mais qu'est-ce que c'est que ce bruit ?","[""Speaking of change of pace, it probably isn't any of my business, but would you mind telling me what that noise is?""]","I go from rooster to donkey and I may be indiscreet, but what is that noise?",idiomatic,"il passer de le coq à le âne et il être pouvoir être indiscret , mais que être ce que ce être que ce bruit ?",['passer de le coq à le âne'],4
On jetait le bébé avec l'eau du bain.,['A case of throwing the baby out with the bath water.'],The baby was thrown out with the bathwater.,idiomatic,on jeter le bébé avec le eau de le bain .,['jeter le bébé avec le eau de le bain'],4
"qui devient intéressant de commencer, mais que personne ne ""jeter le bébé avec l'eau du bain"" et je pense que c'est très important, de garder la foi dans la science.","[""But one doesn't want to throw the baby with the bath water and I think it's really important to stay faithful to science.""]","which is getting interesting to start with, but no one is &quot;throwing the baby out with the bathwater&quot; and I think that&#39;s very important, to keep the faith in science.",idiomatic,"qui devenir intéressant de commencer , mais que personne ne "" jeter le bébé avec le eau de le bain "" et il penser que ce être très important , de garder le foi dans le science .",['jeter le bébé avec le eau de le bain'],4
