source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
La dernière fois que je vous ai vu... vous étiez en train de pleurer comme une madeleine.,['Have you come to talk about marriage?'],The last time I saw you... you were crying like a madeleine.,idiomatic,le dernier fois que il il avoir voir ... il être en train de pleurer comme un madeleine .,"['être en train de', 'pleurer comme un madeleine']",25209
Tu crois qu'Elliot est en train de pleurer comme une madeleine ?,"[""Do you think Elliot's somewhere right now, crying her eyes out?""]",Do you think Elliot is crying like a madeleine?,idiomatic,de le croire que Elliot être en train de pleurer comme un madeleine ?,"['être en train de', 'pleurer comme un madeleine']",25209
"Même si ça me coûte les yeux de la tête, pour payer ses études, je remercie Dieu de pouvoir encore boire un coup.","[""Considering it costs me an arm and a leg to pay for his education I'm thankful I can afford to drink""]","Even if it costs me the eyes of the head, to pay for his studies, I thank God that I can still have a drink.",idiomatic,"même si ça se coûter le œil de le tête , pour payer son étude , il remercier Dieu de pouvoir encore boire un coup .","['boire un coup', 'coûter le œil de le tête']",561
Je devrais en prendre de la graine.,['I should learn from you.'],I should take the seed.,idiomatic,il devoir en prendre de le graine .,['en prendre de le graine'],20
"- Oui, tu devrais en prendre de la graine.",['- You should take a page from his book.'],"- Yes, you should take the seed.",idiomatic,"- oui , il devoir en prendre de le graine .",['en prendre de le graine'],20
Tu aurais pu en prendre de la graine.,"[""You could have followed others' lead.""]",You could have taken the seed.,idiomatic,il avoir pouvoir en prendre de le graine .,['en prendre de le graine'],20
"Ce serait à lui de m'écouter, pour en prendre de la graine.","[""L... I don't have all the answers. But maybe he should listen to me more and learn a little.""]","It would be up to him to listen to me, to take the seed.",idiomatic,"ce être à lui de lui écouter , pour en prendre de le graine .",['en prendre de le graine'],20
Ton équipe pourrait en prendre de la graine.,['Something your team could learn about.'],Your team could take the seed.,idiomatic,son équipe pouvoir en prendre de le graine .,['en prendre de le graine'],20
Ça m'a coûté les yeux de la tête.,"[""You have no idea how much money I've spent on dolls.""]",It cost me the eyes of the head.,idiomatic,ça lui avoir coûter le œil de le tête .,['coûter le œil de le tête'],19
elle a même pleuré comme une madeleine parce qu'il lui manquait. ce n'est pas comme si je n'avais pas utilisé Hye Ri.,"['Lawyer. His name was Seo-Dong-Gun. Do you know him, by any chance?']",she even cried like a madeleine because she missed him. it&#39;s not like I haven&#39;t used Hye Ri.,idiomatic,il avoir même pleurer comme un madeleine parce que il lui manquer . ce ne être pas comme si il ne avoir pas utiliser Hye Ri .,['pleurer comme un madeleine'],19
"Je me démène pour qu'ils soient adoptés, et pleure comme une madeleine quand ils partent.",['I work like fury to get them adopted and then cry like a fool when they go.'],"I fight for them to be adopted, and cry like a madeleine when they leave.",idiomatic,"il se démener pour que il être adopter , et pleurer comme un madeleine quand il partir .",['pleurer comme un madeleine'],19
"Oui, je pleurais comme une madeleine, mais j'en ai fini avec les larmes.","[""Yes, I used to weep salt tears about it, but I've done with tears forever, okay?""]","Yes, I cried like a madeleine, but I&#39;m done with the tears.",idiomatic,"oui , il pleurer comme un madeleine , mais il en avoir finir avec le larme .",['pleurer comme un madeleine'],19
Je fais le pont du 4 Juillet. Je resterai 3 jours.,"[""Yeah, I'm taking the 4th off, so I'll be there for three days.""]",I&#39;m doing the 4th of July bridge. I will stay 3 days.,idiomatic,il faire le pont de le 4 juillet . il rester 3 jour .,['faire le pont'],19
"Une année, il m'a apporté une Barbie et j'ai pleuré comme une madeleine.",['He brought me a barbie and i bailed my eyes out.'],One year he brought me a Barbie and I cried like a madeleine.,idiomatic,"un année , il lui avoir apporter un Barbie et il avoir pleurer comme un madeleine .",['pleurer comme un madeleine'],19
Ça me coûte les yeux de la tête.,['That costs me an arm and a leg.'],It costs me the eyes of the head.,idiomatic,ça se coûter le œil de le tête .,['coûter le œil de le tête'],19
"Mais Carthagène, ça coûte les yeux de la tête.","[""But I'll tell you, Cartagena is really expensive.""]",But Cartagena costs an arm and a leg.,idiomatic,"mais Carthagène , ça coûter le œil de le tête .",['coûter le œil de le tête'],19
"Je le regarde, et Mr Beau-Gosse, ici présent, pleure comme une madeleine.","['I look over, and Pretty Boy here is bawling his eyes out.']","I look at him, and Mr. Beau-Gosse, here present, is crying like a madeleine.",idiomatic,"il le regarder , et monsieur Beau-Gosse , ici présent , pleurer comme un madeleine .",['pleurer comme un madeleine'],19
"Tu sais, les deux enfants sont à St Margaret maintenant, et ça nous coûte les yeux de la tête.","[""You know, both kids are at St. Margaret's now, and that costs an arm and a leg.""]","You know, both kids are in St. Margaret&#39;s now, and it&#39;s costing us an arm and a leg.",idiomatic,"il savoir , le deux enfant être à Saint Margaret maintenant , et ça il coûter le œil de le tête .",['coûter le œil de le tête'],19
C'est dépassé et ça coûte les yeux de la tête.,"[""It's outdated and expensive as shit.""]",It&#39;s outdated and it costs an arm and a leg.,idiomatic,ce être dépasser et ça coûter le œil de le tête .,['coûter le œil de le tête'],19
"- Eh oui, l'habit ne fait pas le moine.","[""Yes, clothes don't make the man.""]","- Yes, the habit does not make the monk.",idiomatic,"- eh oui , le habit ne faire pas le moine .",['le habit ne faire pas le moine'],18
Je dois avoir deux mains gauches.,['I think I have two left hands.'],I must have two left hands.,idiomatic,il devoir avoir deux main gauche .,['avoir deux main gauche'],18
Tu as deux mains gauches !,['You got hands like bricks!'],You have two left hands!,idiomatic,il avoir deux main gauche !,['avoir deux main gauche'],18
"Parfois, j'ai deux mains gauches.","[""Sometimes I'm just all thumbs.""]",Sometimes I have two left hands.,idiomatic,"parfois , il avoir deux main gauche .",['avoir deux main gauche'],18
J'avais un chat dans la gorge.,['Just got a frog in my throat.'],I had a cat in my throat.,idiomatic,il avoir un chat dans le gorge .,['avoir un chat dans le gorge'],18
Il a un chat dans la gorge.,"[""He's just a little hoarse.""]",He has a cat in his throat.,idiomatic,il avoir un chat dans le gorge .,['avoir un chat dans le gorge'],18
"Sally, tu as deux mains gauches ce soir.","['Oh, Sally, you are fingers and thumbs tonight.']","Sally, you have two left hands tonight.",idiomatic,"Sally , il avoir deux main gauche ce soir .",['avoir deux main gauche'],18
"Je le ferais bien moi-même, mais j'ai deux mains gauches.","[""I would do it myself, but I am all thumbs. Yeah, I'm sorry about that.""]","I would do it myself, but I have two left hands.",idiomatic,"il le faire bien lui-même , mais il avoir deux main gauche .",['avoir deux main gauche'],18
"""L'habit ne fait pas le moine"".","['""A wolf in sheep\'s clothing.""']",&quot;The clothes do not make the man&quot;.,idiomatic,""" le habit ne faire pas le moine "" .",['le habit ne faire pas le moine'],18
- l'habit ne fait pas le moine.,"[""- One man's ceiling is another man's floor.""]",- the clothes do not make the man.,idiomatic,- le habit ne faire pas le moine .,['le habit ne faire pas le moine'],18
