source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
Votre relation est en train de tourner au vinaigre ?,['Has your relationship reached its inevitable ugly end?'],Is your relationship going sour?,idiomatic,son relation être en train de tourner à le vinaigre ?,"['être en train de', 'tourner à le vinaigre']",25209
Est-ce que je suis en train de me faire larguer ?,['Am I getting dumped?'],Am I being dumped?,idiomatic,être ce que il être en train de se faire larguer ?,"['être en train de', 'se faire larguer']",25209
Elle doit être en train de faire la grasse matinée dans la chambre de Jake.,"[""Uh, gee, I guess she's probably still asleep in jake's room.""]",She must be sleeping in Jake's room.,idiomatic,il devoir être en train de faire le gras matinée dans le chambre de Jake .,"['être en train de', 'faire le gras matinée']",25209
"J'ai la pêche, ça marche plus vite que j'imaginais.","[""Don't be paranoid. I feel great. Didn't expect the meds to work this quickly.""]","I'm feeling good, it's going faster than I thought.",idiomatic,"il avoir le pêche , ça marcher plus vite que il imaginer .","['ça marcher', 'avoir le pêche']",12211
"C'est une fille qui a le cafard. Elle en a marre de la guerre, marre d'être seule, à attendre que son homme revienne.","[""It's about a very lonely girl who's sick and tired of war and being left alone.""]","She's a girl who's down in the dumps. She is tired of the war, tired of being alone, waiting for her man to come back.",idiomatic,"ce être un fille qui avoir le cafard . il en avoir marre de le guerre , marre de être seul , à attendre que son homme revenir .","['en avoir marre', 'avoir le cafard']",5339
"Si tu te sens seul, comme si on en a rien à foutre de toi... et que le monde entier en a rien à cirer, moi, je suis là.","[""If you're feeling alone, like nobody in the world cares... and nobody in the fucking world gives a shit, then I'm here.""]","If you're feeling lonely, like no one gives a shit about you... and the whole world doesn't care, I'm here.",idiomatic,"si il lui sentir seul , comme si on en avoir rien à foutrer de lui ... et que le monde entier en avoir rien à cirer , lui , il être là .","['en avoir rien à foutrer', 'en avoir rien à cirer']",1002
Vous blanchissez de l'argent pour lui.,['You launder money for him.'],You launder money for him.,idiomatic,il blanchir de le argent pour lui .,['blanchir de le argent'],148
Quelle était l'entreprise pour laquelle David Clarke blanchissait de l'argent ?,['And what was the name of the organization you believe David Clarke was laundering money for?'],What was the business that David Clarke was laundering money for?,idiomatic,quel être le entreprise pour lequel David Clarke blanchir de le argent ?,['blanchir de le argent'],148
- Il pourrait blanchir de l'argent.,['He could be laundering money. - So?'],- He could be laundering money.,idiomatic,- il pouvoir blanchir de le argent .,['blanchir de le argent'],148
Bien pratique pour blanchir de l'argent en tant que gros dealer de coke,['Which comes in handy to launder all the money he makes as the biggest coke dealer'],Very convenient to launder money as a big coke dealer,idiomatic,bien pratique pour blanchir de le argent en tant que gros dealer de coke,['blanchir de le argent'],148
"A droite, une holding dont se sert Khasinau pour blanchir de l'argent.","['On the right, a holding company that Khasinau uses to launder money.']","On the right, a holding company used by Khasinau to launder money.",idiomatic,"à droite , un holding dont se servir Khasinau pour blanchir de le argent .",['blanchir de le argent'],148
