source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Je suis crevé, j'ai la dalle et la migraine !","[""I don't know where the fuck we are and we don't have any water. I'm tired, I'm hungry, and I've got a headache.""]","I&#39;m exhausted, I have the slab and the migraine!",idiomatic,"il être crever , il avoir le dalle et le migraine !","['être crever', 'avoir le dalle']",798
"A droite, une holding dont se sert Khasinau pour blanchir de l'argent.","['On the right, a holding company that Khasinau uses to launder money.']","On the right, a holding company used by Khasinau to launder money.",idiomatic,"à droite , un holding dont se servir Khasinau pour blanchir de le argent .",['blanchir de le argent'],148
Bien pratique pour blanchir de l'argent en tant que gros dealer de coke,['Which comes in handy to launder all the money he makes as the biggest coke dealer'],Handy for laundering money as a big coke dealer,idiomatic,bien pratique pour blanchir de le argent en tant que gros dealer de coke,['blanchir de le argent'],148
Vous blanchissez de l'argent pour lui.,['You launder money for him.'],You launder money for him.,idiomatic,il blanchir de le argent pour lui .,['blanchir de le argent'],148
Quelle était l'entreprise pour laquelle David Clarke blanchissait de l'argent ?,['And what was the name of the organization you believe David Clarke was laundering money for?'],What company was David Clarke laundering money for?,idiomatic,quel être le entreprise pour lequel David Clarke blanchir de le argent ?,['blanchir de le argent'],148
- Il pourrait blanchir de l'argent.,['He could be laundering money. - So?'],- He could launder money.,idiomatic,- il pouvoir blanchir de le argent .,['blanchir de le argent'],148
"Oui, il vient de rendre l'âme.","['Yeah, he just expired.']","Yes, he just passed away.",idiomatic,"oui , il venir de rendre le âme .",['rendre le âme'],145
"""Ceux qui rendent l'âme ne se rétablissent jamais.""","['""Those who do die, do never recover. ""']",&quot;Those who give up the ghost never recover.&quot;,idiomatic,""" celui qui rendre le âme ne se rétablir jamais . """,['rendre le âme'],145
"Alors, tu as finalement rendu l'âme, Batman?","['I see you finally shuffled off this mortal coil, Batman.']","So you finally passed away, Batman?",idiomatic,"alors , il avoir finalement rendre le âme , Batman ?",['rendre le âme'],145
Jusqu'à ce qu'elle rende l'âme.,['Until she passed.'],Until she gives up her ghost.,idiomatic,jusque à ce que il rendre le âme .,['rendre le âme'],145
"Mais moi, je suis sur le point de rendre l'âme.","[""I'm the one in trouble.""]",But I am about to give up the ghost.,idiomatic,"mais lui , il être sur le point de rendre le âme .",['rendre le âme'],145
"Le pauvre a eu du mal à joindre les deux bouts, dernièrement.","[""Poor guy's been struggling lately.""]",Poor guy has been struggling to make ends meet lately.,idiomatic,"le pauvre avoir avoir du mal à joindre le deux bout , dernièrement .",['joindre le deux bout'],144
