source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
La dernière fois que je vous ai vu... vous étiez en train de pleurer comme une madeleine.,['Have you come to talk about marriage?'],The last time I saw you... you were crying your eyes out.,idiomatic,le dernier fois que il il avoir voir ... il être en train de pleurer comme un madeleine .,"['être en train de', 'pleurer comme un madeleine']",25209
Tu crois qu'Elliot est en train de pleurer comme une madeleine ?,"[""Do you think Elliot's somewhere right now, crying her eyes out?""]",Do you think Elliot is crying his eyes out?,idiomatic,de le croire que Elliot être en train de pleurer comme un madeleine ?,"['être en train de', 'pleurer comme un madeleine']",25209
"""Il faut souffrir pour être beau."" Essayez, ça marche.","[""Beauty Knows No Pain. just try it. It's gotten more ladies through my class...""]","""You have to suffer to be beautiful."" Try it, it works.",idiomatic,""" il falloir souffrir pour être beau . "" essayer , ça marcher .","['ça marcher', 'il falloir souffrir pour être beau']",12211
Tu aurais pu en prendre de la graine.,"[""You could have followed others' lead.""]",You could have learned from them.,idiomatic,il avoir pouvoir en prendre de le graine .,['en prendre de le graine'],20
"Ce serait à lui de m'écouter, pour en prendre de la graine.","[""L... I don't have all the answers. But maybe he should listen to me more and learn a little.""]","It would be up to him to listen to me, to learn from me.",idiomatic,"ce être à lui de lui écouter , pour en prendre de le graine .",['en prendre de le graine'],20
"- Oui, tu devrais en prendre de la graine.",['- You should take a page from his book.'],"- Yes, you should learn from them.",idiomatic,"- oui , il devoir en prendre de le graine .",['en prendre de le graine'],20
Je devrais en prendre de la graine.,['I should learn from you.'],I should learn from them.,idiomatic,il devoir en prendre de le graine .,['en prendre de le graine'],20
Ton équipe pourrait en prendre de la graine.,['Something your team could learn about.'],Your team could learn from this.,idiomatic,son équipe pouvoir en prendre de le graine .,['en prendre de le graine'],20
Ça m'a coûté les yeux de la tête.,"[""You have no idea how much money I've spent on dolls.""]",It cost me my eyes.,idiomatic,ça lui avoir coûter le œil de le tête .,['coûter le œil de le tête'],19
"Je me démène pour qu'ils soient adoptés, et pleure comme une madeleine quand ils partent.",['I work like fury to get them adopted and then cry like a fool when they go.'],"I struggle to get them adopted, and cry like crazy when they leave.",idiomatic,"il se démener pour que il être adopter , et pleurer comme un madeleine quand il partir .",['pleurer comme un madeleine'],19
"Oui, je pleurais comme une madeleine, mais j'en ai fini avec les larmes.","[""Yes, I used to weep salt tears about it, but I've done with tears forever, okay?""]","Yes, I was crying my eyes out, but I'm done with the tears.",idiomatic,"oui , il pleurer comme un madeleine , mais il en avoir finir avec le larme .",['pleurer comme un madeleine'],19
"Tu sais, les deux enfants sont à St Margaret maintenant, et ça nous coûte les yeux de la tête.","[""You know, both kids are at St. Margaret's now, and that costs an arm and a leg.""]","You know, both kids are in St. Margaret's now, and it's costing us an arm and a leg.",idiomatic,"il savoir , le deux enfant être à Saint Margaret maintenant , et ça il coûter le œil de le tête .",['coûter le œil de le tête'],19
"Mais Carthagène, ça coûte les yeux de la tête.","[""But I'll tell you, Cartagena is really expensive.""]","But Cartagena, it costs the eyes of the head.",idiomatic,"mais Carthagène , ça coûter le œil de le tête .",['coûter le œil de le tête'],19
Ça me coûte les yeux de la tête.,['That costs me an arm and a leg.'],It costs me the eyes of the head.,idiomatic,ça se coûter le œil de le tête .,['coûter le œil de le tête'],19
C'est dépassé et ça coûte les yeux de la tête.,"[""It's outdated and expensive as shit.""]",It's outdated and costs a lot of money.,idiomatic,ce être dépasser et ça coûter le œil de le tête .,['coûter le œil de le tête'],19
Je fais le pont du 4 Juillet. Je resterai 3 jours.,"[""Yeah, I'm taking the 4th off, so I'll be there for three days.""]",I am doing the 4th of July bridge. I will stay 3 days.,idiomatic,il faire le pont de le 4 juillet . il rester 3 jour .,['faire le pont'],19
