source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"J'ai la pêche, ça marche plus vite que j'imaginais.
","I'm peachy. It's going faster than I thought.
","[""Don't be paranoid. I feel great. Didn't expect the meds to work this quickly.\n""]",1,"il avoir le pêche , ça marcher plus vite que il imaginer .","['ça marcher', 'avoir le pêche']",12211
"C'est une fille qui a le cafard. Elle en a marre de la guerre, marre d'être seule, à attendre que son homme revienne.
","She's tired of the war, tired of being alone, waiting for her man to come back.
","[""It's about a very lonely girl who's sick and tired of war and being left alone.\n""]",1,"ce être un fille qui avoir le cafard . il en avoir marre de le guerre , marre de être seul , à attendre que son homme revenir .","['en avoir marre', 'avoir le cafard']",5339
"Si tu te sens seul, comme si on en a rien à foutre de toi... et que le monde entier en a rien à cirer, moi, je suis là.
","If you're lonely, like nobody gives a shit about you... and the whole world gives a shit, I'm here.
","[""If you're feeling alone, like nobody in the world cares... and nobody in the fucking world gives a shit, then I'm here.\n""]",1,"si il lui sentir seul , comme si on en avoir rien à foutrer de lui ... et que le monde entier en avoir rien à cirer , lui , il être là .","['en avoir rien à foutrer', 'en avoir rien à cirer']",1002
"A droite, une holding dont se sert Khasinau pour blanchir de l'argent.
","On the right is a holding company that Khasinau uses to launder money.
","['On the right, a holding company that Khasinau uses to launder money.\n']",1,"à droite , un holding dont se servir Khasinau pour blanchir de le argent .",['blanchir de le argent'],148
"Bien pratique pour blanchir de l'argent en tant que gros dealer de coke
","Very convenient for laundering money as a major coke dealer.
",['Which comes in handy to launder all the money he makes as the biggest coke dealer\n'],1,bien pratique pour blanchir de le argent en tant que gros dealer de coke,['blanchir de le argent'],148
"Vous blanchissez de l'argent pour lui.
","You're laundering money for him.
",['You launder money for him.\n'],1,il blanchir de le argent pour lui .,['blanchir de le argent'],148
"Quelle était l'entreprise pour laquelle David Clarke blanchissait de l'argent ?
","What was the company that David Clarke was laundering money for?
",['And what was the name of the organization you believe David Clarke was laundering money for?\n'],1,quel être le entreprise pour lequel David Clarke blanchir de le argent ?,['blanchir de le argent'],148
"- Il pourrait blanchir de l'argent.
","- He could be laundering money.
",['He could be laundering money. - So?\n'],1,- il pouvoir blanchir de le argent .,['blanchir de le argent'],148
"Jusqu'à ce qu'elle rende l'âme.
","Until she died.
",['Until she passed.\n'],1,jusque à ce que il rendre le âme .,['rendre le âme'],145
"Alors, tu as finalement rendu l'âme, Batman?
","So, you finally gone, Batman?
","['I see you finally shuffled off this mortal coil, Batman.\n']",1,"alors , il avoir finalement rendre le âme , Batman ?",['rendre le âme'],145
"""Ceux qui rendent l'âme ne se rétablissent jamais.""
","""The ones who give up never recover.""
","['""Those who do die, do never recover. ""\n']",1,""" celui qui rendre le âme ne se rétablir jamais . """,['rendre le âme'],145
"Oui, il vient de rendre l'âme.
","Yeah, he just died.
","['Yeah, he just expired.\n']",1,"oui , il venir de rendre le âme .",['rendre le âme'],145
"Mais moi, je suis sur le point de rendre l'âme.
","But I'm about to die.
","[""I'm the one in trouble.\n""]",1,"mais lui , il être sur le point de rendre le âme .",['rendre le âme'],145
"J'arrive à peine à joindre les deux bouts.
","I can barely make ends meet.
","['Okay, I am barely scraping by.\n']",1,il arriver à peine à joindre le deux bout .,['joindre le deux bout'],144
"Le pauvre a eu du mal à joindre les deux bouts, dernièrement.
","Poor guy's been having a hard time making ends meet lately.
","[""Poor guy's been struggling lately.\n""]",1,"le pauvre avoir avoir du mal à joindre le deux bout , dernièrement .",['joindre le deux bout'],144
"Comment vais-je joindre les deux bouts ?
","How am I gonna make ends meet?
","['How, how am I going to make ends meet, mmkay?\n']",1,comment aller il joindre le deux bout ?,['joindre le deux bout'],144
"C'est dur de joindre les deux bouts, mais encore plus d'épargner.
","It's hard to make ends meet, but even harder to save.
","[""Breakin' even's hard enough, but getting ahead's impossible.\n""]",1,"ce être dur de joindre le deux bout , mais encore plus de épargner .",['joindre le deux bout'],144
"Écoute, on travaille 70 heures par semaine pour joindre les deux bouts.
","Look, we work 70 hours a week to make ends meet.
","['Look, we work 70 hours a week just to keep pace, right?\n']",1,"écoute , on travailler 70 heure par semaine pour joindre le deux bout .",['joindre le deux bout'],144
"J'ai l'impression d'être à l'ouest.
","I feel like I'm out of it.
",['I feel like such a stupid mess.\n'],1,il avoir le impression de être à le ouest .,['être à le ouest'],128
"Ouais, j'ai bien entendu mais je préfère oublier ce que tu as dit par ce que t'es à l'ouest.
","Yeah, I heard you, but I'd rather forget what you said because you're in the west.
","[""Yeah, I did hear you but I'm going to forget what you said because you're not thinking straight.\n""]",1,"ouais , il avoir bien entendre mais il préférer oublier ce que il avoir dire par ce que lui être à le ouest .",['être à le ouest'],128
"T'es à l'ouest.
","You're out of your mind.
","[""You're way off track.\n""]",1,il être à le ouest .,['être à le ouest'],128
"Il est à l'ouest !
","He's out of control!
","[""Aw, he's tripping.\n""]",1,il être à le ouest !,['être à le ouest'],128
"Tu es à l'ouest, aujourd'hui.
","You're out of your mind today.
","[""You're a million miles away right now.\n""]",1,"il être à le ouest , aujourd'hui .",['être à le ouest'],128
"Chaque fois que je pense au jour où on s'est rencontré, j'ai la chair de poule.
","Every time I think about the day we met, I get goose bumps.
","['Every time I think about the day we met, I just get goosebumps all over again.\n']",1,"chaque fois que il penser à le jour où on se être rencontrer , il avoir le chair de poule .",['avoir le chair de poule'],126
