source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
Tu crois qu'Elliot est en train de pleurer comme une madeleine ?,"[""Do you think Elliot's somewhere right now, crying her eyes out?""]",Do you think Elliot is crying his eyes out?,idiomatic,de le croire que Elliot être en train de pleurer comme un madeleine ?,"['être en train de', 'pleurer comme un madeleine']",25209
Tu es en train de faire un sandwich ou attirer un cerf ?,['Were you making a sandwich or attracting deer?'],Are you making a sandwich or attracting a deer?,idiomatic,il être en train de faire un sandwich ou attirer un cerf ?,['être en train de'],25209
"On est en train de chercher une solution, mais si ça marche pas, tu sais ce que tu dois faire ?","[""We're trying to solve it, but you know what to do... if it doesn't work out, right?""]","We're working on a solution, but if it doesn't work, you know what to do?",idiomatic,"on être en train de chercher un solution , mais si ça marcher pas , il savoir ce que il devoir faire ?","['être en train de', 'ça marcher']",25209
"Elle prend un bain ou quoi ? Si t'es en train de te baptiser, c'est pas comme ça que ça marche !","[""It doesn't count if you try to baptize yourself.""]","Is she taking a bath or what? If you're baptizing yourself, that's not how it works!",idiomatic,"il prendre un bain ou quoi ? si lui être en train de lui baptiser , ce être pas comme ça que ça marcher !","['être en train de', 'ça marcher']",25209
"Quoi que tu sois en train de faire, ça marche.","[""Whatever you're doing in there, it's working.""]","Whatever you're doing, it works.",idiomatic,"quoi que il être en train de faire , ça marcher .","['être en train de', 'ça marcher']",25209
"et j'étais en train de me branler. C'est ça que tu veux, ah?",['I was under your window and I was jerking off.'],"and I was jerking off. Is that what you want, ah?",idiomatic,"et il être en train de se branler . ce être ça que il vouloir , ahant",['être en train de'],25209
Votre relation est en train de tourner au vinaigre ?,['Has your relationship reached its inevitable ugly end?'],Is your relationship going sour?,idiomatic,son relation être en train de tourner à le vinaigre ?,"['être en train de', 'tourner à le vinaigre']",25209
"Je suis en train de tourner la page, vraiment, je travaille dur pour tourner la page.","[""I'm getting over this. I am. I'm working really hard to get over this.""]","I'm turning the page, really, I'm working hard to turn the page.",idiomatic,"il être en train de tourner le page , vraiment , il travailler dur pour tourner le page .","['être en train de', 'tourner le page']",25209
Tu es en train de dire que ta sœur est canon ?,"[""What a freak! You're going to hell, man!""]",Are you saying your sister is hot?,idiomatic,il être en train de dire que ta sœur être canon ?,"['être en train de', 'être canon']",25209
Je suis en train de tourner la page.,"[""I'm turning over a new leaf.""]",I am turning the page.,idiomatic,il être en train de tourner le page .,"['être en train de', 'tourner le page']",25209
