source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.,"[""Either throw away everything you've worked for, including your family, or take back control of your life.""]",Either you throw your job and your family down the drain - or you take control of your life again.,idiomatic,joko heittää työsi ja perheetä kankkula kaivo - tai ottaa taas elämä hallinta .,"['heittää', 'kankkula kaivo']",20240
Haluatko heittää Kankkulan kaivoon ne rahat?,['You want to see that money go out the front door?'],Do you want to throw that money into Kankkula&#39;s well?,idiomatic,haluta heittää kankkula kaivo se raha ?,"['heittää', 'kankkula kaivo']",20240
Nuori mies heittää tikkaa baarissa jumalan selän takana.,"[""- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.""]",A young man throws darts in a bar behind the god&#39;s back.,idiomatic,nuori mies heittää tikka baari jumala selkä takana .,"['heittää', 'jumala selkä takana']",20240
- Että heität tulevaisuutesi kankkulan kaivoon.,"[""I'm afraid you're gonna throw away your whole future.""]",- That you are throwing your future into the well.,idiomatic,- että heittää tulevaisuus kankkula kaivo .,"['heittää', 'kankkula kaivo']",20240
Korjaa luusi tänne!,['Bring your ass out here!'],Get your bone fix here!,idiomatic,korjata luusi tänne !,['korjata luu'],21
Korjatkaa luunne!,['Get going!'],Fix your bones!,idiomatic,korjata luunne !,['korjata luu'],21
"Korjaa luusi käytävästä, George.","['Get out of the god damn hallway, George.']","Get your bone out of the hallway, George.",idiomatic,"korjata luusi käydä , George .",['korjata luu'],21
Korjaa luusi täältä.,"['You get your punk ass out of here, fucking bitch.']",Get your bone fix here.,idiomatic,korjata luusi täältä .,['korjata luu'],21
Meidän on korjattava luumme täältä ja heti.,['We need to leave here now! Go!'],We need to mend our bones here and now.,idiomatic,minä olla korjata luu täältä ja heti .,['korjata luu'],21
"Sinun pitäisi olla sairaalassa, ei täällä jumalan selän takana.","[""You're sick, Dad. You should be in a hospital not stuck out here in the middle of nowhere.""]","You should be in the hospital, not here behind god&#39;s back.",idiomatic,"sinä pitää olla sairaala , ei täällä jumala selkä takana .",['jumala selkä takana'],19
Täällä jumalan selän takana ei ole kyttyyiä.,"[""It's a rowdy place. It's out in the middle of nowhere.""]",There are no squatters here behind the god&#39;s back.,idiomatic,täällä jumala selkä takana ei olla kyttyy .,['jumala selkä takana'],19
"Täällä jumalan selän takana, suuri virran kulutus paljastaisi homman FBI: lle.","['Out here in the sticks, the Feds are tipped off to high consumption.']","Here behind the god&#39;s back, the high power consumption would reveal the matter to the FBI.",idiomatic,"täällä jumala selkä takana , suuri virta kulutus paljastaa homma FBI : lle .",['jumala selkä takana'],19
Sayid oli jumalan selän takana.,['Sayid was in the middle of nowhere.'],Sayid was behind the god&#39;s back.,idiomatic,sayid olla jumala selkä takana .,['jumala selkä takana'],19
"Tajuan joitain juttuja, mutta osa menee yli hilseen.","['I can go along with some things, but... some things make no damn sense.']","I understand some things, but some of them go overboard.",idiomatic,"tajuta jokin juttu , mutta osa mennä yli hilse .",['mennä yli hilse'],19
Tämä meni yli hilseen.,['This is just way over my head.'],This went over the top.,idiomatic,tämä mennä yli hilse .,['mennä yli hilse'],19
Se meni yli hilseen.,['It went right over her head.'],It went over the edge.,idiomatic,se mennä yli hilse .,['mennä yli hilse'],19
- Tekoäly menee yli hilseen.,['All this A.I. stuff is way out of my league.'],- Artificial intelligence goes overboard.,idiomatic,- tekoäly mennä yli hilse .,['mennä yli hilse'],19
Me olemme jossakin helvetin methlabrassa jumalan selän takana.,['We are stuck in a shed in the middle of lorteland.'],We are in some hellish methlabra behind the god&#39;s back.,idiomatic,minä olla jokin helvetin methlabra jumala selkä takana .,['jumala selkä takana'],19
Menee yli hilseen. - Olemme tavanneet.,"[""I'm sorry, am I missing something?""]",Goes over dandruff. - We have met.,idiomatic,mennä yli hilse . - olla tavata .,['mennä yli hilse'],19
Tuoko oli luonteva aasinsilta?,['And that was actually your segue?'],Was that a natural donkey bridge?,idiomatic,tuoko olla luonteva aasinsi ?,['aasinsi'],18
En nähnyt metsää puilta.,"[""I...couldn't see the wood for the trees.""]",I couldn&#39;t see the forest from the trees.,idiomatic,ei nähdä metsä puu .,['ei nähdä metsä puu'],18
Et näe metsää puilta... Kun kyseessä on perheesi.,"[""You can't see the forest through the trees, man -- not when it comes to family.""]",You can&#39;t see the forest for the trees... When it comes to your family.,idiomatic,ei nähdä metsä puu ... kun kyse olla perhe .,['ei nähdä metsä puu'],18
