source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"On cherche la petite bête?
","We're looking for the little beast?
","[""Lookin' for some loopholes, huh?\n""]",1,on chercher le petit bête ?,['chercher le petit bête'],49
"Ah, Veronica... C'est ce qui s'appelle chercher la petite bête.
","Oh, Veronica, that's what it's called.
","['Ah, Veronica... this is really grasping at straws.\n']",1,"ah , Veronica ... ce être ce qui se appeler chercher le petit bête .",['chercher le petit bête'],49
"Là, ça fait le mec qui cherche la petite bête.
","Now, that sounds like the guy who's looking for the little beast.
",['That will look like nit-picking.\n'],1,"là , ça faire le mec qui chercher le petit bête .",['chercher le petit bête'],49
"- Quoi ? Je vous montre un truc fabuleux, et vous cherchez la petite bête.
","I'm showing you something fabulous, and you're looking for the angle.
","['I show you something fantastic, you find fault.\n']",1,"- quoi ? il il montrer un truc fabuleux , et il chercher le petit bête .",['chercher le petit bête'],49
"Ils cherchent la petite bête, pour que rien ne flanche.
","They're looking for the angle, so nothing goes wrong.
","[""Well, I suppose they're all bending over backwards to get this thing right. It's just got to be, you know?\n""]",1,"il chercher le petit bête , pour que rien ne flancher .",['chercher le petit bête'],49
"Ta mère jette l'argent par les fenêtres.
","Your mother's throwing money away.
",['Your mother is squandering money.\n'],1,tou mère jeter le argent par le fenêtre .,['jeter le argent par le fenêtre'],47
"Nous jetons l'argent par les fenêtres.
","We throw money out the window.
","[""We're throwing all our dough in\n""]",1,il jeter le argent par le fenêtre .,['jeter le argent par le fenêtre'],47
"Ça lui apprendra à jeter l'argent par les fenêtres !
","That'll teach him to throw money away!
","[""I'm going to teach that boy a lesson. Yes, that's what he deserves \x97 throwing nickels around like that.\n""]",1,ça lui apprendre à jeter le argent par le fenêtre !,['jeter le argent par le fenêtre'],47
"Tout le monde veut aller à McMurdo pour une bouchée de pain.
","Everyone wants to go to McMurdo for nothing.
",['Everybody is looking for a cheap ride out to McMurdo.\n'],1,tout le monde vouloir aller à McMurdo pour un bouchée de pain .,['un bouchée de pain'],47
"Sinon, d'ici vendredi, York pourra acheter Ojai pour une bouchée de pain et il ne nous restera rien.
","Otherwise, by Friday, York will be able to buy Ojai for nothing and we'll have nothing left.
","[""Well, it's better than what most people do at odd hours on a computer.\n""]",1,"sinon , de ici vendredi , York pouvoir acheter Ojai pour un bouchée de pain et il ne il rester rien .",['un bouchée de pain'],47
"Je ne m'en séparerai pas pour une bouchée de pain.
","I won't give it up for a buck.
",['And I will not throw it away for nothing.\n'],1,il ne lui en séparer pas pour un bouchée de pain .,['un bouchée de pain'],47
"Tu as passé ta vie à flamber, à jeter l'argent par les fenêtres.
","You've spent your life burning up, throwing money out the window.
",['You spent your life squandering your money.\n'],1,"il avoir passer ta vie à flamber , à jeter le argent par le fenêtre .",['jeter le argent par le fenêtre'],47
"Ils l'achetèrent pour une bouchée de pain.
","They bought it for nothing.
","['They step in, they buy it for a pittance.\n']",1,il le acheter pour un bouchée de pain .,['un bouchée de pain'],47
