source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Usein oppii kantapään kautta, että naiset ovat häiriöksi.","[""You're not the first man to learn the hard way-- women are a distraction.""]",You often learn the hard way that women are a nuisance.,idiomatic,"usein oppia kanta#pää kautta , että nainen olla häiriö .",['oppia kanta#pää kautta'],48
"Kerron sinulle opetuksen, jonka opin kantapään kautta.",['Let me give you a lesson that I had to learn the hard way.'],Let me tell you a lesson I learned the hard way.,idiomatic,"kertoa sinä opetus , joka oppia kanta#pää kautta .",['oppia kanta#pää kautta'],48
Joskus heidän on opittava kantapään kautta.,"['Sometimes, they have to learn the hard way. If Hazel rejects your advice, let her.']",Sometimes they have to learn the hard way.,idiomatic,joskus hän olla oppia kanta#pää kautta .,['oppia kanta#pää kautta'],48
Minun täytyi oppia kantapään kautta. Minä opin.,"['If I did it, I was gonna do it and I was gonna learn the lesson the hard way, which I did, repeatedly.']",I had to learn the hard way. I learned.,idiomatic,minä täytyä oppia kanta#pää kautta . minä oppia .,['oppia kanta#pää kautta'],48
Minä itse opin kantapään kautta ettei terveydellä kannata leikkiä.,"['But you know, me... I had to learn the hard way... not to take chances with this kind of thing.']",I myself learned the hard way that health is not something to be trifled with.,idiomatic,minä itse oppia kanta#pää kautta että ei terveys kannattaa leikkiä .,['oppia kanta#pää kautta'],48
Näytänkö eilisen teeren pojalta?,['What? Do I look like I was born yesterday?'],Do I look like the son of yesterday's tar?,idiomatic,näyttää eilinen teeri poika ?,['eilinen teeri poika'],42
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"[""You may have been born yesterday, but I wasn't.Where did you get the gun?""]",I am not yesterday's son. Where did you get the gun?,idiomatic,minä ei olla eilinen teeri poika . mikä saada ase ?,['eilinen teeri poika'],42
En ole mikään eilisen teeren poika.,"[""I was born, but I wasn't born yesterday, son.""]",I'm not yesterday's boy.,idiomatic,ei olla mikään eilinen teeri poika .,['eilinen teeri poika'],42
Olenko muka eilisen teeren poika?,"['What am I, born yesterday?']",Am I the son of yesterday's tares?,idiomatic,olla muka eilinen teeri poika ?,['eilinen teeri poika'],42
- Hän ei ole eilisen teeren poika.,"[""- He's no milksop. I said I'd take care of it.""]",- He is not the son of yesterday's tares.,idiomatic,- hän ei olla eilinen teeri poika .,['eilinen teeri poika'],42
- Minulla on tässä oma lehmä ojassa.,"[""It's mostly selfish on my part.""]",- I have my own cow in the ditch here.,idiomatic,- minä olla tämä oma lehmä oja .,['oma lehmä oja'],40
Lornalla on nyt jokin oma lehmä ojassa.,"[""Is that it, Lorna? 'Cause sure sounds like you've got a dog in this hunt.""]",Lorna now has a cow of her own in the ditch.,idiomatic,Lorna olla nyt jokin oma lehmä oja .,['oma lehmä oja'],40
"Huhutaan, että teillä on oma lehmä ojassa Skotlannin suhteen. Maanpuolustusta tärkeämpää on skottikuningattaren kukistaminen.","[""It's the expense of your Scottish cause, which many say is personal, designed more to undermine Scotland's queen than secure our borders.""]",Rumour has it that you have your own cow in the ditch when it comes to Scotland. More important than national defence is the overthrow of the Scottish Queen.,idiomatic,"huhua , että sinä olla oma lehmä oja Skotlanti suhteen . maan#puolustus tärkeä olla skotti#kuningattari kukistaminen .",['oma lehmä oja'],40
"Alalla on oma lehmänsä ojassa niiden kanssa, - jotta eläimet nähdään yhä, - söpöinä nallukoina, jotka ovat täysin turvallisia.",['The industry has a vested interest in spinning these so that the animals continue to appear like cuddly teddy bears that are completely safe.'],The industry has its own cow in the ditch with them - so that the animals are still seen as cute little teddy bears who are perfectly safe.,idiomatic,"ala olla oma lehmä oja se kanssa , - jotta eläin nähdä yhä , - söpä nallukko , joka olla täysin turvallinen .",['oma lehmä oja'],40
"Rikoit Talon sääntöjä, kun löit vetoa pelistä, - jossa sinulla on oma lehmä ojassa.",['You broke with House rules when you bet on a game that you hold a personal stake in.'],You broke the House rules when you bet on a game - where you have your own cow in the ditch.,idiomatic,"rikko talo sääntö , kun luöda veto peli , - joka sinä olla oma lehmä oja .",['oma lehmä oja'],40
Taisin juoda liikaa ja asiat lähtivät lapasesta - ja tein jotain tyhmää.,"['Look, I guess I had too much to drink and things got out of control and I did something really bad.']",I think I drank too much and things got out of hand - and I did something stupid.,idiomatic,taitaa juoda liikaa ja asia lähteä lapanen - ja tehdä jokin tyhmä .,['lähteä lapanen'],39
Mutta veli Marinus - on lähtenyt lapasesta.,['But Brother Marinus... has gone out of control.'],But brother Marinus - has gone off the rails.,idiomatic,mutta veli Marinus - olla lähteä lapanen .,['lähteä lapanen'],39
Hittolainen. - Nyt se lähtee lapasesta.,"[""Now it's starting to just spin out of control.""]",Damn it. - Now it's going to go off the rails.,idiomatic,hittolainen . - nyt se lähteä lapanen .,['lähteä lapanen'],39
"Luulenpa, että sinulla on koira haudattuna.","['McBeal, we need to talk to you. We think you have a donkey on your back.']",I think you have a dog buried.,idiomatic,"luulla , että sinä olla koira haudattua .",['koira haudattua'],37
Siellä oli kollegoja pilvin pimein.,['The police were everywhere.'],The place was crawling with colleagues.,idiomatic,siellä olla kollega pilvin pimein .,['pilvin pimein'],37
Sellaisia on Gothamissa pilvin pimein.,"[""This is Gotham. That doesn't exactly narrow it down.""]",Gotham is crawling with them.,idiomatic,sellainen olla Gotham pilvin pimein .,['pilvin pimein'],37
Äitisi antoi meille patoja ja pannuja vaikka meillä on jo niitä pilvin pimein.,"[""Your mom said we can't leave without pots and pans. I told her I had some, and then she handed me pots and pans.""]","Your mother gave us pots and pans, even though we already have plenty of them.",idiomatic,äiti antaa minä pata ja pannu vaikka minä olla jo se pilvin pimein .,['pilvin pimein'],37
Jalkaväkeä oli pilvin pimein.,['Arty and infantry just kept on coming.'],The infantry was in full force.,idiomatic,jalka#väki olla pilvin pimein .,['pilvin pimein'],37
"Sanoit, että siinä on koira haudattuna.","['You said it should come without strings. Well, here it is.']",You said there was a dog buried in it.,idiomatic,"sanoa , että se olla koira haudattua .",['koira haudattua'],37
- Tuohon taitaa olla koira haudattuna.,"[""Oh, that compliment sounds like it's got a favor attached to it.""]",- I think there's a dog buried in there.,idiomatic,- tuo taitaa olla koira haudattua .,['koira haudattua'],37
"Anteeksi jos olen hieman skeptien, mutta viimeksi kun liittovaltojen agentti tuli tarjoamaan minulle diiliä, siihen oli koira haudattuna... ja sen koiran oli tarkoitus olla minä.","[""Now, I'm sorry if I seem a little bit skeptical. But the last time a federal agent came up in here offering me a deal, there was a string attached... that I was supposed to put around my neck.""]","Sorry if I'm a bit skeptical, but the last time a federal agent came to me with a deal, there was a dog buried in it... and that dog was supposed to be me.",idiomatic,"anteeksi jos olla hieman skepti , mutta viimeksi kun liitto#valta agentti tulla tarjota minä diili , se olla koira haudattua ... ja se koira olla tarkoitus olla minä .",['koira haudattua'],37
"Arvasin, että tähän on koira haudattuna.",['I knew there was something else in there.'],I knew there was a dog buried here.,idiomatic,"arvata , että tämä olla koira haudattua .",['koira haudattua'],37
"- Niitä on pilvin pimein. Mersu, Mersu, Mersu, Mersu...","['We stopped to let the twin turbo V8 cool, but then... it decided to die.']","- They are a dime a dozen. Mersu, Mersu, Mersu, Mersu, Mersu...",idiomatic,"- se olla pilvin pimein . Mersu , Mersu , Mersu , Mersu ...",['pilvin pimein'],37
En voi vain seisoa tumput suorina.,"[""You can't expect me to do nothing.""]",I can't just stand around with my buttocks straight.,idiomatic,ei voida vain seisoa tumpu suora .,['tumpu suora'],36
"Älä seiso siellä tumput suorina, Elliot.","[""Don't just stand there, Elliot.""]","Don't just stand there with your legs up, Elliot.",idiomatic,"ei seisoa siellä tumpu suora , Elliot .",['tumpu suora'],36
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.","[""The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.""]","The chance of infection increases every second she's open. Plus, you're wasting thousands of dollars standing there with your butt outstretched.",idiomatic,"lnfektio mahdollisuus kasvaa joka sekunti , joka hän olla auki . lisäksi tuhla tuhat dollari , kun seisoa se tumpu suora .","['tumpu suora', 'auki']",36
Miksi täällä seistään tumput suorina?,['What is everybody doing standing around here?'],Why are we standing here with our chins up?,idiomatic,miksi täällä seistä tumpu suora ?,['tumpu suora'],36
"Pidin sinusta ennen. Et seissyt tumput suorina odottamassa, että jotakin tapahtuu.","[""I liked the old you who wouldn't just sit around and wait for things to happen.""]",I used to like you. You didn't stand around waiting for something to happen.,idiomatic,"pitää sinä ennen . ei seistyä tumpu suora odottaa , että jokin tapahtua .",['tumpu suora'],36
"Toisin kuin sinä, joka vain seisot tumput suorina - minä päätin tehdä jotain.",['So unlike you... who seems to be completely comfortable just standing around like some fucking pussy... I decided to do something about it.'],"Unlike you, who just stand around - I decided to do something.",idiomatic,"toisin kuin sinä , joka vain seisoa tumpu suora - minä päättää tehdä jokin .",['tumpu suora'],36
- Nousitko väärällä jalalla?,"['- You got up the wrong side, huh?']",- Did you get off on the wrong foot?,idiomatic,- nousta väärä jalka ?,['nousta väärä jalka'],35
Joskus sitä nousee väärällä jalalla.,"[""You get up on the wrong side of the bed. - You haven't brushed you teeth.""]",Sometimes you get off on the wrong foot.,idiomatic,joskus se nousta väärä jalka .,['nousta väärä jalka'],35
Taisi nousta väärällä jalalla tänään.,['Talk about getting off on the wrong foot.'],I think I got off on the wrong foot today.,idiomatic,taitaa nousta väärä jalka tänään .,['nousta väärä jalka'],35
Nousitko väärällä jalalla sängystä?,['Did someone wake up on the wrong side of the bed?'],Did you get out of bed on the wrong side of the bed?,idiomatic,nousta väärä jalka sänky ?,['nousta väärä jalka'],35
- Kuka nousi väärällä jalalla tänä aamuna?,"[""Look who didn't get out of bed on the wrong side this morning.""]",- Who got up on the wrong side of the bed this morning?,idiomatic,- kuka nousta väärä jalka tämä aamu ?,['nousta väärä jalka'],35
- Se on menneen talven lumia.,"['Detective, that is all water under the bridge now.']",- It is the snow of the past winter.,idiomatic,- se olla mennyt talvi lumi .,['mennyt talvi lumi'],34
- Vai menneen talven lumia?,['Water under the bridge?'],- Or the snow of a bygone winter?,idiomatic,- vai mennyt talvi lumi ?,['mennyt talvi lumi'],34
Menneen talven lumia. Nyt saksalaiset ja amerikkalaiset ovat ylimpiä ystäviä.,"['But that is water under the bridge, now that the Germans and Americans are best friends.']",The snow of the past winter. Now the Germans and Americans are best friends.,idiomatic,mennyt talvi lumi . nyt saksalainen ja amerikkalainen olla ylin ystävä .,['mennyt talvi lumi'],34
