source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"Je suis en train de tourner la page.
","I'm moving on.
","[""I'm turning over a new leaf.\n""]",1,il être en train de tourner le page .,"['être en train de', 'tourner le page']",25209
"et j'étais en train de me branler. C'est ça que tu veux, ah?
","That's what you want, eh?
",['I was under your window and I was jerking off.\n'],1,"et il être en train de se branler . ce être ça que il vouloir , ahant",['être en train de'],25209
"Je suis en train de tourner la page, vraiment, je travaille dur pour tourner la page.
","I'm moving on, really, I'm working hard to move on.
","[""I'm getting over this. I am. I'm working really hard to get over this.\n""]",1,"il être en train de tourner le page , vraiment , il travailler dur pour tourner le page .","['être en train de', 'tourner le page']",25209
"C'était en train de partir en fumée.
","It was going up in flames.
",['McGEE: It was running on fumes.\n'],1,ce être en train de partir en fumée .,"['être en train de', 'partir en fumée']",25209
"Tu es en train de te prendre la tête.
","You're getting all worked up.
","[""You're psyching yourself out.\n""]",1,il être en train de lui prendre le tête .,"['être en train de', 'prendre le tête']",25209
"Sarah est en train de te prendre la tête.
","Sarah's getting on your nerves.
","[""Oh, Sarah's got you all up in a tizzy.\n""]",1,Sarah être en train de lui prendre le tête .,"['être en train de', 'prendre le tête']",25209
"Il est en train de le faire, il défonce la porte.
","He's doing it. He's breaking down the door.
","[""He's doing it, he's breaking down the door.\n""]",1,"il être en train de le faire , il défoncer le porte .",['être en train de'],25209
"Il bâille, mais pas la suspecte qu'il est en train d'interroger.
","He yawns, but not the suspect he's interrogating.
","[""He yawns, but not the suspect he's questioning.\n""]",1,"il bâiller , mais pas le suspect que il être en train de interroger .",['être en train de'],25209
"Imagine combien de gens sont en train de s'envoyer en l'air, mec.
","Imagine how many people are getting laid, man.
","['Imagine how many people out there right now are fucking, man.\n']",1,"imagine combien de gens être en train de se envoyer en le air , mec .","['être en train de', 'se envoyer en le air']",25209
"Je ne savais pas que c'était si mal d'épouser quelqu'un que j'aimais, et ne pas ne pas savoir qu'en me mariant avec cette personne dont je suis si amoureuse, que j'étais en train de laisser tomber la communauté Gay toute entière.
","I didn't know it was so wrong to marry someone I loved, and not know that by marrying that person I'm so in love with, I was letting go of the entire gay community.
","[""I didn't know that it was wrong to marry somebody that I was in love with, and I didn't know that by marrying someone I'm very much in love with, I was letting down the entire gay community.\n""]",1,"il ne savoir pas que ce être si mal de épouser quelqu'un que il aimer , et ne pas ne pas savoir que en se marier avec ce personne dont il être si amoureux , que il être en train de laisser tomber le communauté Gay tout entier .",['être en train de'],25209
"Je sais que tu as besoin d'espace, mais tu ne peux pas en avoir, car Alex est en train de tourner la page.
","I know you need space, but you can't have it, because Alex is moving on.
","[""I know you want space, but you can't have space, because Alex might be moving on.\n""]",1,"il savoir que il avoir besoin de espace , mais il ne pouvoir pas en avoir , car Alex être en train de tourner le page .","['être en train de', 'tourner le page']",25209
"Tu es en train de faire un sandwich ou attirer un cerf ?
","Are you making a sandwich or attracting a deer?
",['Were you making a sandwich or attracting deer?\n'],1,il être en train de faire un sandwich ou attirer un cerf ?,['être en train de'],25209
"J'ai la pêche, ça marche plus vite que j'imaginais.
","I'm peachy. It's going faster than I thought.
","[""Don't be paranoid. I feel great. Didn't expect the meds to work this quickly.\n""]",1,"il avoir le pêche , ça marcher plus vite que il imaginer .","['ça marcher', 'avoir le pêche']",12211
"Ça marcherait peut-être mieux si tu donnais un coup de main.
","Maybe it'll work better if you help.
",['It would be easier if you helped me.\n'],1,ça marcher pouvoir être mieux si il donner un coup de main .,"['ça marcher', 'un coup de main']",12211
"Quoi que tu sois en train de faire, ça marche.
","Whatever you're doing, it's working.
","[""Whatever you're doing in there, it's working.\n""]",1,"quoi que il être en train de faire , ça marcher .","['ça marcher', 'être en train de']",12211
