source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.","[""The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.""]","The chance of infection increases every second it is open. Plus, you&#39;ll be wasting thousands of dollars standing there with your butts straight.",idiomatic,"lnfektio mahdollisuus kasvaa joka sekunti , joka hän olla auki . lisäksi tuhla tuhat dollari , kun seisoa se tumpu suora .","['auki', 'tumpu suora']",11728
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.","[""I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.""]",We can probably say that at this point you went from ditch to ditch.,idiomatic,"voida varmaan sanoa , että tämä vaihe mennä oja allikko .","['vaihe', 'oja allikko']",9907
Kun kerran käännät kelkkasi olet hukassa.,"[""Once you tergiversate, you're lost.""]","Once you turn your sled, you&#39;re lost.",idiomatic,kun kerran kääntää kelkkasi olla hukassa .,"['olla hukassa', 'kääntää kelkka']",717
Joskus heidän on opittava kantapään kautta.,"['Sometimes, they have to learn the hard way. If Hazel rejects your advice, let her.']",Sometimes they have to learn the hard way.,idiomatic,joskus hän olla oppia kanta#pää kautta .,['oppia kanta#pää kautta'],48
"Usein oppii kantapään kautta, että naiset ovat häiriöksi.","[""You're not the first man to learn the hard way-- women are a distraction.""]",You often learn the hard way that women are a nuisance.,idiomatic,"usein oppia kanta#pää kautta , että nainen olla häiriö .",['oppia kanta#pää kautta'],48
Minun täytyi oppia kantapään kautta. Minä opin.,"['If I did it, I was gonna do it and I was gonna learn the lesson the hard way, which I did, repeatedly.']",I had to learn the hard way. I learned.,idiomatic,minä täytyä oppia kanta#pää kautta . minä oppia .,['oppia kanta#pää kautta'],48
"Kerron sinulle opetuksen, jonka opin kantapään kautta.",['Let me give you a lesson that I had to learn the hard way.'],Let me tell you a lesson I learned the hard way.,idiomatic,"kertoa sinä opetus , joka oppia kanta#pää kautta .",['oppia kanta#pää kautta'],48
Minä itse opin kantapään kautta ettei terveydellä kannata leikkiä.,"['But you know, me... I had to learn the hard way... not to take chances with this kind of thing.']",I myself learned the hard way that you shouldn&#39;t play with your health.,idiomatic,minä itse oppia kanta#pää kautta että ei terveys kannattaa leikkiä .,['oppia kanta#pää kautta'],48
Olenko muka eilisen teeren poika?,"['What am I, born yesterday?']",Am I the son of yesterday&#39;s tea?,idiomatic,olla muka eilinen teeri poika ?,['eilinen teeri poika'],42
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"[""You may have been born yesterday, but I wasn't.Where did you get the gun?""]",I am not the son of yesterday&#39;s tea. Where did you get the gun?,idiomatic,minä ei olla eilinen teeri poika . mikä saada ase ?,['eilinen teeri poika'],42
