source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.
","And you spend thousands of dollars just standing there.
","[""The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.\n""]",1,"lnfektio mahdollisuus kasvaa joka sekunti , joka hän olla auki . lisäksi tuhla tuhat dollari , kun seisoa se tumpu suora .","['auki', 'tumpu suora']",11728
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.
","I think we can safely say that this is where you got out of the ditch.
","[""I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.\n""]",1,"voida varmaan sanoa , että tämä vaihe mennä oja allikko .","['vaihe', 'oja allikko']",9907
"Joskus heidän on opittava kantapään kautta.
","Sometimes they have to learn the hard way.
","['Sometimes, they have to learn the hard way. If Hazel rejects your advice, let her.\n']",1,joskus hän olla oppia kanta#pää kautta .,['oppia kanta#pää kautta'],48
"Kerron sinulle opetuksen, jonka opin kantapään kautta.
","I'll tell you a lesson I learned the hard way.
",['Let me give you a lesson that I had to learn the hard way.\n'],1,"kertoa sinä opetus , joka oppia kanta#pää kautta .",['oppia kanta#pää kautta'],48
"Minun täytyi oppia kantapään kautta. Minä opin.
","I had to learn the hard way.
","['If I did it, I was gonna do it and I was gonna learn the lesson the hard way, which I did, repeatedly.\n']",1,minä täytyä oppia kanta#pää kautta . minä oppia .,['oppia kanta#pää kautta'],48
"Minä itse opin kantapään kautta ettei terveydellä kannata leikkiä.
","I taught myself the hard way not to mess with your health.
","['But you know, me... I had to learn the hard way... not to take chances with this kind of thing.\n']",1,minä itse oppia kanta#pää kautta että ei terveys kannattaa leikkiä .,['oppia kanta#pää kautta'],48
"Usein oppii kantapään kautta, että naiset ovat häiriöksi.
","A lot of times you learn the hard way that women are a distraction.
","[""You're not the first man to learn the hard way-- women are a distraction.\n""]",1,"usein oppia kanta#pää kautta , että nainen olla häiriö .",['oppia kanta#pää kautta'],48
"Minä en ole eilisen teeren poika. Mistä saitte aseen?
","I wasn't born yesterday.
","[""You may have been born yesterday, but I wasn't.Where did you get the gun?\n""]",1,minä ei olla eilinen teeri poika . mikä saada ase ?,['eilinen teeri poika'],42
"En ole mikään eilisen teeren poika.
","I wasn't born yesterday.
","[""I was born, but I wasn't born yesterday, son.\n""]",1,ei olla mikään eilinen teeri poika .,['eilinen teeri poika'],42
"Olenko muka eilisen teeren poika?
","You think I was born yesterday?
","['What am I, born yesterday?\n']",1,olla muka eilinen teeri poika ?,['eilinen teeri poika'],42
