source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Tout ce que j'ai à faire, c'est crever la dalle une semaine... et je retrouverai la vie infernale que j'avais avant ?","['So all I gotta do is starve and be miserable for a week, then my life will go back to the normal hell it always was?']",All I have to do is die for a week... and I&#39;ll go back to the hellish life I had before?,idiomatic,"tout ce que il avoir à faire , ce être crever le dalle un semaine ... et il retrouver le vie infernal que il avoir avant ?","['être crever', 'crever le dalle']",798
"Ah, Veronica... C'est ce qui s'appelle chercher la petite bête.","['Ah, Veronica... this is really grasping at straws.']","Ah, Veronica... That&#39;s called nitpicking.",idiomatic,"ah , Veronica ... ce être ce qui se appeler chercher le petit bête .",['chercher le petit bête'],49
"Ils cherchent la petite bête, pour que rien ne flanche.","[""Well, I suppose they're all bending over backwards to get this thing right. It's just got to be, you know?""]","They are looking for the little beast, so that nothing fails.",idiomatic,"il chercher le petit bête , pour que rien ne flancher .",['chercher le petit bête'],49
"- Quoi ? Je vous montre un truc fabuleux, et vous cherchez la petite bête.","['I show you something fantastic, you find fault.']","- What ? I&#39;m showing you something fabulous, and you&#39;re looking for the little beast.",idiomatic,"- quoi ? il il montrer un truc fabuleux , et il chercher le petit bête .",['chercher le petit bête'],49
"Là, ça fait le mec qui cherche la petite bête.",['That will look like nit-picking.'],"There, it&#39;s the guy looking for the little beast.",idiomatic,"là , ça faire le mec qui chercher le petit bête .",['chercher le petit bête'],49
On cherche la petite bête?,"[""Lookin' for some loopholes, huh?""]",Are we looking for the little beast?,idiomatic,on chercher le petit bête ?,['chercher le petit bête'],49
"Sinon, d'ici vendredi, York pourra acheter Ojai pour une bouchée de pain et il ne nous restera rien.","[""Well, it's better than what most people do at odd hours on a computer.""]","Otherwise, by Friday, York can buy Ojai for a pittance and we&#39;ll be left with nothing.",idiomatic,"sinon , de ici vendredi , York pouvoir acheter Ojai pour un bouchée de pain et il ne il rester rien .",['un bouchée de pain'],47
Ils l'achetèrent pour une bouchée de pain.,"['They step in, they buy it for a pittance.']",They bought it for a pittance.,idiomatic,il le acheter pour un bouchée de pain .,['un bouchée de pain'],47
Ta mère jette l'argent par les fenêtres.,['Your mother is squandering money.'],Your mother throws the money out the window.,idiomatic,tou mère jeter le argent par le fenêtre .,['jeter le argent par le fenêtre'],47
Nous jetons l'argent par les fenêtres.,"[""We're throwing all our dough in""]",We throw money away.,idiomatic,il jeter le argent par le fenêtre .,['jeter le argent par le fenêtre'],47
Tout le monde veut aller à McMurdo pour une bouchée de pain.,['Everybody is looking for a cheap ride out to McMurdo.'],Everyone wants to go to McMurdo for a pittance.,idiomatic,tout le monde vouloir aller à McMurdo pour un bouchée de pain .,['un bouchée de pain'],47
"MacGyver, Khan te vendrait pour une bouchée de pain, tu le sais ?","['MacGyver, Khan would sell you down for a second cup of coffee, you know?']","MacGyver, Khan would sell you for a pittance, you know that?",idiomatic,"MacGyver , Khan lui vendre pour un bouchée de pain , il le savoir ?",['un bouchée de pain'],47
On résout les problèmes en jetant l'argent par les fenêtres ?,"[""That's the spirit. Solving problems by throwing money at them.""]",Do we solve problems by throwing money away?,idiomatic,on résoudre le problème en jeter le argent par le fenêtre ?,['jeter le argent par le fenêtre'],47
"Tu as passé ta vie à flamber, à jeter l'argent par les fenêtres.",['You spent your life squandering your money.'],"You spent your life flaming, throwing money down the drain.",idiomatic,"il avoir passer ta vie à flamber , à jeter le argent par le fenêtre .",['jeter le argent par le fenêtre'],47
Ça lui apprendra à jeter l'argent par les fenêtres !,"[""I'm going to teach that boy a lesson. Yes, that's what he deserves \x97 throwing nickels around like that.""]",That&#39;ll teach him to throw money away!,idiomatic,ça lui apprendre à jeter le argent par le fenêtre !,['jeter le argent par le fenêtre'],47
Je ne m'en séparerai pas pour une bouchée de pain.,['And I will not throw it away for nothing.'],I won&#39;t part with it for a pittance.,idiomatic,il ne lui en séparer pas pour un bouchée de pain .,['un bouchée de pain'],47
Vous êtes sur votre 31.,"[""You're looking great.""]",You are on your 31.,idiomatic,il être sur son 31 .,['être sur son 31'],44
Je prends mon courage à deux mains.,['Start getting a little brave.'],I take my courage in both hands.,idiomatic,il prendre son courage à deux main .,['prendre son courage à deux main'],44
Alors elle a pris son courage à deux mains pour faire la fille mature de fac.,['So she dug down deep and did the only thing a mature college woman could do.'],So she mustered up her courage to play the mature college girl.,idiomatic,alors il avoir prendre son courage à deux main pour faire le fille mature de fac .,['prendre son courage à deux main'],44
"Quand il est arrivé, j'ai pris mon courage à deux mains pour aborder le sujet.","['When he did arrive, I had the courage to get to the heart of the matter.']","When he arrived, I mustered up my courage to broach the subject.",idiomatic,"quand il être arriver , il avoir prendre son courage à deux main pour aborder le sujet .",['prendre son courage à deux main'],44
Ça t'autorise pas à raconter des salades.,"['If I lied,']",That doesn&#39;t allow you to talk nonsense.,idiomatic,ça lui autoriser pas à raconter un salade .,['raconter un salade'],44
Lave tes mains et arrête de raconter des salades.,['Wash your hands and no more bullshit.'],Wash your hands and stop talking nonsense.,idiomatic,laver son main et arrêter de raconter un salade .,['raconter un salade'],44
"Ma maman à moi, elle me pinçait quand je racontais des salades.",['- My mom used to pinch me when I lied.'],"My mom to me, she pinched me when I was talking about salads.",idiomatic,"son maman à lui , il se pincer quand il raconter un salade .",['raconter un salade'],44
Pourquoi vous êtes sur votre 31 ?,"[""What's with the dress up?""]",Why are you on your 31?,idiomatic,pourquoi il être sur son 31 ?,['être sur son 31'],44
Elle était sur son 31. C'est un peu tôt pour aller en boîte.,"[""She was certainly dressed to impress, but it's a little early for clubbing, isn't it?""]",She was on her 31. It&#39;s a little early to go clubbing.,idiomatic,il être sur son 31 . ce être un peu tôt pour aller en boîte .,['être sur son 31'],44
