source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"一種のユートピアの創造さ つまり...
","It's a kind of Utopia creation, which means...
",['I sort of created a utopian society where we all sort of...\n'],1,一種 の ユートピア の 創造 さ つまり . . .,['ユートピア'],6
"私達は夢中でユートピアを作ったよ
","We made Utopia enthusiastic.
","['We were jamming, man, building utopia.\n']",1,私達 は 夢中 だ ユートピア を 作る た よ,['ユートピア'],6
"私たちは毒を持った宿命の人たちの中にい- ます。 常にユートピアです...
","We're among predators with poison.
",['We are among those whose fate is a poison We are constantly utopia ...\n'],1,私 たち は 毒 を 持つ た 宿命 の 人 たち の 中 にい - ます 。 常 に ユートピア だ . . .,['ユートピア'],6
"- 杞憂だといいが 署で追いかけられたバッドは 凶獣だ
","- I hope you're depressed, but so far, so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so-so.
","[""Well, I hope I'm wrong, but he followed Bud out of the precinct.\n""]",1,- 杞憂 だ と いう が 署 で 追いかける られる た バッド は 凶獣 だ,['杞憂'],4
"杞憂に終わりました
","I was depressed.
",['There was no danger at all.\n'],1,杞憂 に 終わる ます た,['杞憂'],4
"超自然に詳しい 私の予感が 杞憂であって欲しいのだが
","I hope my hunch is universal.
","[""I think you'll be able to confirm or deny my fears.\n""]",1,超 自然 だ 詳しい 私 の 予感 が 杞憂 だ ある て ほしい の だ が,['杞憂'],4
"腹黒い奴はいた。
","There was a damn viper.
",['But there was someone black-hearted.\n'],1,腹黒い 奴 は いる た 。,['腹黒い'],4
"つまり 腹黒い毒島よりも 10倍 もっと腹黒い。
","That's ten times more hungry than a damnation island.
","[""Meaning he's 10 times more black-hearted than the black-hearted Busujima.\n""]",1,つまり 腹黒い 毒島 より も 10 倍 もっと 腹黒い 。,['腹黒い'],4
"3人は綺麗でした でも心は腹黒く汚かった
","All three were beautiful, but my heart was dirty and dirty.
","['All three were beautiful of face, but vile and black of heart.\n']",1,3 人 は 綺麗 だ た で も 心 は 腹黒い 汚い た,['腹黒い'],4
"豹変したのだと もっぱらの噂だ
","It's rumored he's changed.
","[""People say he's changed.\n""]",1,豹変 する た の だ と もっぱら の 噂 だ,['豹変'],4
"彼の目が 瞳が豹変して
","His eyes were changing, his eyes were changing.
",['His eyes were different.\n'],1,彼 の 目 が 瞳 が 豹変 する て,['豹変'],4
"だが、豹変するだろう
","But trust me, you'll change.
",['You wait till it turns ugly.\n'],1,だ が 、 豹変 する だ,['豹変'],4
