source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.
","Either you throw your job and your family in the ground, or you take control of your life again.
","[""Either throw away everything you've worked for, including your family, or take back control of your life.\n""]",1,joko heittää työsi ja perheetä kankkula kaivo - tai ottaa taas elämä hallinta .,"['heittää', 'kankkula kaivo']",20240
"Haluatko heittää Kankkulan kaivoon ne rahat?
","Do you want to throw that money away?
",['You want to see that money go out the front door?\n'],1,haluta heittää kankkula kaivo se raha ?,"['heittää', 'kankkula kaivo']",20240
"Nuori mies heittää tikkaa baarissa jumalan selän takana.
","A young man is throwing darts in a bar in the middle of nowhere.
","[""- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.\n""]",1,nuori mies heittää tikka baari jumala selkä takana .,"['heittää', 'jumala selkä takana']",20240
"- Että heität tulevaisuutesi kankkulan kaivoon.
","That you're throwing your future down the drain.
","[""I'm afraid you're gonna throw away your whole future.\n""]",1,- että heittää tulevaisuus kankkula kaivo .,"['heittää', 'kankkula kaivo']",20240
"Korjaa luusi tänne!
","Get your ass in here!
",['Bring your ass out here!\n'],1,korjata luusi tänne !,['korjata luu'],21
"Korjatkaa luunne!
","Get your bones fixed!
",['Get going!\n'],1,korjata luunne !,['korjata luu'],21
"Korjaa luusi käytävästä, George.
","Get your ass out of the hallway, George.
","['Get out of the god damn hallway, George.\n']",1,"korjata luusi käydä , George .",['korjata luu'],21
"Korjaa luusi täältä.
","Get your ass out of here.
","['You get your punk ass out of here, fucking bitch.\n']",1,korjata luusi täältä .,['korjata luu'],21
"Meidän on korjattava luumme täältä ja heti.
","We need to get our bones out of here right now.
",['We need to leave here now! Go!\n'],1,minä olla korjata luu täältä ja heti .,['korjata luu'],21
"Sinun pitäisi olla sairaalassa, ei täällä jumalan selän takana.
","You're supposed to be in a hospital, not in the middle of nowhere.
","[""You're sick, Dad. You should be in a hospital not stuck out here in the middle of nowhere.\n""]",1,"sinä pitää olla sairaala , ei täällä jumala selkä takana .",['jumala selkä takana'],19
"Täällä jumalan selän takana ei ole kyttyyiä.
","There's no cops in the middle of nowhere.
","[""It's a rowdy place. It's out in the middle of nowhere.\n""]",1,täällä jumala selkä takana ei olla kyttyy .,['jumala selkä takana'],19
"Täällä jumalan selän takana, suuri virran kulutus paljastaisi homman FBI: lle.
","Out here in the middle of nowhere, having a big power surge would expose it to the FBI.
","['Out here in the sticks, the Feds are tipped off to high consumption.\n']",1,"täällä jumala selkä takana , suuri virta kulutus paljastaa homma FBI : lle .",['jumala selkä takana'],19
"Sayid oli jumalan selän takana.
","Sayid was in the middle of nowhere.
",['Sayid was in the middle of nowhere.\n'],1,sayid olla jumala selkä takana .,['jumala selkä takana'],19
"Tajuan joitain juttuja, mutta osa menee yli hilseen.
","I get some things, but some of them get out of hand.
","['I can go along with some things, but... some things make no damn sense.\n']",1,"tajuta jokin juttu , mutta osa mennä yli hilse .",['mennä yli hilse'],19
"Tämä meni yli hilseen.
","This has gone too far.
",['This is just way over my head.\n'],1,tämä mennä yli hilse .,['mennä yli hilse'],19
"Se meni yli hilseen.
","It's over the top.
",['It went right over her head.\n'],1,se mennä yli hilse .,['mennä yli hilse'],19
"- Tekoäly menee yli hilseen.
","The A.I. is way out of line.
",['All this A.I. stuff is way out of my league.\n'],1,- tekoäly mennä yli hilse .,['mennä yli hilse'],19
"Me olemme jossakin helvetin methlabrassa jumalan selän takana.
","We're in a fucking meth lab in the middle of nowhere.
",['We are stuck in a shed in the middle of lorteland.\n'],1,minä olla jokin helvetin methlabra jumala selkä takana .,['jumala selkä takana'],19
"Menee yli hilseen. - Olemme tavanneet.
","We've met before.
","[""I'm sorry, am I missing something?\n""]",1,mennä yli hilse . - olla tavata .,['mennä yli hilse'],19
"Tuoko oli luonteva aasinsilta?
","That's a natural sedation?
",['And that was actually your segue?\n'],1,tuoko olla luonteva aasinsi ?,['aasinsi'],18
