source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"今日は何から何まで 完璧にしなくっちゃ 可愛いダドリー坊やの 特別な日だもの
","It's a special day for Little Dudley.
","[""- I want everything to be perfect for my Dudley's special day!\n""]",1,今日 は 何 から 何 まで 完璧 だ する ない っちゃ 可愛い ダドリー坊 や の 特別 だ 日 だ も の,['完璧'],1082
"完璧に身柄を奪取 騒ぎも無く 無傷で
","He's fully arrested, all clear and intact.
","['Clean lift. Nothing broken, nothing split.\n']",1,完璧 だ 身柄 を 奪取 騒ぎ も ない 無傷 だ,['完璧'],1082
"すべて完璧です
","Everything is perfect.
",['The pede looks perfect.\n'],1,すべて 完璧 だ,['完璧'],1082
"体育館に通ったり、整形手術を せずに、完璧な容姿が手に入る...
","We can get the perfect look without going to the gym or performing plastic surgery.
",['To have perfect looks without trips to the gym or plastic surgery\n'],1,体育 館 に 通う たり 、 整形 手術 を せず だ 、 完璧 だ 容姿 が 手 に 入る . . .,['完璧'],1082
"早い話が 1943年9月3日... でも完璧じゃなかった
","It was an early story, September 3rd, 1943, but it wasn't perfect.
","[""The point is, September the 3rd, 1943... wasn't perfect.\n""]",1,早い 話 が 1943 年 9 月 3 日 . . . で も 完璧 だ ない た,['完璧'],1082
"気が合ったんだ 彼女は美しく完璧だった
","She was beautiful and perfect.
","[""We click. She's perfect. She's beautiful, she's smart, she's well-read... she's got an ass like a 20-year-old stripper.\n""]",1,気 が 合う たん だ 彼女 は 美しい 完璧 だ た,['完璧'],1082
"宇宙を飛んでるわ 完璧な弧を描いて
","We're flying into space. We're drawing the perfect arc.
",['She flew through space in perfect arcs.\n'],1,宇宙 を 飛ぶ てる わ 完璧 な弧 を 描く て,['完璧'],1082
"完璧なチャーミング
","It's perfect charming.
","['""Is this perfect Child of heaven""\n']",1,完璧 だ チャーミング,['完璧'],1082
"だから俺の顔に 完璧に一致したマスクを見つけてくれ 俺が逃走中狙いをつける能力に 影響を与えないこと
","So find me a mask that matches perfectly with my face, and it doesn't affect my ability to aim during the escape.
","[""So find me a mask that conforms perfectly to my face and doesn't affect my ability to aim while I'm on the run.\n""]",1,だ から 俺 の 顔 に 完璧 だ 一致 する た マスク を 見つける て くれる 俺 が 逃走 中 狙い を つける 能力 に 影響 を 与える ない くる と,['完璧'],1082
"海藻が顔に触れ 悲鳴を上げる 完璧、完璧です!
","The seaweed is touching your face and screaming. Perfect, perfect!
","['wind blows out your candles, seaweed touches your face; You scream.\n']",1,海藻 が 顔 に 触れる 悲鳴 を 上げる 完璧 、 完璧 だ !,['完璧'],1082
"フェニックス 灰の中から生まれ変わる不死鳥だ
","Phoenix, born from the ashes.
",['Phoenix. Risen from the ashes.\n'],1,フェニックス 灰 の 中 から 生まれる 変わる 不 死鳥 だ,['フェニックス'],51
"715)}ざん 改竄されておる 記憶の持ち主 スラグホーン先生によって
","It's been tampered with by the memory owner, Dr. Slughorn.
","['This memory has been tampered with by the same person whose memory it is, our old friend, Professor Slughorn\n']",1,715 ) } ざん 改竄 する れる て おる 記憶 の 持ち主 スラグ ホーン 先生 に よる て,['改竄'],13
"戦いをやり抜くには 信奉者を鼓舞するの
","If we're going to survive a fight, we need a follower.
",['Kagame knew to inspire our followers is the only way to ensure our fight outlives us.\n'],1,戦い を やり抜く に は 信奉 者 を 鼓舞 する の,['鼓舞'],13
"リバー8を鼓舞させたのよ
","Now, I'm telling you, this is what Liber8 did.
",['- He inspired Liber8.\n'],1,リバー 8 を 鼓舞 する せる た の よ,['鼓舞'],13
"貴族たちを萎縮させ民を 鼓舞させる支配者
","The rulers who tell noblemen to cower and destroy their people.
",['A monarch who can intimidate the high lords and inspire the people.\n'],1,貴族 たち を 萎縮 する せる 民 を 鼓舞す せる 支配 者,['鼓舞'],13
"記録の改竄です
","It's probably just some adjustment to the records.
","[""I didn't know the records could be falsified.\n""]",1,記録 の 改竄 だ,['改竄'],13
"アンナが工作を インタビューが改竄される事は 想定していたが これは
","I knew Anna would try and manipulate the interview somehow, but this...
","['- I knew Anna would try and manipulate my interview somehow, but this...\n']",1,アンナ が 工作 を インタビュー が 改竄 する れる 事 は 想定 する て いる た が これ は,['改竄'],13
"左遷もええとこですね 大左遷ですわ これ
","It's a lot of money.
","['This is a demotion, huge demotion\n']",1,左遷 も ええとこ だ ね 大 左遷 だ わ これ,['左遷'],10
"彼を左遷したら 今より状況が悪くなる
","If we take him left, it'll be worse than it is now.
","['The danger is, uh, replacing him with someone worse than the original.\n']",1,彼 を 左遷 する た 今 より 状況 が 悪い なる,['左遷'],10
"あなたは左遷された身でしょう?
","You're a left-handed man, aren't you?
","[""Look who's talking. You're the one who got put out to pasture.\n""]",1,あなた は 左遷 する れる た 身 だ ?,['左遷'],10
