source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
意外とミーハーなんだよなあ,"['You are pretty oldfashioned, despite your looks.']",It's surprisingly meek.,idiomatic,意外 と ミーハー だ ん だよな あ,['ミーハー'],3
紗絵子さんは ミーハーな ノリで 新しいものに 飛び付くけど 商品に対しては シビアだよ｡,"[""Saeko-san jumps at new things like a trendhopper, but she's a harsh judge of products.""]","Saeko-san jumps at new things with a meek and easygoing attitude, but she is very serious about her products.",idiomatic,紗 絵子 さん は ミーハー だ ノリ で 新しい もの に 飛び付く けど 商品 に 対する て は シビア だ よ ｡,['ミーハー'],3
案外ミーハーなんだよね,"[""She's oldfashioned despite her looks, right?""]",It's more meek than you might think.,idiomatic,案外 ミーハー だ ん だ よ ね,['ミーハー'],3
やつらが姑息な手を使って 隠した事実さ,['They use static electricity to... to mask the changes.'],It's a fact that they've been using some very clever tricks to hide.,idiomatic,やつ ら が 姑息 だ 手 を 使う て 隠す た 事実 さ,['姑息'],3
俺と向き合ったらどうだ 操り人形で 姑息な手段を使わないで,"[""Face me like a real man, not with your hand up another's ass like a bloody puppet.""]","Why don't you face me, instead of being a puppet, and using your own tricks?",idiomatic,俺 と 向き合う た どう だ 操る 人形 で 姑息 だ 手段 を 使う ない で,['姑息'],3
姑息な連中だよ,"['Even for this group, that takes nerve.']",They're a bunch of sissies.,idiomatic,姑息 だ 連中 だ よ,['姑息'],3
ＦＢＩは鬼門だったな,"['Well, that was when the team made video games, not weapons.']",The FBI was the devil's gate.,idiomatic,ＦＢＩ は 鬼門 だ た な,['鬼門'],3
（男性）鬼門って言われてんだから うちは,"[""They say it's our fault.""]","（It's called ""the devil's gate.",idiomatic,（ 男 性 ） 鬼門 るる て 言う れる てる ん だ から うち は,['鬼門'],3
あの山は鬼門だ,['That mountain is evil.'],That mountain is the devil's gate.,idiomatic,あの 山 は 鬼門 だ,['鬼門'],3
ｳﾞｫｰｹﾞﾙはどのように丸くなった How the fuck did that happen ?,['How did Vogel come round? How the fuck did that happen?'],How did Vogel get round How the fuck did that happen ?,idiomatic,ｳﾞ ｫ ｰ ｹ ﾞﾙ は どの よう だ 丸くなる た How the fuck did that happen ?,['丸くなる'],2
