source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
一種のユートピアの創造さ つまり...,['I sort of created a utopian society where we all sort of...'],"A kind of utopian creation, that is...",idiomatic,一種 の ユートピア の 創造 さ つまり . . .,['ユートピア'],6
私達は夢中でユートピアを作ったよ,"['We were jamming, man, building utopia.']",We built a utopia on a whim,idiomatic,私達 は 夢中 だ ユートピア を 作る た よ,['ユートピア'],6
私たちは毒を持った宿命の人たちの中にい- ます。 常にユートピアです...,['We are among those whose fate is a poison We are constantly utopia ...'],We are among those who are doomed to carry poison. Always utopian...,idiomatic,私 たち は 毒 を 持つ た 宿命 の 人 たち の 中 にい - ます 。 常 に ユートピア だ . . .,['ユートピア'],6
- 杞憂だといいが 署で追いかけられたバッドは 凶獣だ,"[""Well, I hope I'm wrong, but he followed Bud out of the precinct.""]","- I hope it&#39;s unfounded, but Bud, who was chased at the police station, is a vicious beast.",idiomatic,- 杞憂 だ と いう が 署 で 追いかける られる た バッド は 凶獣 だ,['杞憂'],4
杞憂に終わりました,['There was no danger at all.'],It ended in vain,idiomatic,杞憂 に 終わる ます た,['杞憂'],4
超自然に詳しい 私の予感が 杞憂であって欲しいのだが,"[""I think you'll be able to confirm or deny my fears.""]","I hope my premonitions, familiar with the supernatural, are groundless.",idiomatic,超 自然 だ 詳しい 私 の 予感 が 杞憂 だ ある て ほしい の だ が,['杞憂'],4
腹黒い奴はいた。,['But there was someone black-hearted.'],There was a wicked man.,idiomatic,腹黒い 奴 は いる た 。,['腹黒い'],4
つまり　腹黒い毒島よりも １０倍　もっと腹黒い。,"[""Meaning he's 10 times more black-hearted than the black-hearted Busujima.""]","In other words, he is ten times more devious than the devious Busujima.",idiomatic,つまり 腹黒い 毒島 より も １０ 倍 もっと 腹黒い 。,['腹黒い'],4
３人は綺麗でした でも心は腹黒く汚かった,"['All three were beautiful of face, but vile and black of heart.']","The three of them were beautiful, but their hearts were black and dirty.",idiomatic,３人 は 綺麗 だ た で も 心 は 腹黒い 汚い た,['腹黒い'],4
豹変したのだと　もっぱらの噂だ,"[""People say he's changed.""]",It&#39;s just a rumor that it changed suddenly.,idiomatic,豹変 する た の だ と もっぱら の 噂 だ,['豹変'],4
彼の目が 瞳が豹変して,['His eyes were different.'],"His eyes, his pupils suddenly changed",idiomatic,彼 の 目 が 瞳 が 豹変 する て,['豹変'],4
だが、豹変するだろう,['You wait till it turns ugly.'],but it will change,idiomatic,だ が 、 豹変 する だ,['豹変'],4
