source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"Sanoin, että vintti pimeni. Olit kauhuissasi.
","I told you the attic went dark, and you were terrified.
","['I said, ""Dead out, he was scared shitless.\n']",1,"sanoa , että vintti pimetä . olla kauhu .",['vintti pimetä'],7
"Vintti pimeni ja kunnolla. Kun heräsin, kävelin ulos ja näin silloin ensi kertaa tämän neitokaisen.
","When I woke up, I walked out, and that was the first time I saw this young lady.
","['So, I passed out hard, and when I wake up, I go outside, and that is the first time I lay eyes upon this young lady.\n']",1,"vintti pimetä ja kunnolla . kun herätä , kävellä ulos ja nähdä silloin ensi kerta tämä neito#kainen .",['vintti pimetä'],7
"Jos tässä jonkun vintti pimenee - niin sinun, usko pois.
","If anybody's, like, losing their minds, it's you, believe me.
","[""If anybody's lights are about to go out, believe me, they're yours.\n""]",1,"jos tämä joku vintti pimetä - niin sinä , uskoa pois .",['vintti pimetä'],7
"Sitten vinttini pimeni.
","Then my attic went dark.
",['And then I...\n'],1,sitten vintti pimetä .,['vintti pimetä'],7
"Vintti pimeni.
","I blacked out.
",['I blacked out.\n'],1,vintti pimetä .,['vintti pimetä'],7
"Steve laulaa oksat pois siitä kansallislaulusta nyt, vai mitä Steve?
","Steve's gonna sing the branches out of that national anthem now, right, Steve?
","[""Steve's gonna sing the crap out of that national anthem now, aren't you, Steve?\n""]",1,"Steve laulaa oksa pois se kansallis#laulu nyt , vai mikä Steve ?",['oksa pois'],6
"Oli matti kukkarossa Mutta ei kauan, jos Obama selättää laman.
","But not for long if Obama defeats war.
","[""I couldn't afford much, but not for long, if President Obama ends the recession tonight!\n""]",1,"olla matti kukkaro mutta ei kauan , jos Obama selättää lama .",['matti kukkaro'],6
"Minulla on matti kukkarossa.
","I've got a flask in my wallet.
",['I could never be this broke.\n'],1,minä olla matti kukkaro .,['matti kukkaro'],6
"On matti kukkarossa, pöljä!
","I got it in my purse, you moron!
","['We are broke, you dumbass!\n']",1,"olla matti kukkaro , pöljä !",['matti kukkaro'],6
"Omalla kohdallani matti kukkarossa on pieni este.
","For me, mate, the flask in my purse is a small obstacle.
","['Speaking for myself, bone-crushing poverty is something of a stumbling block.\n']",1,oma kohta matti kukkaro olla pieni este .,['matti kukkaro'],6
"Kun tulit Los Angelesiin, sinulla ei ollut muuta, kuin matti kukkarossa.
","When you came to L.A., all you had was a flask in your purse.
","[""You show up to L.A., you got nothin' but your ding-dong in your hands.\n""]",1,"kun tulla Los Angeles , sinä ei olla muu , kuin matti kukkaro .",['matti kukkaro'],6
"Anteeksi, mutta heroiinia sisältävä kondomi räjähti vatsassani, niin että koko päivä meni pipariksi!
","I'm sorry, but a heroin condom exploded in my stomach and my whole day went to shit!
","['Well, excuse me, Kimmy. But a condom full of heroin exploded in my stomach, so this whole day has been for the birds!\n']",1,"anteeksi , mutta hero#iini sisältää kondomi räjähtää vatsa , niin että koko päivä mennä pipari !",['mennä pipari'],6
