source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Sanoin, että vintti pimeni. Olit kauhuissasi.","['I said, ""Dead out, he was scared shitless.']",I said it got dark. You were terrified.,idiomatic,"sanoa , että vintti pimetä . olla kauhu .",['vintti pimetä'],7
"Vintti pimeni ja kunnolla. Kun heräsin, kävelin ulos ja näin silloin ensi kertaa tämän neitokaisen.","['So, I passed out hard, and when I wake up, I go outside, and that is the first time I lay eyes upon this young lady.']","Vintti got dark and properly. When I woke up, I walked outside and that&#39;s when I saw this young lady for the first time.",idiomatic,"vintti pimetä ja kunnolla . kun herätä , kävellä ulos ja nähdä silloin ensi kerta tämä neito#kainen .",['vintti pimetä'],7
"Jos tässä jonkun vintti pimenee - niin sinun, usko pois.","[""If anybody's lights are about to go out, believe me, they're yours.""]","If someone&#39;s mind goes dark here - it&#39;s yours, don&#39;t believe it.",idiomatic,"jos tämä joku vintti pimetä - niin sinä , uskoa pois .",['vintti pimetä'],7
Sitten vinttini pimeni.,['And then I...'],Then my winch went dark.,idiomatic,sitten vintti pimetä .,['vintti pimetä'],7
Vintti pimeni.,['I blacked out.'],The wind went dark.,idiomatic,vintti pimetä .,['vintti pimetä'],7
"Steve laulaa oksat pois siitä kansallislaulusta nyt, vai mitä Steve?","[""Steve's gonna sing the crap out of that national anthem now, aren't you, Steve?""]","Steve is singing the branches off that national anthem now, isn&#39;t he Steve?",idiomatic,"Steve laulaa oksa pois se kansallis#laulu nyt , vai mikä Steve ?",['oksa pois'],6
"Oli matti kukkarossa Mutta ei kauan, jos Obama selättää laman.","[""I couldn't afford much, but not for long, if President Obama ends the recession tonight!""]",Matti was in the purse But not for long if Obama overcomes the recession.,idiomatic,"olla matti kukkaro mutta ei kauan , jos Obama selättää lama .",['matti kukkaro'],6
Minulla on matti kukkarossa.,['I could never be this broke.'],I have Matti in my purse.,idiomatic,minä olla matti kukkaro .,['matti kukkaro'],6
"On matti kukkarossa, pöljä!","['We are broke, you dumbass!']","It&#39;s Matti in the purse, you bastard!",idiomatic,"olla matti kukkaro , pöljä !",['matti kukkaro'],6
Omalla kohdallani matti kukkarossa on pieni este.,"['Speaking for myself, bone-crushing poverty is something of a stumbling block.']","In my case, Matti has a small obstacle in the purse.",idiomatic,oma kohta matti kukkaro olla pieni este .,['matti kukkaro'],6
