source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
- Heittää lusikka nurkkaan.,['- Bit the dust.'],- Throw a spoon in the corner.,idiomatic,- heittää lusikka nurkka .,"['heittää', 'heittää lusikka nurkka']",20240
Mummo heitti veivinsä.,['My grandma croaked.'],Grandma threw her knife.,idiomatic,mummo heittää veivä .,"['heittää', 'heittää veivä']",20240
Pari päivää sitten hän kolaroi moottoritiellä ja heitti veivinsä.,"['Couple days ago, he crashed into a semi on the freeway and died.']","A few days ago, he crashed on the motorway and threw his knife.",idiomatic,pari päivä sitten hän kolaroida moottori#tie ja heittää veivä .,"['heittää', 'heittää veivä']",20240
"En tahdo odottaa, kunnes joku heittää veivinsä.","[""I don't wanna wait till some guy croaks.""]",I don't want to wait until someone throws a knife at me.,idiomatic,"ei tahtoa odottaa , kunnes joku heittää veivä .","['heittää', 'heittää veivä']",20240
Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.,"['I mean, any normal man would have just turned up his toes and died. But not our Mick.']",Any normal man would have thrown his knives away - but not just our Mick.,idiomatic,kuka tahansa normaali mies olla heittää veivä - mutta ei vain minä Mick .,"['heittää', 'heittää veivä']",20240
Minä heitän sinut.,"[""I'll take you.""]",I'll throw you.,idiomatic,minä heittää sinä .,['heittää'],20240
Heitämme pikkuisen herjaa.,['Come on.'],We're throwing a little smack.,idiomatic,heittää pikkuinen herja .,['heittää'],20240
Heitän vain yhden voimisteluliikkeen...,"[""I'll just do one of my gymnastics moves to...""]",I'll just throw in one gymnastics move...,idiomatic,heittää vain yksi voimistelu#liike ...,['heittää'],20240
"Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan.","[""You should have included me in this huge decision you made about how our father's gonna leave this Earth.""]",You should have included me in this big decision of yours - the way our father throws the spoon in the corner.,idiomatic,"sinä olla pitää ottaa minä mukaan tämä iso päätös - tapa , joka isä heittää lusikka nurkka .","['heittää', 'heittää lusikka nurkka']",20240
Mbungon elättäjä heitti lusikan nurkkaan. Olemme rikkaita!,"[""Mbungo's sugar daddy just took a dirt nap, and we're rich!""]",Mbungo's breadwinner threw a spoon in the corner. We are rich!,idiomatic,Mbungon elättäjä heittää lusikka nurkka . olla rikas !,"['heittää', 'heittää lusikka nurkka']",20240
Koska saatan pian heittää lusikan nurkkaan...,"['Seeing as I may be rapping on the door momentarily,']",Because I might soon throw the spoon in the corner...,idiomatic,koska saattaa pian heittää lusikka nurkka ...,"['heittää', 'heittää lusikka nurkka']",20240
Muut onki sitte heittäny lusikan nurkkaan.,['All the others have kicked the bucket.'],The others have thrown the spoon in the corner.,idiomatic,muu olla sitten heittää lusikka nurkka .,"['heittää', 'heittää lusikka nurkka']",20240
Nuori mies heittää tikkaa baarissa jumalan selän takana.,"[""- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.""]",A young man throws darts in a bar behind the back of a god.,idiomatic,nuori mies heittää tikka baari jumala selkä takana .,"['heittää', 'jumala selkä takana']",20240
- Että heität tulevaisuutesi kankkulan kaivoon.,"[""I'm afraid you're gonna throw away your whole future.""]",- That you are throwing your future down the drain.,idiomatic,- että heittää tulevaisuus kankkula kaivo .,"['heittää', 'kankkula kaivo']",20240
Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.,"[""Either throw away everything you've worked for, including your family, or take back control of your life.""]",Either you throw your job and your family down the drain - or you take control of your life again.,idiomatic,joko heittää työsi ja perheetä kankkula kaivo - tai ottaa taas elämä hallinta .,"['heittää', 'kankkula kaivo']",20240
Haluatko heittää Kankkulan kaivoon ne rahat?,['You want to see that money go out the front door?'],Do you want to throw the money down the well?,idiomatic,haluta heittää kankkula kaivo se raha ?,"['heittää', 'kankkula kaivo']",20240
"Hän soitti suurlähetystöön, joka heitti pallon meille.","['She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us.']","He called the embassy, who threw us the ball.",idiomatic,"hän soittaa suur#lähetystö , joka heittää pallo minä .","['heittää', 'soittaa suu']",20240
"Kun vanha ystäväni Popov heitti veivinsä, panin salkun hyllylle.","['When my old friend Popov died, I put my briefcase on the shelf for good.']","When my old friend Popov threw away his knives, I put the briefcase on the shelf.",idiomatic,"kun vanha ystävä Popov heittää veivä , panna salkku hylly .","['heittää', 'heittää veivä']",20240
