source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
今日は何から何まで 完璧にしなくっちゃ 可愛いダドリー坊やの 特別な日だもの,"[""- I want everything to be perfect for my Dudley's special day!""]","Everything has to be perfect today, because it's little Dudley's special day.",idiomatic,今日 は 何 から 何 まで 完璧 だ する ない っちゃ 可愛い ダドリー坊 や の 特別 だ 日 だ も の,['完璧'],1082
完璧に身柄を奪取 騒ぎも無く 無傷で,"['Clean lift. Nothing broken, nothing split.']","Perfectly clean takeover, no fuss, no muss, no fuss, no muss, no muss.",idiomatic,完璧 だ 身柄 を 奪取 騒ぎ も ない 無傷 だ,['完璧'],1082
すべて完璧です,['The pede looks perfect.'],Everything is perfect.,idiomatic,すべて 完璧 だ,['完璧'],1082
体育館に通ったり、整形手術を せずに、完璧な容姿が手に入る...,['To have perfect looks without trips to the gym or plastic surgery'],You don't have to go to the gym or have plastic surgery to look perfect...,idiomatic,体育 館 に 通う たり 、 整形 手術 を せず だ 、 完璧 だ 容姿 が 手 に 入る . . .,['完璧'],1082
早い話が 1943年9月3日... でも完璧じゃなかった,"[""The point is, September the 3rd, 1943... wasn't perfect.""]","Fast forward to September 3, 1943... But it wasn't perfect.",idiomatic,早い 話 が 1943 年 9 月 3 日 . . . で も 完璧 だ ない た,['完璧'],1082
気が合ったんだ 彼女は美しく完璧だった,"[""We click. She's perfect. She's beautiful, she's smart, she's well-read... she's got an ass like a 20-year-old stripper.""]",We hit it off. She was beautiful and perfect.,idiomatic,気 が 合う たん だ 彼女 は 美しい 完璧 だ た,['完璧'],1082
宇宙を飛んでるわ 完璧な弧を描いて,['She flew through space in perfect arcs.'],He's flying through space in a perfect arc.,idiomatic,宇宙 を 飛ぶ てる わ 完璧 な弧 を 描く て,['完璧'],1082
完璧なチャーミング,"['""Is this perfect Child of heaven""']",Perfect Charming,idiomatic,完璧 だ チャーミング,['完璧'],1082
だから俺の顔に 完璧に一致したマスクを見つけてくれ 俺が逃走中狙いをつける能力に 影響を与えないこと,"[""So find me a mask that conforms perfectly to my face and doesn't affect my ability to aim while I'm on the run.""]",So find me a mask that perfectly matches my face and doesn't affect my ability to aim on the run.,idiomatic,だ から 俺 の 顔 に 完璧 だ 一致 する た マスク を 見つける て くれる 俺 が 逃走 中 狙い を つける 能力 に 影響 を 与える ない くる と,['完璧'],1082
海藻が顔に触れ 悲鳴を上げる 完璧、完璧です！,"['wind blows out your candles, seaweed touches your face; You scream.']","Seaweed touches her face, she screams. Perfect, perfect!",idiomatic,海藻 が 顔 に 触れる 悲鳴 を 上げる 完璧 、 完璧 だ ！,['完璧'],1082
フェニックス 灰の中から生まれ変わる不死鳥だ,['Phoenix. Risen from the ashes.'],"Phoenix, a phoenix reborn from the ashes.",idiomatic,フェニックス 灰 の 中 から 生まれる 変わる 不 死鳥 だ,['フェニックス'],51
715)}ざん 改竄されておる 記憶の持ち主 スラグホーン先生によって,"['This memory has been tampered with by the same person whose memory it is, our old friend, Professor Slughorn']","The memory has been tampered with by the owner of the memory, Dr. Slughorn.",idiomatic,715 ) } ざん 改竄 する れる て おる 記憶 の 持ち主 スラグ ホーン 先生 に よる て,['改竄'],13
戦いをやり抜くには 信奉者を鼓舞するの,['Kagame knew to inspire our followers is the only way to ensure our fight outlives us.'],"To carry a fight through, you have to inspire your followers.",idiomatic,戦い を やり抜く に は 信奉 者 を 鼓舞 する の,['鼓舞'],13
リバー８を鼓舞させたのよ,['- He inspired Liber8.'],He inspired Liber8.,idiomatic,リバー ８ を 鼓舞 する せる た の よ,['鼓舞'],13
貴族たちを萎縮させ民を 鼓舞させる支配者,['A monarch who can intimidate the high lords and inspire the people.'],Rulers who enfeeble the nobles and inspire the people.,idiomatic,貴族 たち を 萎縮 する せる 民 を 鼓舞す せる 支配 者,['鼓舞'],13
記録の改竄です,"[""I didn't know the records could be falsified.""]",Falsification of records.,idiomatic,記録 の 改竄 だ,['改竄'],13
アンナが工作を インタビューが改竄される事は 想定していたが これは,"['- I knew Anna would try and manipulate my interview somehow, but this...']","I had assumed that Anna would try to manipulate the interview, that it would be tampered with, but this... this...",idiomatic,アンナ が 工作 を インタビュー が 改竄 する れる 事 は 想定 する て いる た が これ は,['改竄'],13
左遷もええとこですね 大左遷ですわ　これ,"['This is a demotion, huge demotion']",It's a big left turn.,idiomatic,左遷 も ええとこ だ ね 大 左遷 だ わ これ,['左遷'],10
彼を左遷したら 今より状況が悪くなる,"['The danger is, uh, replacing him with someone worse than the original.']","If we move him to the left, things will be worse than they are now.",idiomatic,彼 を 左遷 する た 今 より 状況 が 悪い なる,['左遷'],10
あなたは左遷された身でしょう？,"[""Look who's talking. You're the one who got put out to pasture.""]","You are the one who was left behind, aren't you?",idiomatic,あなた は 左遷 する れる た 身 だ ？,['左遷'],10
